file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\cjlin1libsvm\java\libsvm\svm.java,libsvm.QMatrix,"get_Q/2[int,int]",false,131,1,4,4,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1024,0,false
D:\trabCKMetrics\repos\cjlin1libsvm\java\libsvm\svm.java,libsvm.QMatrix,"swap_index/2[int,int]",false,133,0,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1024,0,false
D:\trabCKMetrics\repos\cjlin1libsvm\java\libsvm\svm.java,libsvm.QMatrix,get_QD/0,false,132,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1024,0,false
D:\trabCKMetrics\repos\cjlin1libsvm\java\libsvm\svm_print_interface.java,libsvm.svm_print_interface,print/1[java.lang.String],false,4,0,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\cjlin1libsvm\java\libsvm\svm.java,libsvm.SVC_Q,"SVC_Q/3[libsvm.svm_problem,libsvm.svm_parameter,byte[]]",true,1157,6,4,2,2,2,2,7,0,1,3,2,0,0,1,0,0,2,0,3,5,2,1,0,0,0,14,0,0,false
D:\trabCKMetrics\repos\cjlin1libsvm\java\libsvm\svm.java,libsvm.SVC_Q,"swap_index/2[int,int]",false,1184,1,1,0,1,3,2,16,0,2,2,2,0,0,2,0,0,0,0,0,6,0,1,0,0,0,5,0,0,false
D:\trabCKMetrics\repos\cjlin1libsvm\java\libsvm\svm.java,libsvm.SVC_Q,"get_Q/2[int,int]",false,1167,3,2,0,2,3,2,8,1,3,2,2,0,0,1,0,0,2,0,3,4,1,2,0,0,0,9,0,0,false
D:\trabCKMetrics\repos\cjlin1libsvm\java\libsvm\svm.java,libsvm.SVC_Q,get_QD/0,false,1179,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
D:\trabCKMetrics\repos\cjlin1libsvm\java\svm_predict.java,svm_predict,atoi/1[java.lang.String],false,32,0,2,2,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,false
D:\trabCKMetrics\repos\cjlin1libsvm\java\svm_predict.java,svm_predict,atof/1[java.lang.String],false,27,0,1,1,0,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,false
D:\trabCKMetrics\repos\cjlin1libsvm\java\svm_predict.java,svm_predict,main/1[java.lang.String[]],false,131,3,6,0,6,12,11,50,0,5,1,11,4,2,1,5,1,0,6,15,8,8,3,0,0,0,43,9,1,false
D:\trabCKMetrics\repos\cjlin1libsvm\java\svm_predict.java,svm_predict,"predict/4[java.io.BufferedReader,java.io.DataOutputStream,libsvm.svm_model,int]",false,37,6,11,1,10,15,13,59,0,21,4,13,3,1,4,10,0,9,18,15,32,40,3,0,0,0,50,10,4,false
D:\trabCKMetrics\repos\cjlin1libsvm\java\svm_predict.java,svm_predict,info/1[java.lang.String],false,22,1,3,2,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,false
D:\trabCKMetrics\repos\cjlin1libsvm\java\svm_predict.java,svm_predict,exit_with_help/0,false,122,0,1,1,0,1,2,4,0,0,0,2,0,0,0,0,0,0,4,1,0,1,0,0,0,0,24,10,0,false
D:\trabCKMetrics\repos\cjlin1libsvm\java\libsvm\svm.java,libsvm.Kernel,"powi/2[double,int]",false,156,0,2,2,0,3,0,8,1,3,2,0,0,0,1,1,0,0,0,5,6,2,2,0,0,0,5,10,0,false
D:\trabCKMetrics\repos\cjlin1libsvm\java\libsvm\svm.java,libsvm.Kernel,"dot/2[libsvm.svm_node[],libsvm.svm_node[]]",false,206,1,3,3,0,5,0,15,1,5,2,0,0,0,1,1,0,0,0,3,6,1,4,0,0,0,7,8,0,false
D:\trabCKMetrics\repos\cjlin1libsvm\java\libsvm\svm.java,libsvm.Kernel,get_QD/0,false,147,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1024,0,false
D:\trabCKMetrics\repos\cjlin1libsvm\java\libsvm\svm.java,libsvm.Kernel,"get_Q/2[int,int]",false,146,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1024,0,false
D:\trabCKMetrics\repos\cjlin1libsvm\java\libsvm\svm.java,libsvm.Kernel,"Kernel/3[int,libsvm.svm_node[][],libsvm.svm_parameter]",true,187,4,1,0,1,3,2,12,0,1,3,2,1,1,1,1,0,0,0,1,9,0,2,0,0,0,10,0,0,false
D:\trabCKMetrics\repos\cjlin1libsvm\java\libsvm\svm.java,libsvm.Kernel,"swap_index/2[int,int]",false,150,1,0,0,0,4,0,14,0,2,2,0,0,0,2,1,0,0,0,0,6,0,2,0,0,0,8,0,0,false
