file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\confluentincksql\ksqldb-engine\src\test\java\io\confluent\ksql\physical\pull\operators\KeyedTableLookupOperatorTest.java,io.confluent.ksql.physical.pull.operators.KeyedTableLookupOperatorTest,class,15,15,0,15,5,1,0,21,0,0.27058825,0.0,0.0,5,0,5,0,0,0,5,0,0,0,17,0,0,17,0,0,0,0,19,96,0,0,0,0,0,0,23,8,0,25,0,0,0,0,57,1,0
D:\trabCKMetrics\repos\confluentincksql\ksqldb-common\src\main\java\io\confluent\ksql\util\VertxCompletableFuture.java,io.confluent.ksql.util.VertxCompletableFuture,class,3,18,15,3,3,2,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,1,0
D:\trabCKMetrics\repos\confluentincksql\ksqldb-streams\src\test\java\io\confluent\ksql\execution\streams\StreamGroupByBuilderTest.java,io.confluent.ksql.execution.streams.StreamGroupByBuilderTest,class,44,45,1,44,16,1,0,61,0,0.7823276,0.0,0.0,16,2,14,2,0,0,14,0,0,0,29,8,1,28,0,0,9,0,28,116,2,0,0,0,0,12,0,17,0,34,0,0,0,0,105,1,0
D:\trabCKMetrics\repos\confluentincksql\ksqldb-rest-app\src\main\java\io\confluent\ksql\api\server\CloseQueryHandler.java,io.confluent.ksql.api.server.CloseQueryHandler,class,8,9,1,8,4,1,0,13,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,2,19,2,0,0,0,0,2,0,3,1,3,1,0,0,0,23,1,0
D:\trabCKMetrics\repos\confluentincksql\ksqldb-parser\src\main\java\io\confluent\ksql\util\ParserKeywordValidatorUtil.java,io.confluent.ksql.util.ParserKeywordValidatorUtil,class,6,11,5,6,14,1,0,17,4,0.6666667,0.0,0.0,4,3,2,2,0,0,2,0,0,0,3,3,0,3,0,0,3,0,5,41,7,2,2,0,0,55,3,11,0,11,3,0,0,0,68,1,0
D:\trabCKMetrics\repos\confluentincksql\ksqldb-common\src\main\java\io\confluent\ksql\function\GenericsUtil.java,io.confluent.ksql.function.GenericsUtil,class,22,29,7,22,40,1,0,61,36,0.0,0.0,0.0,9,8,6,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,39,136,28,3,4,0,10,8,1,20,4,22,5,0,0,1,130,17,0
D:\trabCKMetrics\repos\confluentincksql\ksqldb-rest-app\src\test\java\io\confluent\ksql\rest\server\execution\RequestHandlerTest.java,io.confluent.ksql.rest.server.execution.RequestHandlerTest$Anonymous1,anonymous,2,2,0,2,5,1,0,5,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,16,3,1,1,0,0,0,1,1,0,1,2,0,0,0,14,-1,0
D:\trabCKMetrics\repos\confluentincksql\ksqldb-cli\src\test\java\io\confluent\ksql\cli\console\cmd\RequestPipeliningCommandTest.java,io.confluent.ksql.cli.console.cmd.RequestPipeliningCommandTest,class,6,6,0,6,7,1,0,16,0,0.31428573,0.0,0.0,7,0,7,0,0,0,7,0,0,0,5,0,0,5,0,0,0,0,6,40,0,0,0,0,0,9,0,3,0,5,0,0,0,0,41,1,0
D:\trabCKMetrics\repos\confluentincksql\ksqldb-engine\src\main\java\io\confluent\ksql\physical\scalablepush\operators\PeekStreamOperator.java,io.confluent.ksql.physical.scalablepush.operators.PeekStreamOperator,class,8,11,3,8,12,2,0,7,16,0.6875,0.0,0.0,12,0,12,0,0,0,12,0,0,0,4,0,0,4,0,0,4,0,0,46,7,0,0,0,0,0,0,4,0,4,0,0,0,0,62,1,0
D:\trabCKMetrics\repos\confluentincksql\ksqldb-rest-app\src\test\java\io\confluent\ksql\api\impl\DefaultKsqlSecurityContextProviderTest.java,io.confluent.ksql.api.impl.DefaultKsqlSecurityContextProviderTest,class,16,16,0,16,6,1,0,20,0,0.47222224,0.0,0.0,6,0,6,0,0,0,6,0,0,0,12,0,0,12,0,0,0,0,16,53,0,0,0,0,0,4,0,4,0,15,0,0,0,1,41,1,0
