file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\common\mountpoint\CustomMountPointChooser.java,org.cryptomator.common.mountpoint.CustomMountPointChooser,class,8,10,2,8,15,1,0,14,11,0.72222227,0.0,0.0,6,0,4,2,0,0,4,0,0,0,3,1,0,3,0,0,3,0,4,55,3,0,1,1,0,4,0,5,0,5,2,0,0,0,42,0,1
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\logging\DebugMode.java,org.cryptomator.logging.DebugMode,class,8,10,2,8,7,1,0,11,6,0.6666667,0.0,0.0,5,0,2,3,0,0,2,0,0,0,3,1,0,3,0,0,3,0,0,32,0,1,0,0,0,4,0,4,0,4,1,0,0,0,24,1,2
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\ui\mainwindow\MainWindowModule.java,org.cryptomator.ui.mainwindow.MainWindowModule,class,38,39,1,38,17,1,0,7,136,0.0,0.0,0.0,17,4,0,0,0,17,17,13,0,0,0,0,0,0,0,0,0,0,0,33,4,0,0,0,0,1,4,1,0,1,0,0,0,0,38,1024,0
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\common\vaults\Volume.java,org.cryptomator.common.vaults.Volume$VolumeException,innerclass,0,0,0,0,3,3,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\ui\common\AutoAnimator.java,org.cryptomator.ui.common.AutoAnimator$Builder,innerclass,5,5,0,5,5,1,0,0,2,0.6,0.0,0.0,5,0,4,1,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,28,4,0,0,0,0,0,0,7,0,4,0,0,0,2,18,9,0
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\ui\recoverykey\RecoveryKeySuccessController.java,org.cryptomator.ui.recoverykey.RecoveryKeySuccessController,class,6,7,1,6,2,1,0,1,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8,1,0
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\common\settings\VaultSettingsJsonAdapter.java,org.cryptomator.common.settings.VaultSettingsJsonAdapter,class,6,9,3,6,22,1,0,30,1,0.33333334,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,1,0,1,0,0,1,0,3,109,3,1,2,1,1,31,0,18,1,18,2,0,0,0,63,0,2
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\common\vaults\VaultComponent.java,org.cryptomator.common.vaults.VaultComponent$Builder,interface,8,8,0,8,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\common\vaults\VaultListManager.java,org.cryptomator.common.vaults.VaultListManager,class,14,21,7,14,12,1,0,42,12,0.75,0.0,0.0,8,2,3,5,0,0,3,0,0,0,5,1,0,5,0,0,5,0,3,72,8,0,2,1,0,3,0,13,1,14,1,0,0,2,50,1,1
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\common\vaults\VaultStats.java,org.cryptomator.common.vaults.VaultStats$UpdateStatsService$Anonymous1,anonymous,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
