file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\common\mountpoint\CustomMountPointChooser.java,org.cryptomator.common.mountpoint.CustomMountPointChooser,isApplicable/1[org.cryptomator.common.vaults.Volume],false,37,2,2,0,2,2,2,3,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\common\mountpoint\CustomMountPointChooser.java,org.cryptomator.common.mountpoint.CustomMountPointChooser,chooseMountPoint/1[org.cryptomator.common.vaults.Volume],false,43,2,1,0,1,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\common\mountpoint\CustomMountPointChooser.java,org.cryptomator.common.mountpoint.CustomMountPointChooser,"prepare/2[org.cryptomator.common.vaults.Volume,java.nio.file.Path]",false,49,2,2,0,2,4,2,18,1,0,2,2,0,0,0,0,0,0,3,0,0,0,1,0,0,0,12,1,1,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\common\mountpoint\CustomMountPointChooser.java,org.cryptomator.common.mountpoint.CustomMountPointChooser,prepareParentNoMountPoint/1[java.nio.file.Path],false,67,1,1,0,1,3,4,9,0,1,1,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,15,2,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\common\mountpoint\CustomMountPointChooser.java,org.cryptomator.common.mountpoint.CustomMountPointChooser,prepareEmptyMountPoint/1[java.nio.file.Path],false,81,1,2,0,2,4,5,13,0,1,1,5,0,0,0,0,1,0,1,0,1,0,2,0,0,0,16,2,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\common\mountpoint\CustomMountPointChooser.java,org.cryptomator.common.mountpoint.CustomMountPointChooser,"CustomMountPointChooser/2[org.cryptomator.common.settings.VaultSettings,org.cryptomator.common.Environment]",true,31,3,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,1,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\logging\DebugMode.java,org.cryptomator.logging.DebugMode,setLogLevels/1[boolean],false,42,1,2,1,1,2,2,10,0,0,1,2,1,1,0,0,0,0,2,0,0,0,1,0,0,0,6,2,2,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\logging\DebugMode.java,org.cryptomator.logging.DebugMode,"DebugMode/2[org.cryptomator.common.settings.Settings,org.cryptomator.logging.LoggerContext]",true,28,3,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\logging\DebugMode.java,org.cryptomator.logging.DebugMode,"logLevelChanged/3[org.cryptomator.logging.ObservableValue<? extends java.lang.Boolean>,java.lang.Boolean,java.lang.Boolean]",false,38,2,1,0,1,1,1,3,0,0,3,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,9,2,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\logging\DebugMode.java,org.cryptomator.logging.DebugMode,"setLogLevels/1[java.util.Map<java.lang.String,org.cryptomator.logging.Level>]",false,52,2,2,2,0,2,5,6,0,1,1,5,0,0,1,0,0,0,0,0,1,0,1,0,0,0,7,2,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\logging\DebugMode.java,org.cryptomator.logging.DebugMode,initialize/0,false,33,2,3,1,2,1,4,4,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\ui\mainwindow\MainWindowModule.java,org.cryptomator.ui.mainwindow.MainWindowModule,provideStage/1[org.cryptomator.ui.common.StageFactory],false,50,5,1,0,1,1,6,9,1,1,1,6,0,0,0,0,0,0,1,4,1,0,0,0,0,0,5,8,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\ui\mainwindow\MainWindowModule.java,org.cryptomator.ui.mainwindow.MainWindowModule,bindVaultDetailController/1[org.cryptomator.ui.mainwindow.VaultDetailController],false,95,5,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1024,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\ui\mainwindow\MainWindowModule.java,org.cryptomator.ui.mainwindow.MainWindowModule,bindVaultDetailUnknownErrorController/1[org.cryptomator.ui.mainwindow.VaultDetailUnknownErrorController],false,125,5,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1024,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\ui\mainwindow\MainWindowModule.java,org.cryptomator.ui.mainwindow.MainWindowModule,bindWelcomeController/1[org.cryptomator.ui.mainwindow.WelcomeController],false,100,5,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1024,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\ui\mainwindow\MainWindowModule.java,org.cryptomator.ui.mainwindow.MainWindowModule,bindMainWindowTitleController/1[org.cryptomator.ui.mainwindow.MainWindowTitleController],false,75,5,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1024,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\ui\mainwindow\MainWindowModule.java,org.cryptomator.ui.mainwindow.MainWindowModule,bindVaultListController/1[org.cryptomator.ui.mainwindow.VaultListController],false,85,5,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1024,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\ui\mainwindow\MainWindowModule.java,org.cryptomator.ui.mainwindow.MainWindowModule,bindVaultListCellController/1[org.cryptomator.ui.mainwindow.VaultListCellController],false,130,5,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1024,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\ui\mainwindow\MainWindowModule.java,org.cryptomator.ui.mainwindow.MainWindowModule,provideSelectedVault/0,false,36,5,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\ui\mainwindow\MainWindowModule.java,org.cryptomator.ui.mainwindow.MainWindowModule,provideMainScene/1[org.cryptomator.ui.common.FxmlLoaderFactory],false,64,7,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\ui\mainwindow\MainWindowModule.java,org.cryptomator.ui.mainwindow.MainWindowModule,bindVaultListContextMenuController/1[org.cryptomator.ui.mainwindow.VaultListContextMenuController],false,90,5,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1024,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\ui\mainwindow\MainWindowModule.java,org.cryptomator.ui.mainwindow.MainWindowModule,bindResizeController/1[org.cryptomator.ui.mainwindow.ResizeController],false,80,5,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1024,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\ui\mainwindow\MainWindowModule.java,org.cryptomator.ui.mainwindow.MainWindowModule,bindVaultDetailMissingVaultController/1[org.cryptomator.ui.mainwindow.VaultDetailMissingVaultController],false,115,5,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1024,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\ui\mainwindow\MainWindowModule.java,org.cryptomator.ui.mainwindow.MainWindowModule,"provideFxmlLoaderFactory/3[java.util.Map<java.lang.Class<? extends org.cryptomator.ui.common.FxController>,org.cryptomator.ui.mainwindow.Provider<org.cryptomator.ui.common.FxController>>,org.cryptomator.ui.mainwindow.MainWindowSceneFactory,java.util.ResourceBundle]",false,43,6,1,0,1,1,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\ui\mainwindow\MainWindowModule.java,org.cryptomator.ui.mainwindow.MainWindowModule,bindVaultDetailLockedController/1[org.cryptomator.ui.mainwindow.VaultDetailLockedController],false,105,5,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1024,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\ui\mainwindow\MainWindowModule.java,org.cryptomator.ui.mainwindow.MainWindowModule,bindVaultDetailNeedsMigrationController/1[org.cryptomator.ui.mainwindow.VaultDetailNeedsMigrationController],false,120,5,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1024,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\ui\mainwindow\MainWindowModule.java,org.cryptomator.ui.mainwindow.MainWindowModule,bindVaultDetailUnlockedController/1[org.cryptomator.ui.mainwindow.VaultDetailUnlockedController],false,110,5,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1024,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\ui\mainwindow\MainWindowModule.java,org.cryptomator.ui.mainwindow.MainWindowModule,bindMainWindowController/1[org.cryptomator.ui.mainwindow.MainWindowController],false,70,5,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1024,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\common\vaults\Volume.java,org.cryptomator.common.vaults.Volume$VolumeException,VolumeException/1[java.lang.Throwable],true,82,0,3,3,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\common\vaults\Volume.java,org.cryptomator.common.vaults.Volume$VolumeException,VolumeException/1[java.lang.String],true,78,0,7,7,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\common\vaults\Volume.java,org.cryptomator.common.vaults.Volume$VolumeException,"VolumeException/2[java.lang.String,java.lang.Throwable]",true,86,0,2,2,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\ui\common\AutoAnimator.java,org.cryptomator.ui.common.AutoAnimator$Builder,beforeStart/1[java.lang.Runnable],false,69,1,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\ui\common\AutoAnimator.java,org.cryptomator.ui.common.AutoAnimator$Builder,afterStop/1[java.lang.Runnable],false,74,1,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\ui\common\AutoAnimator.java,org.cryptomator.ui.common.AutoAnimator$Builder,build/0,false,79,1,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\ui\common\AutoAnimator.java,org.cryptomator.ui.common.AutoAnimator$Builder,Builder/1[org.cryptomator.ui.common.Animation],true,60,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\ui\common\AutoAnimator.java,org.cryptomator.ui.common.AutoAnimator$Builder,onCondition/1[org.cryptomator.ui.common.ObservableValue<java.lang.Boolean>],false,64,2,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\ui\recoverykey\RecoveryKeySuccessController.java,org.cryptomator.ui.recoverykey.RecoveryKeySuccessController,close/0,false,20,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\ui\recoverykey\RecoveryKeySuccessController.java,org.cryptomator.ui.recoverykey.RecoveryKeySuccessController,RecoveryKeySuccessController/1[org.cryptomator.ui.recoverykey.Stage],true,15,3,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\common\settings\VaultSettingsJsonAdapter.java,org.cryptomator.common.settings.VaultSettingsJsonAdapter,parseActionAfterUnlock/1[java.lang.String],false,104,1,1,0,1,2,3,9,2,0,1,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,16,2,1,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\common\settings\VaultSettingsJsonAdapter.java,org.cryptomator.common.settings.VaultSettingsJsonAdapter,"write/2[org.cryptomator.common.settings.JsonWriter,org.cryptomator.common.settings.VaultSettings]",false,20,2,16,2,14,1,20,18,0,0,2,20,0,0,0,0,0,0,14,0,0,0,0,0,0,0,7,1,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\common\settings\VaultSettingsJsonAdapter.java,org.cryptomator.common.settings.VaultSettingsJsonAdapter,read/1[org.cryptomator.common.settings.JsonReader],false,39,3,17,2,15,19,22,79,1,17,1,22,0,0,1,2,0,1,16,0,17,1,2,0,0,0,48,1,1,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\common\vaults\VaultComponent.java,org.cryptomator.common.vaults.VaultComponent$Builder,initialErrorCause/1[java.lang.Exception],false,31,4,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\common\vaults\VaultComponent.java,org.cryptomator.common.vaults.VaultComponent$Builder,build/0,false,34,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
D:\trabCKMetrics\repos\cryptomatorcryptomator\src\main\java\org\cryptomator\common\vaults\VaultComponent.java,org.cryptomator.common.vaults.VaultComponent$Builder,initialVaultState/1[org.cryptomator.common.vaults.VaultState.Value],false,28,3,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
