file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\debeziumdebezium\debezium-connector-mysql\src\test\java\io\debezium\connector\mysql\SnapshotSourceIT.java,io.debezium.connector.mysql.SnapshotSourceIT$Anonymous1,anonymous,1,1,0,1,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,1,0,0,0,0,1,0,0,0,18,-1,0
D:\trabCKMetrics\repos\debeziumdebezium\debezium-connector-postgres\src\main\java\io\debezium\connector\postgresql\connection\wal2json\Wal2JsonReplicationMessage.java,io.debezium.connector.postgresql.connection.wal2json.Wal2JsonReplicationMessage,class,15,19,4,15,23,1,0,20,32,0.79761904,0.0,0.0,12,0,10,2,0,0,10,0,0,0,7,1,0,7,0,0,7,0,3,99,13,1,6,0,0,27,1,27,3,24,1,1,0,0,136,0,1
D:\trabCKMetrics\repos\debeziumdebezium\debezium-core\src\main\java\io\debezium\relational\history\DatabaseHistoryListener.java,io.debezium.relational.history.DatabaseHistoryListener,interface,2,9,7,2,6,1,0,0,15,0.8333333,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,1,0,0,0,1,0,0,0,23,0,0,0,0,0,0,0,1,0,1,0,1,0,0,34,1,0
D:\trabCKMetrics\repos\debeziumdebezium\debezium-connector-postgres\src\main\java\io\debezium\connector\postgresql\connection\ReplicationMessage.java,io.debezium.connector.postgresql.connection.ReplicationMessage$NoopMessage,innerclass,3,3,0,3,9,1,0,0,30,0.77777785,0.0,0.0,9,0,9,0,0,0,9,0,0,0,3,0,0,3,0,0,3,0,0,34,4,0,0,0,0,0,0,3,0,3,0,0,0,0,56,1,0
D:\trabCKMetrics\repos\debeziumdebezium\debezium-connector-sqlserver\src\test\java\io\debezium\connector\sqlserver\CaseSensitivenessIT.java,io.debezium.connector.sqlserver.CaseSensitivenessIT,class,17,18,1,17,6,2,0,28,0,0.0,0.0,0.0,5,0,4,1,0,0,4,0,0,0,1,0,0,1,0,0,0,0,7,51,0,0,1,0,9,43,12,8,0,4,1,0,0,0,71,1,0
D:\trabCKMetrics\repos\debeziumdebezium\debezium-connector-mysql\src\main\java\io\debezium\connector\mysql\MySqlConnectorConfig.java,io.debezium.connector.mysql.MySqlConnectorConfig,class,36,66,30,36,60,4,0,85,416,0.9588979,0.0,0.0,41,10,29,7,3,2,34,0,0,0,54,41,33,16,4,1,52,0,83,480,45,0,10,0,3,160,45,69,22,70,2,0,6,1,692,1,4
D:\trabCKMetrics\repos\debeziumdebezium\debezium-core\src\main\java\io\debezium\heartbeat\Heartbeat.java,io.debezium.heartbeat.Heartbeat$OffsetProducer,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
D:\trabCKMetrics\repos\debeziumdebezium\debezium-connector-mongodb\src\test\java\io\debezium\connector\mongodb\Configurator.java,io.debezium.connector.mongodb.Configurator,class,7,10,3,7,18,1,0,10,66,0.6923077,0.0,0.0,13,0,13,0,0,0,13,0,0,0,1,0,0,1,0,0,0,0,16,70,18,0,0,0,0,20,5,1,10,1,1,0,0,0,31,1,10
D:\trabCKMetrics\repos\debeziumdebezium\debezium-connector-oracle\src\main\java\io\debezium\connector\oracle\logminer\parser\LogMinerDmlEntryImpl.java,io.debezium.connector.oracle.logminer.parser.LogMinerDmlEntryImpl,class,4,9,5,4,20,1,0,5,58,0.7,0.0,0.0,16,4,15,1,0,0,15,0,0,0,5,0,0,5,0,0,3,0,5,69,14,0,4,0,0,4,2,12,1,7,1,0,0,0,48,1,0
D:\trabCKMetrics\repos\debeziumdebezium\debezium-connector-mysql\src\main\java\io\debezium\connector\mysql\legacy\RecordMakers.java,io.debezium.connector.mysql.legacy.RecordMakers,class,17,22,5,17,24,1,0,46,22,0.77777773,0.0,0.0,12,0,9,1,2,0,11,0,0,0,12,0,0,12,0,0,12,0,1,265,15,1,10,1,0,4,4,32,1,33,2,1,2,1,201,1,2
