file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\debeziumdebezium\debezium-connector-mysql\src\test\java\io\debezium\connector\mysql\SnapshotSourceIT.java,io.debezium.connector.mysql.SnapshotSourceIT$Anonymous1,run/0,false,241,1,2,0,2,2,2,8,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,18,1,0,false
D:\trabCKMetrics\repos\debeziumdebezium\debezium-connector-postgres\src\main\java\io\debezium\connector\postgresql\connection\wal2json\Wal2JsonReplicationMessage.java,io.debezium.connector.postgresql.connection.wal2json.Wal2JsonReplicationMessage,getTable/0,false,81,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,5,0,0,1,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\debeziumdebezium\debezium-connector-postgres\src\main\java\io\debezium\connector\postgresql\connection\wal2json\Wal2JsonReplicationMessage.java,io.debezium.connector.postgresql.connection.wal2json.Wal2JsonReplicationMessage,getCommitTime/0,false,71,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\debeziumdebezium\debezium-connector-postgres\src\main\java\io\debezium\connector\postgresql\connection\wal2json\Wal2JsonReplicationMessage.java,io.debezium.connector.postgresql.connection.wal2json.Wal2JsonReplicationMessage,getTransactionId/0,false,76,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\debeziumdebezium\debezium-connector-postgres\src\main\java\io\debezium\connector\postgresql\connection\wal2json\Wal2JsonReplicationMessage.java,io.debezium.connector.postgresql.connection.wal2json.Wal2JsonReplicationMessage,isLastEventForLsn/0,false,175,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\trabCKMetrics\repos\debeziumdebezium\debezium-connector-postgres\src\main\java\io\debezium\connector\postgresql\connection\wal2json\Wal2JsonReplicationMessage.java,io.debezium.connector.postgresql.connection.wal2json.Wal2JsonReplicationMessage,getNewTupleList/0,false,92,2,1,0,1,1,1,3,1,0,0,1,1,2,0,0,0,0,4,0,0,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\debeziumdebezium\debezium-connector-postgres\src\main\java\io\debezium\connector\postgresql\connection\wal2json\Wal2JsonReplicationMessage.java,io.debezium.connector.postgresql.connection.wal2json.Wal2JsonReplicationMessage,getOldTupleList/0,false,86,3,2,0,2,2,2,4,1,1,0,2,1,2,0,1,0,0,5,0,1,0,0,0,0,0,8,1,0,false
D:\trabCKMetrics\repos\debeziumdebezium\debezium-connector-postgres\src\main\java\io\debezium\connector\postgresql\connection\wal2json\Wal2JsonReplicationMessage.java,io.debezium.connector.postgresql.connection.wal2json.Wal2JsonReplicationMessage,"transform/5[io.debezium.document.Document,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",false,102,9,10,2,8,5,8,27,1,11,5,8,1,1,1,3,0,0,1,1,11,0,1,1,0,0,46,2,0,false
D:\trabCKMetrics\repos\debeziumdebezium\debezium-connector-postgres\src\main\java\io\debezium\connector\postgresql\connection\wal2json\Wal2JsonReplicationMessage.java,io.debezium.connector.postgresql.connection.wal2json.Wal2JsonReplicationMessage,"Wal2JsonReplicationMessage/6[long,java.time.Instant,io.debezium.document.Document,boolean,boolean,io.debezium.connector.postgresql.TypeRegistry]",true,46,2,2,2,0,1,0,8,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,17,1,0,false
D:\trabCKMetrics\repos\debeziumdebezium\debezium-connector-postgres\src\main\java\io\debezium\connector\postgresql\connection\wal2json\Wal2JsonReplicationMessage.java,io.debezium.connector.postgresql.connection.wal2json.Wal2JsonReplicationMessage,getOperation/0,false,56,2,1,0,1,4,1,12,3,1,0,1,0,0,0,0,0,0,6,0,1,1,1,0,0,0,9,1,0,false
D:\trabCKMetrics\repos\debeziumdebezium\debezium-connector-postgres\src\main\java\io\debezium\connector\postgresql\connection\wal2json\Wal2JsonReplicationMessage.java,io.debezium.connector.postgresql.connection.wal2json.Wal2JsonReplicationMessage,hasTypeMetadata/0,false,97,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\debeziumdebezium\debezium-connector-postgres\src\main\java\io\debezium\connector\postgresql\connection\wal2json\Wal2JsonReplicationMessage.java,io.debezium.connector.postgresql.connection.wal2json.Wal2JsonReplicationMessage,"parseType/2[java.lang.String,java.lang.String]",false,139,2,2,1,1,4,7,17,1,3,2,7,0,0,0,2,0,0,6,0,6,1,1,0,0,0,14,2,1,false
D:\trabCKMetrics\repos\debeziumdebezium\debezium-connector-postgres\src\main\java\io\debezium\connector\postgresql\connection\wal2json\Wal2JsonReplicationMessage.java,io.debezium.connector.postgresql.connection.wal2json.Wal2JsonReplicationMessage,"getValue/6[java.lang.String,io.debezium.connector.postgresql.PostgresType,java.lang.String,io.debezium.document.Value,io.debezium.connector.postgresql.PostgresStreamingChangeEventSource.PgConnectionSupplier,boolean]",false,169,5,3,1,2,1,1,4,1,1,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,63,1,0,true
D:\trabCKMetrics\repos\debeziumdebezium\debezium-core\src\main\java\io\debezium\relational\history\DatabaseHistoryListener.java,io.debezium.relational.history.DatabaseHistoryListener,started/0,false,15,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
D:\trabCKMetrics\repos\debeziumdebezium\debezium-core\src\main\java\io\debezium\relational\history\DatabaseHistoryListener.java,io.debezium.relational.history.DatabaseHistoryListener,recoveryStarted/0,false,19,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\debeziumdebezium\debezium-core\src\main\java\io\debezium\relational\history\DatabaseHistoryListener.java,io.debezium.relational.history.DatabaseHistoryListener,onChangeFromHistory/1[io.debezium.relational.history.HistoryRecord],false,23,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,true
D:\trabCKMetrics\repos\debeziumdebezium\debezium-core\src\main\java\io\debezium\relational\history\DatabaseHistoryListener.java,io.debezium.relational.history.DatabaseHistoryListener,onChangeApplied/1[io.debezium.relational.history.HistoryRecord],false,30,1,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,true
D:\trabCKMetrics\repos\debeziumdebezium\debezium-core\src\main\java\io\debezium\relational\history\DatabaseHistoryListener.java,io.debezium.relational.history.DatabaseHistoryListener,stopped/0,false,17,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
D:\trabCKMetrics\repos\debeziumdebezium\debezium-core\src\main\java\io\debezium\relational\history\DatabaseHistoryListener.java,io.debezium.relational.history.DatabaseHistoryListener,recoveryStopped/0,false,21,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\debeziumdebezium\debezium-connector-postgres\src\main\java\io\debezium\connector\postgresql\connection\ReplicationMessage.java,io.debezium.connector.postgresql.connection.ReplicationMessage$NoopMessage,isLastEventForLsn/0,false,263,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\trabCKMetrics\repos\debeziumdebezium\debezium-connector-postgres\src\main\java\io\debezium\connector\postgresql\connection\ReplicationMessage.java,io.debezium.connector.postgresql.connection.ReplicationMessage$NoopMessage,getOldTupleList/0,false,288,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
