file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\didiDoraemonKit\Android\app\src\debug\java\com\didichuxing\doraemondemo\amap\FloatGpsPresetMockKitView.java,com.didichuxing.doraemondemo.amap.FloatGpsPresetMockKitView$Anonymous1,anonymous,3,3,0,3,2,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,1,1,2,0,0,1,0,1,0,0,0,22,-1,0
D:\trabCKMetrics\repos\didiDoraemonKit\Android\dokit-leakcanary\src\main\java\com\squareup\leakcanary\ActivityRefWatcher.java,com.squareup.leakcanary.ActivityRefWatcher$Anonymous1,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
D:\trabCKMetrics\repos\didiDoraemonKit\Android\dokit\src\main\java\com\didichuxing\doraemonkit\widget\dropdown\DkDropDownMenu.java,com.didichuxing.doraemonkit.widget.dropdown.DkDropDownMenu,class,15,17,2,15,44,2,0,48,84,0.8722221,0.0,0.0,20,0,15,5,0,0,15,0,0,0,18,2,0,16,0,2,1,0,0,241,8,5,16,0,2,3,43,57,11,43,4,2,1,0,117,1,0
D:\trabCKMetrics\repos\didiDoraemonKit\Android\dokit\src\main\java\com\didichuxing\doraemonkit\widget\easyrefresh\EasyRefreshLayout.java,com.didichuxing.doraemonkit.widget.easyrefresh.EasyRefreshLayout$EasyEvent,interface,2,2,0,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
D:\trabCKMetrics\repos\didiDoraemonKit\Android\dokit-util\src\main\java\com\didichuxing\doraemonkit\util\FileUtils.java,com.didichuxing.doraemonkit.util.FileUtils,class,10,12,2,10,273,1,0,114,4186,0.98913044,0.0,0.0,92,91,78,14,0,0,78,0,0,0,1,1,0,1,0,0,1,0,136,703,173,13,72,14,29,27,86,78,25,59,5,3,1,0,201,17,0
D:\trabCKMetrics\repos\didiDoraemonKit\Android\dokit-util\src\main\java\com\didichuxing\doraemonkit\util\BusUtils.java,com.didichuxing.doraemonkit.util.BusUtils,class,5,8,3,5,95,1,0,65,412,0.8697917,0.0,0.0,32,10,9,22,0,1,10,0,0,0,6,2,0,6,0,0,6,0,18,368,32,10,21,3,0,32,3,33,8,26,7,1,3,0,107,17,0
D:\trabCKMetrics\repos\didiDoraemonKit\Android\dokit\src\main\java\com\didichuxing\doraemonkit\kit\blockmonitor\core\BlockCanaryUtils.java,com.didichuxing.doraemonkit.kit.blockmonitor.core.BlockCanaryUtils,class,4,6,2,4,16,1,0,8,6,0.75,0.0,0.0,4,4,2,2,0,0,2,0,0,0,3,3,0,3,0,0,1,0,4,47,9,2,3,0,0,2,5,11,1,9,4,0,0,0,43,17,0
D:\trabCKMetrics\repos\didiDoraemonKit\Android\dokit-leakcanary\src\main\java\com\squareup\leakcanary\KeyedWeakReference.java,com.squareup.leakcanary.KeyedWeakReference,class,1,3,2,1,1,3,0,3,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,2,0,0,0,2,0,4,9,0,0,0,0,0,4,0,2,0,2,0,0,0,0,8,16,0
D:\trabCKMetrics\repos\didiDoraemonKit\Android\dokit-rpc\src\main\java\com\didichuxing\doraemonkit\kit\network\rpc\RpcCapInterceptor.java,com.didichuxing.doraemonkit.kit.network.rpc.RpcCapInterceptor,class,20,22,2,20,15,2,0,36,1,0.5,NaN,NaN,2,0,1,1,0,0,1,0,0,0,2,1,1,1,0,0,2,0,7,74,9,1,3,2,0,14,2,25,4,19,2,0,0,0,58,1,0
D:\trabCKMetrics\repos\didiDoraemonKit\Android\dokit\src\main\java\com\didichuxing\doraemonkit\aop\urlconnection\ObsoleteUrlFactory.java,com.didichuxing.doraemonkit.aop.urlconnection.ObsoleteUrlFactory$OkHttpURLConnection,innerclass,18,18,0,18,102,3,0,79,346,0.8939395,0.0,0.0,33,0,29,2,0,2,31,0,0,0,14,0,0,3,0,11,2,0,18,374,38,2,32,9,1,32,11,52,7,38,4,0,1,0,171,24,0
D:\trabCKMetrics\repos\didiDoraemonKit\Android\dokit\src\main\java\com\didichuxing\doraemonkit\kit\blockmonitor\core\StackSampler.java,com.didichuxing.doraemonkit.kit.blockmonitor.core.StackSampler,class,3,6,3,3,20,1,0,25,13,0.7922079,0.0,0.0,7,0,5,2,0,0,5,0,0,0,11,5,0,11,0,0,5,0,1,93,7,2,5,0,0,4,2,14,1,14,3,2,0,0,65,1,0
D:\trabCKMetrics\repos\didiDoraemonKit\Android\dokit\src\main\java\com\didichuxing\doraemonkit\config\CrashCaptureConfig.java,com.didichuxing.doraemonkit.config.CrashCaptureConfig,class,1,3,2,1,2,1,0,2,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
D:\trabCKMetrics\repos\didiDoraemonKit\Android\dokit\src\main\java\com\didichuxing\doraemonkit\widget\tableview\listener\Observable.java,com.didichuxing.doraemonkit.widget.tableview.listener.Observable,class,1,3,2,1,9,1,0,5,0,0.2,0.0,0.0,5,0,5,0,0,0,5,1,0,0,1,0,1,0,0,0,1,0,0,28,1,0,2,0,0,0,0,1,0,1,2,0,0,0,17,1025,0
D:\trabCKMetrics\repos\didiDoraemonKit\Android\dokit\src\main\java\com\didichuxing\doraemonkit\aop\urlconnection\ObsoleteUrlFactory.java,com.didichuxing.doraemonkit.aop.urlconnection.ObsoleteUrlFactory$OkHttpURLConnection$NetworkInterceptor,innerclass,4,4,0,4,5,1,0,13,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,37,1,1,0,1,0,0,0,10,0,4,3,0,0,0,27,16,0
D:\trabCKMetrics\repos\didiDoraemonKit\Android\dokit\src\main\java\com\didichuxing\doraemonkit\constant\FragmentIndex.java,com.didichuxing.doraemonkit.constant.FragmentIndex,interface,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,4,4,0,4,0,0,0,0,28,1,0
D:\trabCKMetrics\repos\didiDoraemonKit\Android\dokit-util\src\main\java\com\didichuxing\doraemonkit\util\SDCardUtils.java,com.didichuxing.doraemonkit.util.SDCardUtils$SDCardInfo,innerclass,2,2,0,2,7,1,0,4,0,0.5714286,0.0,0.0,7,0,6,0,0,1,7,0,0,0,5,0,0,5,0,0,0,0,4,32,6,0,0,0,0,6,0,5,2,5,0,0,0,0,18,9,0
D:\trabCKMetrics\repos\didiDoraemonKit\Android\dokit\src\main\java\com\didichuxing\doraemonkit\widget\dropdown\DkDropDownMenu.java,com.didichuxing.doraemonkit.widget.dropdown.DkDropDownMenu$OnItemMenuClickListener,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
D:\trabCKMetrics\repos\didiDoraemonKit\Android\dokit-util\src\main\java\com\didichuxing\doraemonkit\util\ReflectUtils.java,com.didichuxing.doraemonkit.util.ReflectUtils,class,5,19,14,5,91,4,0,77,429,0.7285714,0.0,0.0,35,7,15,20,0,0,15,0,0,0,2,0,0,2,0,0,2,0,14,393,55,8,23,14,4,8,13,28,2,24,3,3,2,0,121,17,0
D:\trabCKMetrics\repos\didiDoraemonKit\Android\dokit\src\main\java\com\didichuxing\doraemonkit\kit\fileexplorer\SpInputView.java,com.didichuxing.doraemonkit.kit.fileexplorer.SpInputView$OnDataChangeListener,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
D:\trabCKMetrics\repos\didiDoraemonKit\Android\dokit-leakcanary\src\main\java\com\squareup\leakcanary\FailTestOnLeakRunListener.java,com.squareup.leakcanary.FailTestOnLeakRunListener,class,16,17,1,16,15,2,0,21,23,0.72727275,0.0,0.0,11,0,7,1,3,0,10,0,7,0,3,1,0,3,0,0,1,0,4,65,4,1,2,0,0,10,1,14,0,10,1,0,0,0,109,1,0
D:\trabCKMetrics\repos\didiDoraemonKit\Android\app\src\debug\java\com\didichuxing\doraemondemo\AopApp.java,com.didichuxing.doraemondemo.AopApp$Anonymous1,anonymous,2,2,0,2,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-1,0
D:\trabCKMetrics\repos\didiDoraemonKit\Android\dokit-util\src\main\java\com\didichuxing\doraemonkit\util\BusUtils.java,com.didichuxing.doraemonkit.util.BusUtils$BusInfo,innerclass,1,1,0,1,4,1,0,2,0,0.39999995,0.0,0.0,3,0,1,1,0,1,2,0,0,0,10,0,0,0,0,10,0,0,0,29,2,0,0,0,2,13,0,9,3,10,0,0,0,0,21,26,0
D:\trabCKMetrics\repos\didiDoraemonKit\Android\dokit\src\main\java\com\didichuxing\doraemonkit\aop\bigimg\fresco\FrescoHook.java,com.didichuxing.doraemonkit.aop.bigimg.fresco.FrescoHook,class,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
