file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\doocsleetcode\solution\0700-0799\0729.My Calendar I\Solution.java,MyCalendar,class,3,3,0,3,5,1,0,1,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,15,2,1,0,0,0,0,2,1,0,1,2,0,0,0,9,0,0
D:\trabCKMetrics\repos\doocsleetcode\solution\0300-0399\0381.Insert Delete GetRandom O(1) - Duplicates allowed\Solution.java,RandomizedCollection,class,7,7,0,7,9,1,0,12,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,41,4,0,2,0,0,0,4,9,1,9,1,0,0,0,39,0,0
D:\trabCKMetrics\repos\doocsleetcode\solution\1000-1099\1030.Matrix Cells in Distance Order\Solution.java,Node,innerclass,0,4,3,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,3,0,0
D:\trabCKMetrics\repos\doocsleetcode\solution\1500-1599\1579.Remove Max Number of Edges to Keep Graph Fully Traversable\Solution.java,UnionFind,class,2,4,2,2,6,1,0,1,0,0.16666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,2,0,0,0,0,0,0,26,3,1,2,0,0,0,3,8,2,5,1,0,0,0,14,0,0
D:\trabCKMetrics\repos\doocsleetcode\lcci\16.25.LRU Cache\Solution.java,LRUCache$Node,innerclass,1,1,0,1,2,1,0,0,1,0.75,0.0,0.0,2,0,0,0,0,2,2,0,0,0,4,0,0,0,0,4,0,0,0,12,0,0,0,0,0,0,0,2,0,4,0,0,0,0,5,0,0
D:\trabCKMetrics\repos\doocsleetcode\solution\0700-0799\0703.Kth Largest Element in a Stream\Solution.java,KthLargest,class,3,4,1,3,4,1,0,5,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,18,1,1,0,0,0,0,0,2,0,2,1,0,0,0,9,0,0
D:\trabCKMetrics\repos\doocsleetcode\solution\1300-1399\1396.Design Underground System\Solution.java,UndergroundSystem,class,3,3,0,3,4,1,0,4,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,28,1,0,0,0,0,2,6,10,5,9,0,0,0,0,19,0,0
D:\trabCKMetrics\repos\doocsleetcode\solution\0300-0399\0307.Range Sum Query - Mutable\Solution.java,NumArray,class,0,1,0,1,10,1,0,3,7,0.5833334,0.0,0.0,6,0,2,3,0,1,3,0,0,0,1,0,0,0,0,1,0,0,0,38,3,4,0,0,1,0,8,12,6,6,1,0,0,0,18,1,0
D:\trabCKMetrics\repos\doocsleetcode\lcof\???09. ????????\Solution.java,CQueue,class,3,4,1,3,8,1,0,4,0,0.125,0.0,0.0,4,0,3,1,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,25,1,1,0,0,0,0,1,2,0,2,1,0,0,0,10,0,0
D:\trabCKMetrics\repos\doocsleetcode\solution\0500-0599\0535.Encode and Decode TinyURL\Solution.java,Codec,class,3,8,0,8,2,1,0,4,0,0.16666667,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,1,0,3,0,0,1,0,0,14,2,0,0,0,0,2,1,5,1,5,0,0,0,0,10,1,0
