file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\doocsleetcode\solution\0700-0799\0729.My Calendar I\Solution.java,MyCalendar,MyCalendar/0,true,4,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,false
D:\trabCKMetrics\repos\doocsleetcode\solution\0700-0799\0729.My Calendar I\Solution.java,MyCalendar,"book/2[int,int]",false,8,1,0,0,0,4,1,9,2,0,2,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,7,1,0,false
D:\trabCKMetrics\repos\doocsleetcode\solution\0300-0399\0381.Insert Delete GetRandom O(1) - Duplicates allowed\Solution.java,RandomizedCollection,RandomizedCollection/0,true,7,3,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,1,0,true
D:\trabCKMetrics\repos\doocsleetcode\solution\0300-0399\0381.Insert Delete GetRandom O(1) - Duplicates allowed\Solution.java,RandomizedCollection,remove/1[int],false,23,1,0,0,0,4,9,20,2,4,1,9,0,0,0,0,0,0,0,1,4,1,1,0,0,0,17,1,0,true
D:\trabCKMetrics\repos\doocsleetcode\solution\0300-0399\0381.Insert Delete GetRandom O(1) - Duplicates allowed\Solution.java,RandomizedCollection,getRandom/0,false,46,0,0,0,0,2,3,4,1,1,0,3,0,0,0,1,0,0,0,2,1,0,0,0,0,0,9,1,0,true
D:\trabCKMetrics\repos\doocsleetcode\solution\0300-0399\0381.Insert Delete GetRandom O(1) - Duplicates allowed\Solution.java,RandomizedCollection,insert/1[int],false,14,2,0,0,0,2,4,7,1,1,1,4,0,0,0,1,0,0,0,1,1,0,0,0,0,0,17,1,0,true
D:\trabCKMetrics\repos\doocsleetcode\solution\1000-1099\1030.Matrix Cells in Distance Order\Solution.java,Node,"Node/2[int,int]",true,6,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\doocsleetcode\solution\1500-1599\1579.Remove Max Number of Edges to Keep Graph Fully Traversable\Solution.java,UnionFind,UnionFind/1[int],true,34,1,0,0,0,2,0,7,0,1,1,0,0,0,1,0,0,0,0,1,4,0,1,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\doocsleetcode\solution\1500-1599\1579.Remove Max Number of Edges to Keep Graph Fully Traversable\Solution.java,UnionFind,"union/2[int,int]",false,42,1,1,0,1,2,1,9,2,2,2,1,1,1,0,1,0,0,0,2,3,2,1,0,0,0,9,1,0,false
D:\trabCKMetrics\repos\doocsleetcode\solution\1500-1599\1579.Remove Max Number of Edges to Keep Graph Fully Traversable\Solution.java,UnionFind,find/1[int],false,52,1,3,2,1,2,1,6,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\doocsleetcode\lcci\16.25.LRU Cache\Solution.java,LRUCache$Node,"Node/2[int,int]",true,10,0,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,false
D:\trabCKMetrics\repos\doocsleetcode\lcci\16.25.LRU Cache\Solution.java,LRUCache$Node,Node/0,true,7,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false
D:\trabCKMetrics\repos\doocsleetcode\solution\0700-0799\0703.Kth Largest Element in a Stream\Solution.java,KthLargest,add/1[int],false,13,0,1,1,0,2,4,7,1,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\doocsleetcode\solution\0700-0799\0703.Kth Largest Element in a Stream\Solution.java,KthLargest,"KthLargest/2[int,int[]]",true,5,3,1,0,1,2,1,7,0,0,2,1,1,1,1,0,0,0,0,0,2,0,1,0,0,0,8,1,0,false
