file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\dromaraSa-Token\sa-token-demo\sa-token-demo-solon\src\main\java\com\pj\satoken\SaTokenConfigure.java,com.pj.satoken.SaTokenConfigure,class,6,6,0,6,1,1,0,11,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,14,2,0,0,0,0,10,0,0,0,3,1,0,0,3,14,1,0
D:\trabCKMetrics\repos\dromaraSa-Token\sa-token-starter\sa-token-reactor-spring-boot-starter\src\main\java\cn\dev33\satoken\reactor\spring\SaBeanRegister.java,cn.dev33.satoken.reactor.spring.SaBeanRegister$Anonymous1,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
D:\trabCKMetrics\repos\dromaraSa-Token\sa-token-core\src\main\java\cn\dev33\satoken\secure\SaSecureUtil.java,cn.dev33.satoken.secure.SaSecureUtil,class,4,5,1,4,47,1,0,52,129,0.84444445,0.0,0.0,18,18,11,7,0,0,11,0,0,0,5,5,0,5,0,0,3,0,40,253,18,10,7,10,9,29,39,96,22,81,3,0,0,0,122,1,0
D:\trabCKMetrics\repos\dromaraSa-Token\sa-token-core\src\main\java\cn\dev33\satoken\listener\SaTokenListenerDefaultImpl.java,cn.dev33.satoken.listener.SaTokenListenerDefaultImpl,class,6,8,2,6,10,1,0,6,34,0.7777778,0.0,0.0,9,0,9,0,0,0,9,0,0,0,1,1,1,0,0,0,1,0,3,33,0,0,0,0,0,20,1,2,11,2,1,0,0,0,39,1,0
D:\trabCKMetrics\repos\dromaraSa-Token\sa-token-demo\sa-token-demo-jwt\src\main\java\com\pj\test\TestJwtController.java,com.pj.test.TestJwtController,class,8,8,0,8,4,1,0,19,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,21,38,4,0,0,0,0,25,1,1,11,1,0,0,0,0,21,1,0
D:\trabCKMetrics\repos\dromaraSa-Token\sa-token-starter\sa-token-spring-boot-starter\src\test\java\com\pj\test\SaTokenSpringBootStarterTest.java,com.pj.test.SaTokenSpringBootStarterTest,class,11,11,0,11,15,1,0,41,66,0.0,0.0,0.0,12,2,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,63,102,0,0,0,0,0,23,44,5,0,5,0,0,0,1,39,1,0
D:\trabCKMetrics\repos\dromaraSa-Token\sa-token-plugin\sa-token-oauth2\src\main\java\cn\dev33\satoken\oauth2\logic\SaOAuth2Consts.java,cn.dev33.satoken.oauth2.logic.SaOAuth2Consts$Param,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,15,15,15,0,0,0,0,0,0,17,0,0,0,0,0,15,0,15,0,15,0,0,0,0,20,25,0
D:\trabCKMetrics\repos\dromaraSa-Token\sa-token-demo\sa-token-demo-quick-login\src\main\java\com\pj\SaQuicikStartup.java,com.pj.SaQuicikStartup,class,6,7,1,6,2,1,0,6,1,0.5,NaN,NaN,2,1,1,1,0,0,1,0,0,0,3,0,0,3,0,0,0,0,3,12,1,0,0,0,0,14,0,1,1,4,0,0,0,0,24,1,0
D:\trabCKMetrics\repos\dromaraSa-Token\sa-token-starter\sa-token-spring-boot-starter\src\test\java\com\pj\test\satoken\StpInterfaceImpl.java,com.pj.test.satoken.StpInterfaceImpl,class,2,2,0,2,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,8,2,0,0,0,0,7,0,0,0,0,0,0,0,0,11,1,0
D:\trabCKMetrics\repos\dromaraSa-Token\sa-token-plugin\sa-token-quick-login\src\main\java\cn\dev33\satoken\quick\web\SaQuickController.java,cn.dev33.satoken.quick.web.SaQuickController,class,10,11,1,10,6,1,0,9,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,19,4,0,0,0,0,7,3,1,0,1,1,0,0,0,18,1,0
D:\trabCKMetrics\repos\dromaraSa-Token\sa-token-core\src\main\java\cn\dev33\satoken\exception\NotPermissionException.java,cn.dev33.satoken.exception.NotPermissionException,class,1,3,2,1,4,5,0,0,0,0.41666666,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,1,0,3,0,0,1,0,0,19,2,0,0,0,0,1,1,3,1,3,0,0,0,0,19,1,0
D:\trabCKMetrics\repos\dromaraSa-Token\sa-token-starter\sa-token-solon-plugin\src\main\java\cn\dev33\satoken\solon\integration\SaTokenPathFilter.java,cn.dev33.satoken.solon.integration.SaTokenPathFilter,class,9,11,2,9,13,1,0,10,9,0.65999997,0.0,0.0,10,0,10,0,0,0,10,0,0,0,5,0,3,2,0,0,0,0,4,66,10,0,0,1,1,1,0,11,0,9,2,0,0,4,43,1,0
D:\trabCKMetrics\repos\dromaraSa-Token\sa-token-core\src\main\java\cn\dev33\satoken\context\SaTokenContextDefaultImpl.java,cn.dev33.satoken.context.SaTokenContextDefaultImpl,class,5,6,1,5,4,1,0,0,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,1,0,0,0,1,0,0,15,0,0,0,0,0,1,0,1,0,1,0,0,0,0,22,1,0
D:\trabCKMetrics\repos\dromaraSa-Token\sa-token-core\src\main\java\cn\dev33\satoken\stp\SaLoginModel.java,cn.dev33.satoken.stp.SaLoginModel,class,3,10,7,3,16,1,0,3,11,0.57575756,0.0,0.0,11,1,11,0,0,0,11,0,0,0,3,0,3,0,0,0,0,0,1,56,13,0,5,0,0,4,1,6,1,3,1,0,0,0,26,1,0
D:\trabCKMetrics\repos\dromaraSa-Token\sa-token-starter\sa-token-reactor-spring-boot-starter\src\main\java\cn\dev33\satoken\reactor\model\SaRequestForReactor.java,cn.dev33.satoken.reactor.model.SaRequestForReactor,class,10,12,2,10,11,1,0,20,0,0.0,0.0,0.0,9,0,9,0,0,0,9,0,0,0,1,0,0,0,1,0,0,0,3,42,10,0,2,0,0,0,0,7,1,7,1,0,0,0,36,1,0
D:\trabCKMetrics\repos\dromaraSa-Token\sa-token-core\src\main\java\cn\dev33\satoken\context\SaTokenContextForThreadLocalStorage.java,cn.dev33.satoken.context.SaTokenContextForThreadLocalStorage$Box,innerclass,3,3,0,3,8,1,0,0,0,0.5,0.0,0.0,8,0,8,0,0,0,8,0,0,0,3,0,3,0,0,0,0,0,0,31,4,0,0,0,0,4,0,6,1,3,0,0,0,0,13,9,0
D:\trabCKMetrics\repos\dromaraSa-Token\sa-token-demo\sa-token-demo-oauth2-client\src\main\java\com\pj\SaOAuth2ClientApplication.java,com.pj.SaOAuth2ClientApplication,class,2,3,1,2,1,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,7,0,0,0,0,0,7,0,1,2,1,0,0,0,0,13,1,0
D:\trabCKMetrics\repos\dromaraSa-Token\sa-token-core\src\main\java\cn\dev33\satoken\router\SaRouteFunction.java,cn.dev33.satoken.router.SaRouteFunction,interface,2,3,1,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
