file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\dromarahutool\hutool-core\src\main\java\cn\hutool\core\lang\mutable\MutableLong.java,cn.hutool.core.lang.mutable.MutableLong,class,3,4,1,3,22,2,0,5,0,0.52380955,0.0,0.0,21,0,21,0,0,0,21,0,0,0,2,1,0,2,0,0,1,0,3,75,16,0,1,0,3,0,2,9,1,2,1,0,0,0,48,1,0
D:\trabCKMetrics\repos\dromarahutool\hutool-core\src\main\java\cn\hutool\core\net\multipart\MultipartRequestInputStream.java,cn.hutool.core.net.multipart.MultipartRequestInputStream,class,4,7,3,4,32,4,0,18,54,0.75,0.0,0.0,12,0,11,0,1,0,12,0,0,0,2,0,0,0,2,0,0,0,1,133,12,7,11,0,3,3,19,24,3,19,2,0,0,0,56,1,0
D:\trabCKMetrics\repos\dromarahutool\hutool-script\src\main\java\cn\hutool\script\ScriptRuntimeException.java,cn.hutool.script.ScriptRuntimeException,class,2,4,2,2,16,4,0,9,44,0.7307692,0.0,0.0,13,0,13,0,0,0,13,0,0,0,4,1,0,4,0,0,1,0,3,63,4,0,3,0,0,3,5,12,0,5,2,0,0,0,89,1,0
D:\trabCKMetrics\repos\dromarahutool\hutool-setting\src\main\java\cn\hutool\setting\SettingLoader.java,cn.hutool.setting.SettingLoader,class,11,13,2,11,28,1,0,42,13,0.74285716,0.0,0.0,10,0,8,2,0,0,8,0,0,2,7,2,0,7,0,0,5,0,20,127,4,4,6,3,0,8,12,30,1,18,4,0,0,0,78,1,3
D:\trabCKMetrics\repos\dromarahutool\hutool-json\src\main\java\cn\hutool\json\serialize\JSONObjectSerializer.java,cn.hutool.json.serialize.JSONObjectSerializer,interface,3,7,4,3,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
D:\trabCKMetrics\repos\dromarahutool\hutool-extra\src\main\java\cn\hutool\extra\tokenizer\engine\hanlp\HanLPWord.java,cn.hutool.extra.tokenizer.engine.hanlp.HanLPWord,class,3,5,2,3,5,1,0,3,0,0.6,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,1,0,2,0,0,2,0,0,19,4,0,0,0,0,0,1,2,1,2,0,0,0,0,20,1,0
D:\trabCKMetrics\repos\dromarahutool\hutool-crypto\src\main\java\cn\hutool\crypto\asymmetric\SM2.java,cn.hutool.crypto.asymmetric.SM2,class,21,25,4,21,51,3,0,38,534,0.8958333,0.0,0.0,36,0,33,3,0,0,33,0,0,0,8,1,0,6,2,0,1,0,24,220,31,0,10,4,0,7,4,31,0,14,2,0,0,0,84,1,0
D:\trabCKMetrics\repos\dromarahutool\hutool-core\src\test\java\cn\hutool\core\codec\CaesarTest.java,cn.hutool.core.codec.CaesarTest,class,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,2,2,3,0,3,0,0,0,0,6,1,0
D:\trabCKMetrics\repos\dromarahutool\hutool-http\src\main\java\cn\hutool\http\HttpResponse.java,cn.hutool.http.HttpResponse,class,19,30,11,19,64,2,0,58,355,0.86666673,0.0,0.0,30,1,23,6,1,0,24,0,0,0,6,0,0,3,3,0,1,0,27,230,31,2,8,6,3,14,8,36,1,24,3,0,0,0,98,1,0
D:\trabCKMetrics\repos\dromarahutool\hutool-cache\src\main\java\cn\hutool\cache\CacheListener.java,cn.hutool.cache.CacheListener,interface,2,4,2,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
