file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\dropwizarddropwizard\dropwizard-jersey\src\test\java\io\dropwizard\jersey\jackson\JacksonMessageBodyProviderTest.java,io.dropwizard.jersey.jackson.JacksonMessageBodyProviderTest$ListExample,innerclass,4,4,0,4,0,1,0,1,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,9,0
D:\trabCKMetrics\repos\dropwizarddropwizard\dropwizard-example\src\test\java\com\example\helloworld\resources\PeopleResourceTest.java,com.example.helloworld.resources.PeopleResourceTest$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
D:\trabCKMetrics\repos\dropwizarddropwizard\dropwizard-json-logging\src\main\java\io\dropwizard\logging\json\layout\TimestampFormatter.java,io.dropwizard.logging.json.layout.TimestampFormatter,class,1,9,8,1,5,1,0,9,0,0.25,0.0,0.0,2,0,2,0,0,0,3,0,0,0,2,1,0,2,0,0,2,0,4,34,1,0,2,0,0,15,0,4,0,3,1,0,0,1,35,1,0
D:\trabCKMetrics\repos\dropwizarddropwizard\dropwizard-views-mustache\src\test\java\io\dropwizard\views\mustache\MustacheViewRendererTest.java,io.dropwizard.views.mustache.MustacheViewRendererTest$ExampleResource,innerclass,7,7,0,7,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,6,0,0,0,0,0,0,0,0,9,9,0
D:\trabCKMetrics\repos\dropwizarddropwizard\dropwizard-jersey\src\test\java\io\dropwizard\jersey\validation\ValidatingResource.java,io.dropwizard.jersey.validation.ValidatingResource,class,43,43,0,43,48,1,0,16,1081,1.0,0.0,0.0,47,0,47,0,0,0,47,0,0,0,1,0,0,1,0,0,0,0,1,148,47,0,1,0,0,88,25,3,3,3,0,0,0,0,96,1,0
D:\trabCKMetrics\repos\dropwizarddropwizard\dropwizard-servlets\src\test\java\io\dropwizard\servlets\tasks\PostBodyTaskTest.java,io.dropwizard.servlets.tasks.PostBodyTaskTest,class,4,4,0,4,1,1,0,4,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,10,0,0,0,0,0,2,0,1,0,1,0,1,0,1,20,1,0
D:\trabCKMetrics\repos\dropwizarddropwizard\dropwizard-testing\src\main\java\io\dropwizard\testing\junit\DropwizardAppRule.java,io.dropwizard.testing.junit.DropwizardAppRule$Anonymous2,anonymous,4,4,0,4,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
D:\trabCKMetrics\repos\dropwizarddropwizard\dropwizard-views-freemarker\src\test\java\io\dropwizard\views\freemarker\ErrorView.java,io.dropwizard.views.freemarker.ErrorView,class,1,2,1,1,1,2,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0
D:\trabCKMetrics\repos\dropwizarddropwizard\dropwizard-json-logging\src\main\java\io\dropwizard\logging\json\EventAttribute.java,io.dropwizard.logging.json.EventAttribute,enum,1,4,3,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,14,1,0
D:\trabCKMetrics\repos\dropwizarddropwizard\dropwizard-jersey\src\test\java\io\dropwizard\jersey\params\NonEmptyStringParamTest.java,io.dropwizard.jersey.params.NonEmptyStringParamTest,class,3,3,0,3,3,1,0,5,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,3,0,3,0,3,0,0,0,0,18,1,0
