file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\facebookbuck\test\com\facebook\buck\android\testdata\bad_android_config\Hello.java,com.example.Hello,class,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
D:\trabCKMetrics\repos\facebookbuck\third-party\java\dx\src\com\android\dx\rop\code\ThrowingInsn.java,com.android.dx.rop.code.ThrowingInsn,class,10,15,5,10,11,2,0,14,0,0.125,0.0,0.0,8,1,8,0,0,0,8,0,0,0,1,0,0,1,0,0,1,0,0,41,6,1,2,0,0,4,2,4,0,4,1,0,0,0,78,17,0
D:\trabCKMetrics\repos\facebookbuck\third-party\java\dx\src\com\android\dx\rop\code\PlainInsn.java,com.android.dx.rop.code.PlainInsn,class,16,28,12,16,19,2,0,19,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,68,8,0,5,1,1,3,4,13,1,11,2,0,0,0,67,17,0
D:\trabCKMetrics\repos\facebookbuck\third-party\java\dx\src\com\android\multidex\ArchivePathElement.java,com.android.multidex.ArchivePathElement$Anonymous1,anonymous,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0
D:\trabCKMetrics\repos\facebookbuck\third-party\java\dx\src\com\android\dx\util\BitIntSet.java,com.android.dx.util.BitIntSet,class,9,14,5,9,19,1,0,20,0,0.11111111,0.0,0.0,9,0,8,1,0,0,8,0,0,0,1,0,0,0,0,1,0,0,17,82,4,3,0,0,1,1,11,13,5,10,2,1,0,0,50,1,0
D:\trabCKMetrics\repos\facebookbuck\test\com\facebook\buck\jvm\java\abi\source\TreeFinder.java,com.facebook.buck.jvm.java.abi.source.TreeFinder$Anonymous1,anonymous,6,6,0,6,14,1,0,5,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,43,12,0,4,0,0,0,0,0,0,0,1,0,0,0,18,-1,0
D:\trabCKMetrics\repos\facebookbuck\third-party\java\dx\src\com\android\dx\util\MutabilityControl.java,com.android.dx.util.MutabilityControl,class,1,29,28,1,9,1,8,0,0,0.0,0.0,0.0,7,0,7,0,0,0,7,0,4,0,1,0,0,1,0,0,0,0,0,28,2,0,0,0,0,2,0,3,0,1,1,0,0,0,58,1,0
D:\trabCKMetrics\repos\facebookbuck\third-party\java\dx\src\com\android\dx\dex\file\DebugInfoDecoder.java,com.android.dx.dex.file.DebugInfoDecoder$PositionEntry,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,13,10,0
D:\trabCKMetrics\repos\facebookbuck\third-party\java\dx\src\com\android\dx\rop\code\FillArrayDataInsn.java,com.android.dx.rop.code.FillArrayDataInsn,class,12,17,5,12,9,2,0,6,10,0.5,0.0,0.0,8,0,8,0,0,0,8,0,0,0,2,0,0,2,0,0,2,0,0,33,5,0,1,0,0,2,0,2,0,2,1,0,0,0,70,17,0
D:\trabCKMetrics\repos\facebookbuck\test\com\facebook\buck\android\testdata\android_project\java\com\sample\shared\Shared.java,com.facebook.sample.Shared,class,2,2,0,2,1,5,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
D:\trabCKMetrics\repos\facebookbuck\third-party\java\dx\src\com\android\dx\rop\cst\ConstantPool.java,com.android.dx.rop.cst.ConstantPool,interface,1,3,2,1,5,1,0,0,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,1,0
D:\trabCKMetrics\repos\facebookbuck\test\com\facebook\buck\android\testdata\android_project\java\com\sample\small\Small.java,Small,class,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
D:\trabCKMetrics\repos\facebookbuck\.idea\fileTemplates\Singleton.java,$,class,0,0,0,0,4,1,0,0,0,0.0,0.0,0.0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
D:\trabCKMetrics\repos\facebookbuck\third-party\java\dx\src\com\android\dx\dex\file\ProtoIdsSection.java,com.android.dx.dex.file.ProtoIdsSection,class,12,16,4,12,15,3,0,14,1,0.2857143,0.0,0.0,7,0,6,0,1,0,7,0,0,1,1,0,0,1,0,0,1,0,0,57,3,1,5,0,2,8,7,7,2,6,1,0,0,0,89,17,0
D:\trabCKMetrics\repos\facebookbuck\android\android\support\v4\app\Fragment.java,android.support.v4.app.Fragment,class,4,7,3,4,6,1,0,0,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,6,0,0,0,0,0,0,1,0,17,1,0
D:\trabCKMetrics\repos\facebookbuck\third-party\java\dx\src\com\android\dx\dex\code\VariableSizeInsn.java,com.android.dx.dex.code.VariableSizeInsn,class,4,4,0,4,3,2,0,3,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,39,1025,0
D:\trabCKMetrics\repos\facebookbuck\third-party\java\dx\src\com\android\dx\ssa\EscapeAnalysis.java,com.android.dx.ssa.EscapeAnalysis$Anonymous2,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,-1,0
D:\trabCKMetrics\repos\facebookbuck\third-party\java\dx\src\com\android\dx\rop\code\RopMethod.java,com.android.dx.rop.code.RopMethod,class,7,16,9,7,20,1,0,13,0,0.39285713,0.0,0.0,7,0,6,1,0,0,6,0,0,0,4,0,0,4,0,0,2,0,0,88,5,3,9,0,0,3,7,27,1,20,4,0,0,0,101,17,0
D:\trabCKMetrics\repos\facebookbuck\third-party\java\dx\src\com\android\dx\ssa\EscapeAnalysis.java,com.android.dx.ssa.EscapeAnalysis$Anonymous1,anonymous,2,2,0,2,3,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,1,0,0,0,0,0,0,0,1,0,0,0,8,-1,0
D:\trabCKMetrics\repos\facebookbuck\test\com\facebook\buck\android\testdata\android_project\java\com\sample\lib\ResourcesTest.java,com.facebook.sample.ResourcesTest,class,4,4,0,4,3,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1,0
D:\trabCKMetrics\repos\facebookbuck\third-party\java\dx\src\com\android\dx\ssa\SsaInsn.java,com.android.dx.ssa.SsaInsn,class,12,37,25,12,35,1,2,13,187,0.73913044,0.0,0.0,23,1,21,0,2,0,23,9,2,0,2,0,0,2,0,0,1,0,1,83,10,0,10,1,1,3,0,8,0,4,1,0,1,0,169,1025,0
D:\trabCKMetrics\repos\facebookbuck\third-party\java\dx\src\com\android\dx\merge\InstructionTransformer.java,com.android.dx.merge.InstructionTransformer$FieldVisitor,innerclass,4,4,0,4,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,1,0,0,4,0,3,0,0,0,0,13,2,0
D:\trabCKMetrics\repos\facebookbuck\third-party\java\dx\src\com\android\dx\rop\code\InsnList.java,com.android.dx.rop.code.InsnList,class,5,12,7,5,15,3,0,9,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,45,7,3,3,0,0,0,4,8,1,8,2,0,0,0,98,17,0
D:\trabCKMetrics\repos\facebookbuck\third-party\java\dx\src\com\android\dx\io\instructions\CodeInput.java,com.android.dx.io.instructions.CodeInput,interface,1,38,37,1,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,0
D:\trabCKMetrics\repos\facebookbuck\third-party\java\dx\tests\116-leb128\com\android\dx\util\Leb128UtilsTest.java,com.android.dx.util.Leb128UtilsTest,class,7,8,1,7,7,3,0,12,21,0.0,0.0,0.0,7,0,4,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,21,43,2,0,0,0,0,0,52,2,0,2,0,0,0,0,30,17,0
D:\trabCKMetrics\repos\facebookbuck\third-party\java\dx\src\com\android\dx\dex\file\ProtoIdItem.java,com.android.dx.dex.file.ProtoIdItem,class,16,18,2,16,15,3,0,28,9,0.52380955,0.0,0.0,7,2,5,2,0,0,5,0,0,0,3,0,0,3,0,0,2,0,4,73,5,2,5,0,1,9,10,20,5,19,3,0,0,0,79,17,0
D:\trabCKMetrics\repos\facebookbuck\third-party\java\dx\src\com\android\dx\rop\type\Type.java,com.android.dx.rop.type.Type,class,5,48,43,5,114,1,0,26,112,0.94977677,0.0,0.0,32,4,29,3,0,0,30,0,0,0,56,49,48,8,0,0,52,0,11,370,54,1,19,2,14,57,34,71,17,65,3,0,0,0,268,17,0
D:\trabCKMetrics\repos\facebookbuck\third-party\java\dx\src\com\android\dx\dex\file\AnnotationItem.java,com.android.dx.dex.file.AnnotationItem,class,20,23,3,20,17,3,0,23,0,0.77500004,0.0,0.0,10,1,7,0,3,0,10,0,0,0,8,5,0,8,0,0,6,0,1,99,4,1,1,0,0,7,11,18,6,16,1,0,1,0,135,17,0
D:\trabCKMetrics\repos\facebookbuck\third-party\java\dx\src\com\android\dx\merge\DexMerger.java,com.android.dx.merge.DexMerger$IdMerger,innerclass,12,12,0,12,22,1,0,22,30,0.6666667,0.0,0.0,9,0,2,2,1,4,7,4,2,0,1,0,0,1,0,0,1,0,0,98,3,7,3,0,0,0,11,33,2,24,2,0,1,0,79,1024,0
D:\trabCKMetrics\repos\facebookbuck\tools\consistency_checker\src\com\facebook\buck\tools\consistency\CliArgs.java,com.facebook.buck.tools.consistency.CliArgs$RuleKeyDiffCommand,innerclass,6,6,0,6,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,5,0,0,0,0,5,0,0,0,10,0,0,0,0,0,12,3,2,1,5,0,0,0,0,59,9,0
