file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\facebookbuck\third-party\java\dx\src\com\android\dx\rop\code\ThrowingInsn.java,com.android.dx.rop.code.ThrowingInsn,getCatches/0,false,86,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
D:\trabCKMetrics\repos\facebookbuck\third-party\java\dx\src\com\android\dx\rop\code\ThrowingInsn.java,com.android.dx.rop.code.ThrowingInsn,"ThrowingInsn/4[com.android.dx.rop.code.Rop,com.android.dx.rop.code.SourcePosition,com.android.dx.rop.code.RegisterSpecList,com.android.dx.rop.type.TypeList]",true,64,4,5,4,1,3,1,10,0,0,4,1,0,0,0,2,0,0,2,0,1,0,1,0,0,0,24,1,0,true
D:\trabCKMetrics\repos\facebookbuck\third-party\java\dx\src\com\android\dx\rop\code\ThrowingInsn.java,com.android.dx.rop.code.ThrowingInsn,toCatchString/1[com.android.dx.rop.type.TypeList],false,40,2,2,0,2,2,6,10,1,3,1,6,0,0,1,0,0,0,2,2,3,0,1,0,0,0,24,9,0,true
D:\trabCKMetrics\repos\facebookbuck\third-party\java\dx\src\com\android\dx\rop\code\ThrowingInsn.java,com.android.dx.rop.code.ThrowingInsn,accept/1[com.android.dx.rop.code.Insn.Visitor],false,92,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,true
D:\trabCKMetrics\repos\facebookbuck\third-party\java\dx\src\com\android\dx\rop\code\ThrowingInsn.java,com.android.dx.rop.code.ThrowingInsn,getInlineString/0,false,80,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
D:\trabCKMetrics\repos\facebookbuck\third-party\java\dx\src\com\android\dx\rop\code\ThrowingInsn.java,com.android.dx.rop.code.ThrowingInsn,"withNewRegisters/2[com.android.dx.rop.code.RegisterSpec,com.android.dx.rop.code.RegisterSpecList]",false,114,4,3,0,3,1,2,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
D:\trabCKMetrics\repos\facebookbuck\third-party\java\dx\src\com\android\dx\rop\code\ThrowingInsn.java,com.android.dx.rop.code.ThrowingInsn,withRegisterOffset/1[int],false,105,3,5,0,5,1,4,3,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
D:\trabCKMetrics\repos\facebookbuck\third-party\java\dx\src\com\android\dx\rop\code\ThrowingInsn.java,com.android.dx.rop.code.ThrowingInsn,withAddedCatch/1[com.android.dx.rop.type.Type],false,98,4,5,0,5,1,4,3,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
D:\trabCKMetrics\repos\facebookbuck\third-party\java\dx\src\com\android\dx\rop\code\PlainInsn.java,com.android.dx.rop.code.PlainInsn,"PlainInsn/4[com.android.dx.rop.code.Rop,com.android.dx.rop.code.SourcePosition,com.android.dx.rop.code.RegisterSpec,com.android.dx.rop.code.RegisterSpecList]",true,41,4,16,15,1,5,1,13,0,0,4,1,0,0,0,2,0,0,2,0,0,0,1,0,0,0,24,1,0,true
D:\trabCKMetrics\repos\facebookbuck\third-party\java\dx\src\com\android\dx\rop\code\PlainInsn.java,com.android.dx.rop.code.PlainInsn,accept/1[com.android.dx.rop.code.Insn.Visitor],false,79,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,true
D:\trabCKMetrics\repos\facebookbuck\third-party\java\dx\src\com\android\dx\rop\code\PlainInsn.java,com.android.dx.rop.code.PlainInsn,getCatches/0,false,73,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
D:\trabCKMetrics\repos\facebookbuck\third-party\java\dx\src\com\android\dx\rop\code\PlainInsn.java,com.android.dx.rop.code.PlainInsn,withRegisterOffset/1[int],false,91,4,7,0,7,1,6,3,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
D:\trabCKMetrics\repos\facebookbuck\third-party\java\dx\src\com\android\dx\rop\code\PlainInsn.java,com.android.dx.rop.code.PlainInsn,"withNewRegisters/2[com.android.dx.rop.code.RegisterSpec,com.android.dx.rop.code.RegisterSpecList]",false,150,4,3,0,3,1,2,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
D:\trabCKMetrics\repos\facebookbuck\third-party\java\dx\src\com\android\dx\rop\code\PlainInsn.java,com.android.dx.rop.code.PlainInsn,"PlainInsn/4[com.android.dx.rop.code.Rop,com.android.dx.rop.code.SourcePosition,com.android.dx.rop.code.RegisterSpec,com.android.dx.rop.code.RegisterSpec]",true,67,4,1,0,1,1,1,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,true
D:\trabCKMetrics\repos\facebookbuck\third-party\java\dx\src\com\android\dx\rop\code\PlainInsn.java,com.android.dx.rop.code.PlainInsn,withAddedCatch/1[com.android.dx.rop.type.Type],false,85,2,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,1,0,true
