file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\febsteamFEBS-Shiro\src\main\java\cc\mrbird\febs\job\service\impl\JobServiceImpl.java,cc.mrbird.febs.job.service.impl.JobServiceImpl,class,18,19,1,18,18,2,0,43,3,0.3,0.0,0.0,10,0,10,0,0,0,10,0,0,0,1,0,0,1,0,0,1,0,19,78,2,0,1,0,0,2,0,10,0,16,2,0,0,5,43,1,0
D:\trabCKMetrics\repos\febsteamFEBS-Shiro\src\main\java\cc\mrbird\febs\system\entity\Test.java,cc.mrbird.febs.system.entity.Test,class,2,2,0,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,0,0,1,0,0,5,0,0,0,0,0,1,1,1,0,3,0,0,0,0,13,1,0
D:\trabCKMetrics\repos\febsteamFEBS-Shiro\src\main\java\cc\mrbird\febs\monitor\controller\LoginLogController.java,cc.mrbird.febs.monitor.controller.LoginLogController,class,15,15,0,15,3,2,0,9,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,13,2,0,0,0,0,10,0,0,0,1,0,0,0,0,29,1,0
D:\trabCKMetrics\repos\febsteamFEBS-Shiro\src\main\java\cc\mrbird\febs\monitor\endpoint\FebsMetricsEndpoint.java,cc.mrbird.febs.monitor.endpoint.FebsMetricsEndpoint$AvailableTag,innerclass,0,0,0,0,3,1,0,0,0,0.33333334,0.0,0.0,3,0,2,0,0,1,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,6,25,0
D:\trabCKMetrics\repos\febsteamFEBS-Shiro\src\main\java\cc\mrbird\febs\system\controller\UserController.java,cc.mrbird.febs.system.controller.UserController,class,20,20,0,20,15,2,0,26,0,0.0,0.0,0.0,12,0,12,0,0,0,12,0,0,0,1,0,0,1,0,0,1,0,1,55,11,0,2,0,0,39,0,1,0,2,1,0,0,0,48,1,0
D:\trabCKMetrics\repos\febsteamFEBS-Shiro\src\main\java\cc\mrbird\febs\common\exception\GeneratorException.java,cc.mrbird.febs.common.exception.GeneratorException,class,1,1,0,1,1,5,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,13,1,0
D:\trabCKMetrics\repos\febsteamFEBS-Shiro\src\main\java\cc\mrbird\febs\others\mapper\DataPermissionTestMapper.java,cc.mrbird.febs.others.mapper.DataPermissionTestMapper,interface,2,2,0,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0
D:\trabCKMetrics\repos\febsteamFEBS-Shiro\src\main\java\cc\mrbird\febs\job\service\IJobLogService.java,cc.mrbird.febs.job.service.IJobLogService,interface,5,8,3,5,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
D:\trabCKMetrics\repos\febsteamFEBS-Shiro\src\main\java\cc\mrbird\febs\system\service\IRoleMenuService.java,cc.mrbird.febs.system.service.IRoleMenuService,interface,1,4,3,1,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
D:\trabCKMetrics\repos\febsteamFEBS-Shiro\src\main\java\cc\mrbird\febs\common\listener\UserAuthenticationUpdatedEventListener.java,cc.mrbird.febs.common.listener.UserAuthenticationUpdatedEventListener,class,9,9,0,9,2,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,12,0,0,0,0,0,1,0,2,0,3,1,0,0,0,18,1,1
