file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\flywayflyway\flyway-core\src\main\java\org\flywaydb\core\internal\database\saphana\SAPHANAConnection.java,org.flywaydb.core.internal.database.saphana.SAPHANAConnection,class,6,7,1,6,6,2,0,4,8,0.6,0.0,0.0,5,0,3,0,1,1,5,0,0,0,1,0,0,1,0,0,1,0,0,25,3,0,0,1,0,5,0,2,1,2,1,0,0,0,45,1,0
D:\trabCKMetrics\repos\flywayflyway\flyway-core\src\main\java\org\flywaydb\core\internal\scanner\classpath\jboss\JBossVFSv2UrlResolver.java,org.flywaydb.core.internal.scanner.classpath.jboss.JBossVFSv2UrlResolver,class,2,3,1,2,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,16,1,0,0,1,0,6,0,6,0,6,1,0,0,0,35,1,0
D:\trabCKMetrics\repos\flywayflyway\flyway-core\src\main\java\org\flywaydb\core\internal\authentication\ExternalAuthPropertiesProvider.java,org.flywaydb.core.internal.authentication.ExternalAuthPropertiesProvider,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
D:\trabCKMetrics\repos\flywayflyway\flyway-core\src\main\java\org\flywaydb\core\internal\database\postgresql\PostgreSQLDatabase.java,org.flywaydb.core.internal.database.postgresql.PostgreSQLDatabase,class,11,18,7,11,16,2,1,12,91,0.0,0.0,0.0,14,1,11,0,2,1,14,0,0,0,0,0,0,0,0,0,0,0,2,47,12,0,1,0,1,62,0,1,6,1,0,0,0,0,103,1,0
D:\trabCKMetrics\repos\flywayflyway\flyway-core\src\main\java\org\flywaydb\core\internal\scanner\classpath\FileSystemClassPathLocationScanner.java,org.flywaydb.core.internal.scanner.classpath.FileSystemClassPathLocationScanner,class,5,7,2,5,9,1,0,18,1,0.33333334,0.0,0.0,3,0,1,1,0,1,2,0,0,0,1,1,0,1,0,0,1,0,2,42,4,1,0,0,0,9,1,8,6,7,4,0,0,0,62,1,4
D:\trabCKMetrics\repos\flywayflyway\flyway-community-db-support\src\main\java\org\flywaydb\community\database\ignite\thin\IgniteThinParser.java,org.flywaydb.community.database.ignite.thin.IgniteThinParser,class,6,7,1,6,4,2,0,13,6,0.75,0.0,0.0,4,0,1,0,3,0,4,0,0,0,1,1,0,1,0,0,1,0,1,18,3,0,0,0,0,4,1,2,1,3,0,0,0,1,38,1,0
D:\trabCKMetrics\repos\flywayflyway\flyway-core\src\main\java\org\flywaydb\core\internal\database\sqlite\SQLiteTable.java,org.flywaydb.core.internal.database.sqlite.SQLiteTable,class,10,12,2,10,7,3,0,9,2,0.5833333,0.0,0.0,4,0,1,0,3,0,4,0,0,0,3,2,0,2,0,1,3,0,1,27,1,0,0,0,0,11,1,5,5,4,2,0,0,0,70,1,2
D:\trabCKMetrics\repos\flywayflyway\flyway-core\src\main\java\org\flywaydb\core\internal\database\oracle\OracleSchema.java,org.flywaydb.core.internal.database.oracle.OracleSchema$ObjectType$Anonymous3,anonymous,6,6,0,6,2,1,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,3,0,0,1,0,0,0,0,0,32,-1,0
D:\trabCKMetrics\repos\flywayflyway\flyway-core\src\main\java\org\flywaydb\core\internal\database\oracle\OracleSchema.java,org.flywaydb.core.internal.database.oracle.OracleSchema$ObjectType$Anonymous2,anonymous,5,5,0,5,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,3,0,0,1,0,0,0,0,0,33,-1,0
D:\trabCKMetrics\repos\flywayflyway\flyway-core\src\main\java\org\flywaydb\core\internal\database\oracle\OracleDatabase.java,org.flywaydb.core.internal.database.oracle.OracleDatabase,class,12,48,36,12,31,2,0,25,300,0.96,0.0,0.0,25,1,11,2,3,9,23,0,1,0,1,1,0,1,0,0,1,0,5,87,22,0,2,0,1,107,0,5,11,5,1,0,0,0,228,1,0
