file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\gephigephi\modules\ProjectAPI\src\main\java\org\gephi\project\io\Xml10FilterReader.java,org.gephi.project.io.Xml10FilterReader,"read/3[char[],int,int]",false,40,2,1,0,1,5,2,19,2,3,3,2,0,0,1,1,0,0,0,4,4,4,2,0,0,0,51,1,0,true
D:\trabCKMetrics\repos\gephigephi\modules\ProjectAPI\src\main\java\org\gephi\project\io\Xml10FilterReader.java,org.gephi.project.io.Xml10FilterReader,Xml10FilterReader/1[java.io.Reader],true,24,0,3,3,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,true
D:\trabCKMetrics\repos\gephigephi\modules\VisualizationImpl\src\main\java\org\gephi\visualization\apiimpl\contextmenuitems\CopyOrMoveToWorkspace.java,org.gephi.visualization.apiimpl.contextmenuitems.CopyOrMoveToWorkspace,canExecute/0,false,92,0,1,1,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\gephigephi\modules\VisualizationImpl\src\main\java\org\gephi\visualization\apiimpl\contextmenuitems\CopyOrMoveToWorkspace.java,org.gephi.visualization.apiimpl.contextmenuitems.CopyOrMoveToWorkspace,getType/0,false,97,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\gephigephi\modules\VisualizationImpl\src\main\java\org\gephi\visualization\apiimpl\contextmenuitems\CopyOrMoveToWorkspace.java,org.gephi.visualization.apiimpl.contextmenuitems.CopyOrMoveToWorkspace,"setup/2[org.gephi.visualization.apiimpl.contextmenuitems.Node[],org.gephi.visualization.apiimpl.contextmenuitems.Node]",false,65,1,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\gephigephi\modules\VisualizationImpl\src\main\java\org\gephi\visualization\apiimpl\contextmenuitems\CopyOrMoveToWorkspace.java,org.gephi.visualization.apiimpl.contextmenuitems.CopyOrMoveToWorkspace,getSubItems/0,false,70,7,6,0,6,4,10,22,3,4,0,10,2,1,1,2,0,0,0,5,4,0,3,0,0,0,23,1,0,false
D:\trabCKMetrics\repos\gephigephi\modules\VisualizationImpl\src\main\java\org\gephi\visualization\apiimpl\contextmenuitems\CopyOrMoveToWorkspace.java,org.gephi.visualization.apiimpl.contextmenuitems.CopyOrMoveToWorkspace,execute/0,false,61,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
D:\trabCKMetrics\repos\gephigephi\modules\VisualizationImpl\src\main\java\org\gephi\visualization\apiimpl\contextmenuitems\CopyOrMoveToWorkspace.java,org.gephi.visualization.apiimpl.contextmenuitems.CopyOrMoveToWorkspace,getIcon/0,false,102,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\gephigephi\modules\VisualizationImpl\src\main\java\org\gephi\visualization\apiimpl\contextmenuitems\CopyOrMoveToWorkspace.java,org.gephi.visualization.apiimpl.contextmenuitems.CopyOrMoveToWorkspace,isCopy/0,false,106,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1028,0,false
D:\trabCKMetrics\repos\gephigephi\modules\ProcessorPlugin\src\main\java\org\gephi\io\processor\plugin\DefaultProcessor.java,org.gephi.io.processor.plugin.DefaultProcessor$GraphConfigurationWrapper,toString/0,false,397,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,11,1,0,false
