file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\getActivityAndroidProject\app\src\main\java\com\hjq\demo\ui\activity\PersonalDataActivity.java,com.hjq.demo.ui.activity.PersonalDataActivity,class,27,29,2,27,22,4,0,61,9,0.65079373,0.0,0.0,7,0,1,3,3,0,4,0,0,0,9,0,0,9,0,0,0,0,5,134,6,0,6,0,0,24,5,21,4,26,3,1,0,4,80,17,1
D:\trabCKMetrics\repos\getActivityAndroidProject\widget\src\main\java\com\hjq\widget\layout\SettingBar.java,com.hjq.widget.layout.SettingBar,class,18,21,3,18,45,2,0,49,352,0.8030303,0.0,0.0,33,0,33,0,0,0,33,0,0,0,4,0,0,4,0,0,4,0,0,201,29,0,1,0,0,0,26,16,0,10,1,0,0,0,76,17,0
D:\trabCKMetrics\repos\getActivityAndroidProject\app\src\main\java\com\hjq\demo\ui\dialog\PayPasswordDialog.java,com.hjq.demo.ui.dialog.PayPasswordDialog$OnListener,interface,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
D:\trabCKMetrics\repos\getActivityAndroidProject\app\src\main\java\com\hjq\demo\ui\dialog\SelectDialog.java,com.hjq.demo.ui.dialog.SelectDialog$SelectAdapter,innerclass,13,13,0,13,17,5,0,15,27,0.7,0.0,0.0,10,0,2,8,0,0,2,0,0,0,3,0,0,3,0,0,1,0,1,77,4,1,3,0,0,1,6,5,0,3,2,0,1,0,31,26,0
D:\trabCKMetrics\repos\getActivityAndroidProject\app\src\main\java\com\hjq\demo\ui\dialog\MenuDialog.java,com.hjq.demo.ui.dialog.MenuDialog$MenuAdapter$ViewHolder,innerclass,5,5,0,5,5,3,0,6,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,2,0,0,2,0,0,2,0,0,26,0,0,3,0,0,0,3,2,1,2,2,0,0,0,14,18,0
D:\trabCKMetrics\repos\getActivityAndroidProject\base\src\main\java\com\hjq\base\action\BundleAction.java,com.hjq.base.action.BundleAction,interface,5,27,22,5,26,1,0,16,120,0.0,0.0,0.0,16,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,88,25,0,10,0,1,1,4,10,0,10,1,0,0,0,28,1,0
D:\trabCKMetrics\repos\getActivityAndroidProject\app\src\main\java\com\hjq\demo\ui\activity\StatusActivity.java,com.hjq.demo.ui.activity.StatusActivity,class,8,9,1,8,8,4,0,13,4,0.5,0.0,0.0,4,0,1,0,3,0,4,0,0,0,1,0,0,1,0,0,0,0,0,38,2,0,0,0,0,5,6,1,0,5,2,0,0,2,27,17,0
D:\trabCKMetrics\repos\getActivityAndroidProject\app\src\main\java\com\hjq\demo\ui\activity\PasswordForgetActivity.java,com.hjq.demo.ui.activity.PasswordForgetActivity,class,21,24,3,21,14,4,0,30,4,0.55,0.0,0.0,5,0,2,0,3,0,5,0,0,0,4,0,0,4,0,0,0,0,2,73,8,0,6,0,0,0,2,4,0,4,2,2,0,0,51,17,0
D:\trabCKMetrics\repos\getActivityAndroidProject\base\src\main\java\com\hjq\base\BaseDialog.java,com.hjq.base.BaseDialog$OnShowListener,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
D:\trabCKMetrics\repos\getActivityAndroidProject\base\src\main\java\com\hjq\base\RecyclerPagerAdapter.java,com.hjq.base.RecyclerPagerAdapter$Anonymous1,anonymous,1,1,0,1,6,1,0,1,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-1,0
