file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\getActivityAndroidProject\app\src\main\java\com\hjq\demo\ui\activity\PersonalDataActivity.java,com.hjq.demo.ui.activity.PersonalDataActivity,cropImage/1[java.io.File],false,149,5,6,1,5,6,24,42,1,7,1,24,2,1,0,2,0,0,17,4,6,2,3,0,0,1,37,2,0,true
D:\trabCKMetrics\repos\getActivityAndroidProject\app\src\main\java\com\hjq\demo\ui\activity\PersonalDataActivity.java,com.hjq.demo.ui.activity.PersonalDataActivity,initData/0,false,76,5,2,0,2,1,8,7,0,1,0,8,0,0,0,0,0,0,2,0,1,1,0,0,0,0,14,4,1,false
D:\trabCKMetrics\repos\getActivityAndroidProject\app\src\main\java\com\hjq\demo\ui\activity\PersonalDataActivity.java,com.hjq.demo.ui.activity.PersonalDataActivity,getImageFormat/1[java.io.File],false,246,1,1,1,0,3,3,10,3,1,1,3,0,0,0,0,0,0,2,0,1,0,1,0,0,0,6,2,0,true
D:\trabCKMetrics\repos\getActivityAndroidProject\app\src\main\java\com\hjq\demo\ui\activity\PersonalDataActivity.java,com.hjq.demo.ui.activity.PersonalDataActivity,onClick/1[com.hjq.demo.ui.activity.View],false,93,12,16,1,15,8,22,36,0,8,1,22,2,2,0,4,0,0,0,1,4,1,3,0,0,3,24,1,0,false
D:\trabCKMetrics\repos\getActivityAndroidProject\app\src\main\java\com\hjq\demo\ui\activity\PersonalDataActivity.java,com.hjq.demo.ui.activity.PersonalDataActivity,"updateImage/2[java.io.File,boolean]",false,214,7,4,1,3,2,10,17,1,0,2,10,0,0,0,0,0,0,0,0,1,0,1,1,0,0,20,2,0,true
D:\trabCKMetrics\repos\getActivityAndroidProject\app\src\main\java\com\hjq\demo\ui\activity\PersonalDataActivity.java,com.hjq.demo.ui.activity.PersonalDataActivity,getLayoutId/0,false,61,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
D:\trabCKMetrics\repos\getActivityAndroidProject\app\src\main\java\com\hjq\demo\ui\activity\PersonalDataActivity.java,com.hjq.demo.ui.activity.PersonalDataActivity,initView/0,false,66,1,2,0,2,1,2,8,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,14,4,0,false
D:\trabCKMetrics\repos\getActivityAndroidProject\widget\src\main\java\com\hjq\widget\layout\SettingBar.java,com.hjq.widget.layout.SettingBar,setRightIcon/1[com.hjq.widget.layout.Drawable],false,250,2,2,2,0,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
D:\trabCKMetrics\repos\getActivityAndroidProject\widget\src\main\java\com\hjq\widget\layout\SettingBar.java,com.hjq.widget.layout.SettingBar,getRightIcon/0,false,255,1,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\getActivityAndroidProject\widget\src\main\java\com\hjq\widget\layout\SettingBar.java,com.hjq.widget.layout.SettingBar,setLineSize/1[int],false,313,2,1,1,0,1,2,6,1,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,1,0,true
D:\trabCKMetrics\repos\getActivityAndroidProject\widget\src\main\java\com\hjq\widget\layout\SettingBar.java,com.hjq.widget.layout.SettingBar,setRightIcon/1[int],false,245,2,1,0,1,1,3,4,1,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
D:\trabCKMetrics\repos\getActivityAndroidProject\widget\src\main\java\com\hjq\widget\layout\SettingBar.java,com.hjq.widget.layout.SettingBar,setLineDrawable/1[com.hjq.widget.layout.Drawable],false,305,2,2,2,0,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\trabCKMetrics\repos\getActivityAndroidProject\widget\src\main\java\com\hjq\widget\layout\SettingBar.java,com.hjq.widget.layout.SettingBar,getRightText/0,false,209,0,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
