file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\gocdgocd\server\src\test-fast\java\com\thoughtworks\go\server\service\EnvironmentConfigServiceTest.java,com.thoughtworks.go.server.service.EnvironmentConfigServiceTest$EnvironmentForPipeline,innerclass,5,5,0,5,2,1,0,7,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,6,1,6,0,6,0,0,0,0,22,0,0
D:\trabCKMetrics\repos\gocdgocd\common\src\test\java\com\thoughtworks\go\domain\AgentInstanceTest.java,com.thoughtworks.go.domain.AgentInstanceTest$isStuckInCancel,innerclass,6,6,0,6,2,1,0,11,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,1,5,1,5,0,0,0,0,34,0,0
D:\trabCKMetrics\repos\gocdgocd\server\src\test-integration\java\com\thoughtworks\go\config\CachedGoConfigIntegrationTest.java,com.thoughtworks.go.config.CachedGoConfigIntegrationTest$Anonymous13,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
D:\trabCKMetrics\repos\gocdgocd\plugin-infra\go-plugin-infra\src\test\java\com\thoughtworks\go\plugin\infra\monitor\DefaultExternalPluginJarLocationMonitorTest.java,com.thoughtworks.go.plugin.infra.monitor.DefaultExternalPluginJarLocationMonitorTest,class,14,14,0,14,13,2,0,39,0,0.41538462,0.0,0.0,13,0,0,0,0,13,13,0,0,0,5,0,0,5,0,0,0,0,6,149,0,0,0,0,0,48,4,12,0,12,0,0,0,1,126,0,0
D:\trabCKMetrics\repos\gocdgocd\server\src\test-integration\java\com\thoughtworks\go\config\CachedGoConfigIntegrationTest.java,com.thoughtworks.go.config.CachedGoConfigIntegrationTest$Anonymous12,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,-1,0
D:\trabCKMetrics\repos\gocdgocd\config\config-api\src\test\java\com\thoughtworks\go\config\policy\PolicyTest.java,com.thoughtworks.go.config.policy.PolicyTest$Anonymous1,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
D:\trabCKMetrics\repos\gocdgocd\server\src\test-integration\java\com\thoughtworks\go\config\CachedGoConfigIntegrationTest.java,com.thoughtworks.go.config.CachedGoConfigIntegrationTest$Anonymous11,anonymous,4,4,0,4,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,1,0,0,0,0,0,0,0,0,12,-1,0
D:\trabCKMetrics\repos\gocdgocd\server\src\test-integration\java\com\thoughtworks\go\config\CachedGoConfigIntegrationTest.java,com.thoughtworks.go.config.CachedGoConfigIntegrationTest$Anonymous10,anonymous,2,2,0,2,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,1,0,0,0,0,0,0,0,0,8,-1,0
D:\trabCKMetrics\repos\gocdgocd\server\src\test-integration\java\com\thoughtworks\go\config\CachedGoConfigIntegrationTest.java,com.thoughtworks.go.config.CachedGoConfigIntegrationTest$Anonymous17,anonymous,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,1,1,0,1,0,0,0,0,6,-1,0
D:\trabCKMetrics\repos\gocdgocd\server\src\test-integration\java\com\thoughtworks\go\config\CachedGoConfigIntegrationTest.java,com.thoughtworks.go.config.CachedGoConfigIntegrationTest$Anonymous16,anonymous,3,3,0,3,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,-1,0
D:\trabCKMetrics\repos\gocdgocd\server\src\test-integration\java\com\thoughtworks\go\config\CachedGoConfigIntegrationTest.java,com.thoughtworks.go.config.CachedGoConfigIntegrationTest$Anonymous15,anonymous,3,3,0,3,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,-1,0
D:\trabCKMetrics\repos\gocdgocd\server\src\main\java\com\thoughtworks\go\config\security\permissions\NoOnePermission.java,com.thoughtworks.go.config.security.permissions.NoOnePermission,class,3,4,1,3,3,5,0,0,1,0.33333334,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,11,2,0,0,0,0,0,0,1,0,1,0,0,0,0,17,1,0
D:\trabCKMetrics\repos\gocdgocd\server\src\test-integration\java\com\thoughtworks\go\config\CachedGoConfigIntegrationTest.java,com.thoughtworks.go.config.CachedGoConfigIntegrationTest$Anonymous14,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
D:\trabCKMetrics\repos\gocdgocd\test\http-mocks\src\main\java\com\thoughtworks\go\http\mocks\MockHttpServletRequest.java,com.thoughtworks.go.http.mocks.MockHttpServletRequest,class,22,71,49,22,168,1,0,74,6920,0.9775941,0.0,0.0,121,0,118,2,1,0,119,0,0,0,45,8,6,39,0,0,14,0,14,566,73,2,25,0,19,44,15,93,10,65,2,0,0,0,299,1,0
D:\trabCKMetrics\repos\gocdgocd\server\src\main\java\com\thoughtworks\go\server\service\PipelineUnlockApiService.java,com.thoughtworks.go.server.service.PipelineUnlockApiService,class,14,21,7,14,11,1,0,17,0,0.5,0.0,0.0,5,0,4,1,0,0,4,0,0,0,4,0,0,4,0,0,4,0,9,53,8,0,1,0,0,6,0,10,1,10,1,0,0,0,89,1,0
