file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\googleExoPlayer\library\rtsp\src\main\java\com\google\android\exoplayer2\source\rtsp\RtspMediaSource.java,com.google.android.exoplayer2.source.rtsp.RtspMediaSource,class,18,21,3,18,10,5,0,9,18,0.7361111,0.0,0.0,8,0,4,1,2,1,8,0,0,0,9,1,1,8,0,0,5,0,2,119,2,0,0,0,1,1,1,13,0,11,1,1,2,1,64,17,0
D:\trabCKMetrics\repos\googleExoPlayer\testutils\src\main\java\com\google\android\exoplayer2\testutil\DecoderCountersUtil.java,com.google.android.exoplayer2.testutil.DecoderCountersUtil,class,2,4,2,2,11,1,0,7,21,0.0,0.0,0.0,7,6,6,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,31,1,0,0,0,0,24,0,5,6,5,0,0,0,0,49,17,0
D:\trabCKMetrics\repos\googleExoPlayer\library\core\src\main\java\com\google\android\exoplayer2\source\ads\ServerSideInsertedAdsMediaSource.java,com.google.android.exoplayer2.source.ads.ServerSideInsertedAdsMediaSource$SharedMediaPeriod,innerclass,35,35,0,35,82,1,0,61,63,0.80857146,0.0,0.0,35,0,31,4,0,0,31,0,0,0,10,0,3,7,0,0,3,0,35,254,29,7,24,0,4,0,14,65,2,46,4,0,0,0,127,26,0
D:\trabCKMetrics\repos\googleExoPlayer\library\core\src\main\java\com\google\android\exoplayer2\source\chunk\DataChunk.java,com.google.android.exoplayer2.source.chunk.DataChunk,class,10,13,3,10,12,2,2,6,0,0.5,0.0,0.0,6,0,4,1,1,0,5,1,2,0,3,1,0,3,0,0,1,0,2,41,1,1,3,1,0,0,5,8,3,5,3,0,0,0,86,1025,0
D:\trabCKMetrics\repos\googleExoPlayer\library\core\src\main\java\com\google\android\exoplayer2\drm\ExoMediaDrm.java,com.google.android.exoplayer2.drm.ExoMediaDrm,interface,11,23,12,11,20,1,0,0,188,0.95000005,0.0,0.0,20,0,0,0,0,20,20,0,0,0,6,0,0,0,0,6,0,0,0,107,0,0,0,0,0,6,0,6,0,6,0,0,8,0,247,1,0
D:\trabCKMetrics\repos\googleExoPlayer\library\hls\src\test\java\com\google\android\exoplayer2\source\hls\HlsMediaSourceTest.java,com.google.android.exoplayer2.source.hls.HlsMediaSourceTest,class,21,22,1,21,29,1,0,41,276,0.0,0.0,0.0,24,3,21,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,67,271,3,0,5,0,0,290,70,148,20,153,0,0,0,8,162,1,0
D:\trabCKMetrics\repos\googleExoPlayer\library\core\src\main\java\com\google\android\exoplayer2\source\MergingMediaPeriod.java,com.google.android.exoplayer2.source.MergingMediaPeriod$TimeOffsetMediaPeriod,innerclass,14,14,0,14,26,1,0,18,0,0.4117647,0.0,0.0,17,0,17,0,0,0,17,0,0,0,3,0,0,3,0,0,2,0,2,76,10,2,7,0,1,0,2,15,13,12,2,0,0,0,63,26,0
D:\trabCKMetrics\repos\googleExoPlayer\library\extractor\src\main\java\com\google\android\exoplayer2\extractor\DummyTrackOutput.java,com.google.android.exoplayer2.extractor.DummyTrackOutput,class,9,17,8,9,7,1,0,3,8,0.6,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,1,24,2,0,1,0,0,0,2,3,0,3,2,0,0,0,36,17,0
D:\trabCKMetrics\repos\googleExoPlayer\library\core\src\test\java\com\google\android\exoplayer2\offline\DownloadManagerTest.java,com.google.android.exoplayer2.offline.DownloadManagerTest,class,27,28,1,27,66,1,0,85,269,0.8451178,0.0,0.0,54,2,28,26,0,0,28,0,0,0,11,7,0,11,0,0,8,0,20,700,5,7,1,2,0,5,137,89,4,87,2,0,2,12,207,1,0
D:\trabCKMetrics\repos\googleExoPlayer\testutils\src\main\java\com\google\android\exoplayer2\testutil\Action.java,com.google.android.exoplayer2.testutil.Action$SetRendererDisabled,innerclass,6,6,0,6,2,2,0,3,0,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,2,0,0,2,0,0,2,0,0,12,0,0,0,0,0,2,0,2,1,2,0,0,0,0,36,25,0
D:\trabCKMetrics\repos\googleExoPlayer\library\rtsp\src\main\java\com\google\android\exoplayer2\source\rtsp\RtspHeaders.java,com.google.android.exoplayer2.source.rtsp.RtspHeaders,class,5,17,12,5,42,1,0,11,0,0.8598485,0.0,0.0,8,1,6,2,0,0,6,0,0,0,33,32,32,1,0,0,33,0,1,196,41,0,1,0,1,31,0,36,0,36,1,0,1,0,103,16,0
D:\trabCKMetrics\repos\googleExoPlayer\library\dash\src\test\java\com\google\android\exoplayer2\source\dash\offline\DownloadServiceDashTest.java,com.google.android.exoplayer2.source.dash.offline.DownloadServiceDashTest,class,29,30,1,29,9,1,0,35,0,0.5285714,0.0,0.0,7,0,5,2,0,0,5,0,0,0,10,0,0,10,0,0,0,0,12,96,0,0,1,1,0,8,17,19,0,19,3,1,0,5,70,1,0
D:\trabCKMetrics\repos\googleExoPlayer\playbacktests\src\androidTest\java\com\google\android\exoplayer2\playbacktests\gts\DashTestRunner.java,com.google.android.exoplayer2.playbacktests.gts.DashTestRunner,class,14,20,6,14,19,5,0,11,65,0.91142863,0.0,0.0,14,2,12,2,0,0,12,0,0,0,25,12,0,23,0,2,14,0,4,265,14,0,1,1,0,6,10,29,1,29,3,0,3,0,116,16,0
D:\trabCKMetrics\repos\googleExoPlayer\library\common\src\main\java\com\google\android\exoplayer2\C.java,com.google.android.exoplayer2.C,class,7,68,61,7,34,1,0,2,5,0.81324327,0.0,0.0,6,5,5,1,0,0,5,0,0,0,224,224,206,18,0,0,224,0,0,306,13,0,5,0,5,22,167,225,25,225,1,0,0,0,510,17,0
D:\trabCKMetrics\repos\googleExoPlayer\testutils\src\main\java\com\google\android\exoplayer2\testutil\truth\SpannedSubject.java,com.google.android.exoplayer2.testutil.truth.SpannedSubject$SpanFlagsSubject,innerclass,5,5,0,5,3,2,0,4,0,0.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,13,0,0,0,0,0,1,0,1,0,1,0,0,0,0,10,26,0
D:\trabCKMetrics\repos\googleExoPlayer\library\core\src\main\java\com\google\android\exoplayer2\drm\DummyExoMediaDrm.java,com.google.android.exoplayer2.drm.DummyExoMediaDrm,class,15,17,2,15,21,1,0,0,210,0.0,0.0,0.0,21,1,21,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,57,5,0,0,0,0,2,1,0,0,0,0,0,0,0,64,17,0
D:\trabCKMetrics\repos\googleExoPlayer\library\extractor\src\test\java\com\google\android\exoplayer2\extractor\ExtractorUtilTest.java,com.google.android.exoplayer2.extractor.ExtractorUtilTest,class,12,12,0,12,9,1,0,19,0,0.0,0.0,0.0,9,0,9,0,0,0,9,0,0,0,2,2,0,2,0,0,2,0,33,111,0,0,0,0,0,1,67,51,8,51,0,0,0,1,55,1,0
D:\trabCKMetrics\repos\googleExoPlayer\library\core\src\main\java\com\google\android\exoplayer2\DefaultLivePlaybackSpeedControl.java,com.google.android.exoplayer2.DefaultLivePlaybackSpeedControl$Builder,innerclass,4,4,0,4,18,1,0,2,6,0.6666666,0.0,0.0,9,0,9,0,0,0,9,0,0,0,7,0,0,7,0,0,0,0,11,56,8,0,0,0,0,0,9,14,2,7,0,0,0,0,133,25,0
D:\trabCKMetrics\repos\googleExoPlayer\library\core\src\main\java\com\google\android\exoplayer2\upstream\cache\ContentMetadata.java,com.google.android.exoplayer2.upstream.cache.ContentMetadata,interface,4,16,12,4,7,1,0,3,15,0.88888884,0.0,0.0,6,2,0,0,0,6,6,0,0,0,3,0,0,0,0,3,0,0,0,16,2,0,1,0,0,4,0,4,0,4,0,0,0,0,79,1,0
D:\trabCKMetrics\repos\googleExoPlayer\library\common\src\test\java\com\google\android\exoplayer2\metadata\id3\Id3DecoderTest.java,com.google.android.exoplayer2.metadata.id3.Id3DecoderTest,class,16,17,1,16,18,1,0,24,93,0.86666673,0.0,0.0,15,4,13,2,0,0,13,0,0,0,3,3,0,3,0,0,3,0,30,221,4,3,1,0,14,44,333,98,9,53,1,0,1,3,97,17,0
D:\trabCKMetrics\repos\googleExoPlayer\library\core\src\test\java\com\google\android\exoplayer2\util\RunnableFutureTaskTest.java,com.google.android.exoplayer2.util.RunnableFutureTaskTest$Anonymous10,anonymous,1,1,0,1,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,-1,0
