file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\googleclosure-compiler\src\com\google\javascript\rhino\testing\TypeSubject.java,com.google.javascript.rhino.testing.TypeSubject,class,8,36,28,8,41,2,0,47,565,0.82857144,0.0,0.0,35,4,29,5,1,0,30,0,0,0,1,0,0,1,0,0,1,0,14,155,9,0,5,0,1,42,0,5,2,5,2,0,1,0,102,17,0
D:\trabCKMetrics\repos\googleclosure-compiler\src\com\google\javascript\refactoring\Matcher.java,com.google.javascript.refactoring.Matcher,interface,2,13,11,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0
D:\trabCKMetrics\repos\googleclosure-compiler\test\com\google\javascript\jscomp\CheckTemplateParamsTest.java,com.google.javascript.jscomp.CheckTemplateParamsTest,class,8,8,0,8,10,2,0,9,45,0.0,0.0,0.0,10,0,8,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,23,59,2,0,0,0,0,34,0,1,0,3,1,0,0,1,79,17,0
D:\trabCKMetrics\repos\googleclosure-compiler\src\com\google\javascript\jscomp\parsing\parser\trees\VariableStatementTree.java,com.google.javascript.jscomp.parsing.parser.trees.VariableStatementTree,class,3,6,3,3,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9,1,0
D:\trabCKMetrics\repos\googleclosure-compiler\src\com\google\javascript\jscomp\InlineCostEstimator.java,com.google.javascript.jscomp.InlineCostEstimator,class,4,10,6,4,3,2,0,4,3,1.0,0.0,0.0,3,2,0,1,0,2,2,0,0,0,2,2,0,1,0,1,2,0,1,49,2,0,0,0,0,1,0,3,0,3,0,0,1,0,42,0,0
D:\trabCKMetrics\repos\googleclosure-compiler\src\com\google\javascript\jscomp\JsMessage.java,com.google.javascript.jscomp.JsMessage$Builder,innerclass,8,8,0,8,40,1,0,31,104,0.82222223,0.0,0.0,20,2,17,3,0,0,17,0,0,0,9,1,0,9,0,0,3,0,5,152,20,3,5,0,1,5,5,31,3,23,3,0,0,0,165,25,0
D:\trabCKMetrics\repos\googleclosure-compiler\src\com\google\javascript\jscomp\ProcessClosureProvidesAndRequires.java,com.google.javascript.jscomp.ProcessClosureProvidesAndRequires,class,18,25,7,18,64,1,0,71,34,0.83125,0.0,0.0,16,1,1,12,0,3,4,0,0,0,10,2,0,9,0,1,9,0,5,466,18,4,12,0,0,7,5,42,2,35,3,0,3,0,355,0,0
D:\trabCKMetrics\repos\googleclosure-compiler\test\com\google\javascript\jscomp\graph\CheckPathsBetweenNodesTest.java,com.google.javascript.jscomp.graph.CheckPathsBetweenNodesTest$PrefixPredicate,innerclass,1,1,0,1,2,1,0,1,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,11,10,0
D:\trabCKMetrics\repos\googleclosure-compiler\src\com\google\javascript\jscomp\serialization\ConvertTypesToColors.java,com.google.javascript.jscomp.serialization.ConvertTypesToColors$RemoveTypesAndApplyColors,innerclass,6,6,0,6,5,3,0,7,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,2,0,0,2,0,0,2,0,0,23,0,0,3,0,0,0,0,5,0,5,2,0,0,0,25,10,0
D:\trabCKMetrics\repos\googleclosure-compiler\src\com\google\javascript\jscomp\ClosureCodeRemoval.java,com.google.javascript.jscomp.ClosureCodeRemoval$RemovableAssignment,innerclass,4,4,0,4,6,1,0,11,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,4,0,0,0,0,4,4,0,1,33,0,2,0,0,0,0,0,9,0,7,2,0,0,0,45,2,0
D:\trabCKMetrics\repos\googleclosure-compiler\src\com\google\javascript\jscomp\j2clbuild\super\com\google\javascript\jscomp\deps\JsFileRegexParser.java,JsFileRegexParser,class,3,4,1,3,5,1,0,0,10,0.0,0.0,0.0,5,1,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,3,0,0,0,0,0,0,0,0,34,17,0
D:\trabCKMetrics\repos\googleclosure-compiler\src\com\google\javascript\jscomp\TypeInferencePass.java,com.google.javascript.jscomp.TypeInferencePass$FirstScopeBuildingCallback,innerclass,3,3,0,3,2,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,0
D:\trabCKMetrics\repos\googleclosure-compiler\src\com\google\javascript\jscomp\OptimizeCalls.java,com.google.javascript.jscomp.OptimizeCalls,class,15,26,11,15,36,1,0,27,9,0.6666667,0.0,0.0,7,4,1,3,0,3,4,0,0,0,3,0,0,3,0,0,3,0,3,365,15,1,6,0,2,3,0,6,0,6,3,0,4,0,130,0,0
D:\trabCKMetrics\repos\googleclosure-compiler\src\com\google\javascript\jscomp\ReplaceCssNames.java,com.google.javascript.jscomp.ReplaceCssNames$Traversal,innerclass,9,9,0,9,19,2,0,31,1,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,80,3,2,5,0,0,4,5,14,3,11,4,0,0,0,77,2,0
D:\trabCKMetrics\repos\googleclosure-compiler\src\com\google\javascript\jscomp\webservice\common\Protocol.java,com.google.javascript.jscomp.webservice.common.Protocol$WarningLevelKey,enum,0,0,0,0,2,1,0,0,0,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,8,1,0,0,0,0,3,0,1,0,1,0,0,0,0,23,9,0
D:\trabCKMetrics\repos\googleclosure-compiler\src\com\google\javascript\jscomp\parsing\parser\trees\VariableDeclarationTree.java,com.google.javascript.jscomp.parsing.parser.trees.VariableDeclarationTree,class,2,6,4,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,2,0,0,9,0,0,0,0,0,0,0,2,0,2,0,0,0,0,8,1,0
D:\trabCKMetrics\repos\googleclosure-compiler\src\com\google\javascript\rhino\jstype\InstanceObjectType.java,com.google.javascript.rhino.jstype.InstanceObjectType,class,14,17,3,14,30,5,0,36,223,0.8863636,0.0,0.0,22,1,15,1,0,6,21,0,0,0,2,1,0,2,0,0,2,0,2,107,24,0,3,0,0,13,1,5,0,5,1,0,1,0,72,16,0
D:\trabCKMetrics\repos\googleclosure-compiler\test\com\google\javascript\jscomp\CompilerTest.java,com.google.javascript.jscomp.CompilerTest,class,49,50,1,49,152,1,0,244,8201,0.95747,0.0,0.0,131,5,120,8,0,3,123,0,0,0,7,7,0,7,0,0,7,0,376,1540,8,11,2,7,2,789,88,479,40,461,2,5,1,1,487,17,0
D:\trabCKMetrics\repos\googleclosure-compiler\src\com\google\javascript\jscomp\GuardedCallback.java,com.google.javascript.jscomp.GuardedCallback,class,13,19,6,13,28,1,0,33,10,0.6666667,0.0,0.0,8,2,2,3,0,3,5,1,2,0,6,1,0,6,0,0,6,0,1,136,8,2,5,0,0,2,0,12,0,10,3,0,1,0,210,1024,0
D:\trabCKMetrics\repos\googleclosure-compiler\src\com\google\javascript\jscomp\graph\Annotatable.java,com.google.javascript.jscomp.graph.Annotatable,interface,2,24,22,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,1,0
D:\trabCKMetrics\repos\googleclosure-compiler\test\com\google\javascript\jscomp\CodePrinterTestBase.java,com.google.javascript.jscomp.CodePrinterTestBase$CompilerOptionBuilder,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1032,0
D:\trabCKMetrics\repos\googleclosure-compiler\src\com\google\javascript\jscomp\TypedScopeCreator.java,com.google.javascript.jscomp.TypedScopeCreator$WeakModuleImport,innerclass,10,10,0,10,7,1,0,14,0,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,3,0,0,3,0,0,3,0,1,20,0,0,5,0,0,0,0,6,0,6,1,0,0,0,21,2,0
D:\trabCKMetrics\repos\googleclosure-compiler\src\com\google\javascript\refactoring\ApplySuggestedFixes.java,com.google.javascript.refactoring.ApplySuggestedFixes,class,8,15,7,8,18,1,0,49,21,0.85714287,0.0,0.0,7,6,4,3,0,0,4,0,0,0,1,1,0,1,0,0,1,0,7,93,7,7,0,0,0,5,3,17,2,18,2,0,1,3,141,17,0
D:\trabCKMetrics\repos\googleclosure-compiler\src\com\google\javascript\jscomp\GoogleJsMessageIdGenerator.java,com.google.javascript.jscomp.GoogleJsMessageIdGenerator,class,3,6,3,3,6,1,0,9,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,2,148,1,1,1,0,3,2,0,4,2,4,2,0,2,0,86,17,0
D:\trabCKMetrics\repos\googleclosure-compiler\src\com\google\javascript\jscomp\modules\NonEsModuleProcessor.java,com.google.javascript.jscomp.modules.NonEsModuleProcessor$NonEsModule,innerclass,15,15,0,15,15,2,0,22,16,0.625,0.0,0.0,8,0,5,0,0,3,8,0,0,0,3,0,0,3,0,0,3,0,8,46,4,0,2,0,0,1,0,8,0,5,2,0,0,0,32,10,0
D:\trabCKMetrics\repos\googleclosure-compiler\src\com\google\javascript\rhino\JSDocInfo.java,com.google.javascript.rhino.JSDocInfo$Marker,innerclass,8,8,0,8,14,1,0,3,21,0.7,0.0,0.0,10,1,4,2,0,4,8,0,0,0,4,0,0,4,0,0,0,0,4,36,6,0,4,0,3,0,0,4,0,4,0,0,0,0,61,25,0
D:\trabCKMetrics\repos\googleclosure-compiler\src\com\google\javascript\jscomp\ExternExportsPass.java,com.google.javascript.jscomp.ExternExportsPass$PropertyExport,innerclass,4,4,0,4,4,2,0,8,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,1,19,2,1,1,0,0,0,1,3,0,2,2,0,0,0,19,2,0
D:\trabCKMetrics\repos\googleclosure-compiler\src\com\google\javascript\jscomp\deps\ClosureBundler.java,com.google.javascript.jscomp.deps.ClosureBundler,class,7,12,5,7,31,1,0,24,1,0.60227275,0.0,0.0,22,2,17,5,0,0,17,0,4,0,8,0,0,8,0,0,8,0,0,159,13,0,3,1,0,15,0,13,3,13,1,0,2,0,109,17,0
D:\trabCKMetrics\repos\googleclosure-compiler\src\com\google\javascript\jscomp\lint\CheckConstantCaseNames.java,com.google.javascript.jscomp.lint.CheckConstantCaseNames,class,14,18,4,14,20,1,0,26,0,0.6333333,0.0,0.0,5,0,4,1,0,0,4,0,0,0,6,2,2,4,0,0,4,0,7,71,6,2,1,0,0,6,0,11,2,9,3,0,0,0,104,1,0
D:\trabCKMetrics\repos\googleclosure-compiler\src\com\google\javascript\jscomp\SortingErrorManager.java,com.google.javascript.jscomp.SortingErrorManager$ErrorReportGenerator,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
D:\trabCKMetrics\repos\googleclosure-compiler\src\com\google\javascript\jscomp\InlineAndCollapseProperties.java,com.google.javascript.jscomp.InlineAndCollapseProperties,class,25,37,12,25,55,2,0,53,81,0.9142858,0.0,0.0,15,9,1,12,0,2,3,0,0,0,14,5,0,9,0,5,12,0,14,1268,23,3,8,1,2,18,1,34,3,31,3,0,5,0,764,0,0
D:\trabCKMetrics\repos\googleclosure-compiler\test\com\google\javascript\jscomp\CheckConformanceTest.java,com.google.javascript.jscomp.CheckConformanceTest$CustomRule,innerclass,7,7,0,7,3,2,0,1,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,1,0,0,1,1,0,0,0,1,0,0,0,14,9,0
D:\trabCKMetrics\repos\googleclosure-compiler\test\com\google\javascript\jscomp\ReferenceCollectorTest.java,com.google.javascript.jscomp.ReferenceCollectorTest$Anonymous6,anonymous,4,4,0,4,2,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,1,0,1,1,0,0,0,12,-1,0
D:\trabCKMetrics\repos\googleclosure-compiler\test\com\google\javascript\jscomp\ReferenceCollectorTest.java,com.google.javascript.jscomp.ReferenceCollectorTest$Anonymous7,anonymous,4,4,0,4,3,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,1,0,1,1,0,0,0,12,-1,0
D:\trabCKMetrics\repos\googleclosure-compiler\test\com\google\javascript\jscomp\ReferenceCollectorTest.java,com.google.javascript.jscomp.ReferenceCollectorTest$Anonymous8,anonymous,4,4,0,4,2,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,2,0,2,1,0,0,0,13,-1,0
D:\trabCKMetrics\repos\googleclosure-compiler\src\com\google\javascript\jscomp\lint\CheckProvidesSorted.java,com.google.javascript.jscomp.lint.CheckProvidesSorted$Mode,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0
D:\trabCKMetrics\repos\googleclosure-compiler\src\com\google\javascript\jscomp\ShowByPathWarningsGuard.java,com.google.javascript.jscomp.ShowByPathWarningsGuard$ShowType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0
D:\trabCKMetrics\repos\googleclosure-compiler\test\com\google\javascript\jscomp\ReferenceCollectorTest.java,com.google.javascript.jscomp.ReferenceCollectorTest$Anonymous9,anonymous,4,4,0,4,2,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,2,0,2,1,0,0,0,13,-1,0
D:\trabCKMetrics\repos\googleclosure-compiler\test\com\google\javascript\jscomp\PeepholeOptimizationsPassTest.java,com.google.javascript.jscomp.PeepholeOptimizationsPassTest$RenameYToX,innerclass,2,2,0,2,3,2,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,2,0,0,0,0,2,0,1,0,1,1,0,0,0,29,10,0
D:\trabCKMetrics\repos\googleclosure-compiler\test\com\google\javascript\jscomp\ReferenceCollectorTest.java,com.google.javascript.jscomp.ReferenceCollectorTest$Anonymous2,anonymous,4,4,0,4,2,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,1,0,1,1,0,0,0,12,-1,0
D:\trabCKMetrics\repos\googleclosure-compiler\src\com\google\javascript\jscomp\InlineAndCollapseProperties.java,com.google.javascript.jscomp.InlineAndCollapseProperties$Builder,innerclass,8,8,0,8,7,1,0,2,21,0.85714287,0.0,0.0,7,0,5,0,0,2,7,0,0,0,7,0,0,6,0,1,1,0,2,36,6,0,0,0,0,0,0,9,0,7,0,0,0,0,37,24,0
D:\trabCKMetrics\repos\googleclosure-compiler\test\com\google\javascript\jscomp\ReferenceCollectorTest.java,com.google.javascript.jscomp.ReferenceCollectorTest$Anonymous3,anonymous,4,4,0,4,2,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,1,0,1,1,0,0,0,12,-1,0
D:\trabCKMetrics\repos\googleclosure-compiler\test\com\google\javascript\jscomp\ReferenceCollectorTest.java,com.google.javascript.jscomp.ReferenceCollectorTest$Anonymous4,anonymous,4,4,0,4,2,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,1,0,1,1,0,0,0,12,-1,0
D:\trabCKMetrics\repos\googleclosure-compiler\src\com\google\javascript\jscomp\CompilerOptionsPreprocessor.java,com.google.javascript.jscomp.CompilerOptionsPreprocessor,class,2,3,1,2,4,4,0,1,1,0.0,NaN,NaN,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0,1,0,0,0,0,1,0,1,0,42,17,0
D:\trabCKMetrics\repos\googleclosure-compiler\test\com\google\javascript\jscomp\CheckClosureImportsTest.java,com.google.javascript.jscomp.CheckClosureImportsTest,class,17,18,1,17,56,2,0,30,0,0.8472727,0.0,0.0,55,1,50,3,2,0,52,0,0,0,10,8,0,10,0,0,8,0,131,260,3,0,0,0,0,157,0,64,0,13,0,0,0,0,149,1,0
D:\trabCKMetrics\repos\googleclosure-compiler\test\com\google\javascript\jscomp\ReferenceCollectorTest.java,com.google.javascript.jscomp.ReferenceCollectorTest$Anonymous5,anonymous,4,4,0,4,2,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,1,0,1,1,0,0,0,12,-1,0
D:\trabCKMetrics\repos\googleclosure-compiler\test\com\google\javascript\refactoring\ErrorToFixMapperTest.java,com.google.javascript.refactoring.ErrorToFixMapperTest$ExpectedFix$Builder,innerclass,4,4,0,4,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1032,0
D:\trabCKMetrics\repos\googleclosure-compiler\src\com\google\javascript\jscomp\ReferenceCollector.java,com.google.javascript.jscomp.ReferenceCollector,class,22,33,11,22,45,1,0,38,59,0.8428572,0.0,0.0,14,1,6,6,0,2,8,0,0,0,10,1,0,9,0,1,8,0,3,179,9,1,5,0,1,0,0,19,0,17,3,1,3,1,192,17,0
D:\trabCKMetrics\repos\googleclosure-compiler\test\com\google\javascript\jscomp\disambiguate\ColorFindPropertyReferencesTest.java,com.google.javascript.jscomp.disambiguate.ColorFindPropertyReferencesTest$LabelledStatementCollector,innerclass,4,4,0,4,4,2,0,14,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,1,0,0,1,0,2,0,2,1,0,0,0,24,2,0
D:\trabCKMetrics\repos\googleclosure-compiler\test\com\google\javascript\jscomp\InlineFunctionsTest.java,com.google.javascript.jscomp.InlineFunctionsTest,class,12,13,1,12,303,2,0,22,44106,0.9686667,0.0,0.0,300,0,297,0,2,1,300,0,0,0,5,1,0,4,0,1,1,0,216,1111,2,3,0,0,0,2119,11,83,160,15,1,1,0,0,522,1,0
D:\trabCKMetrics\repos\googleclosure-compiler\src\com\google\javascript\jscomp\Es6ForOfConverter.java,com.google.javascript.jscomp.Es6ForOfConverter,class,16,18,2,16,8,2,0,43,0,0.5714286,0.0,0.0,4,0,3,1,0,0,3,0,0,0,7,3,0,7,0,0,7,0,12,70,0,0,0,0,0,6,0,30,1,25,1,0,0,0,70,17,0
D:\trabCKMetrics\repos\googleclosure-compiler\test\com\google\javascript\jscomp\ReferenceCollectorTest.java,com.google.javascript.jscomp.ReferenceCollectorTest$Anonymous1,anonymous,5,5,0,5,3,1,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,1,0,1,1,0,0,0,12,-1,0
D:\trabCKMetrics\repos\googleclosure-compiler\src\com\google\javascript\jscomp\FindExportableNodes.java,com.google.javascript.jscomp.FindExportableNodes$Mode,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0
D:\trabCKMetrics\repos\googleclosure-compiler\src\com\google\javascript\jscomp\CheckAccessControls.java,com.google.javascript.jscomp.CheckAccessControls,class,30,36,6,30,237,1,0,179,1065,0.9590019,0.0,0.0,51,16,3,45,0,3,6,0,0,0,22,16,0,6,0,16,20,0,102,712,87,3,77,0,12,39,2,124,1,116,4,0,2,5,444,0,0
