file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\googleguava\guava\src\com\google\common\reflect\TypeToken.java,com.google.common.reflect.TypeToken$SimpleTypeToken,innerclass,2,2,0,2,1,3,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,9,26,0
D:\trabCKMetrics\repos\googleguava\guava-tests\test\com\google\common\reflect\TypeTokenResolutionTest.java,com.google.common.reflect.TypeTokenResolutionTest$1ForTwoStageResolution,innerclass,3,3,0,3,1,1,0,4,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,1,0,1,0,2,0,0,12,0,0
D:\trabCKMetrics\repos\googleguava\guava\src\com\google\common\graph\AbstractBaseGraph.java,com.google.common.graph.AbstractBaseGraph$Anonymous2,anonymous,9,9,0,9,2,1,0,11,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,25,2,0,0,0,0,0,0,0,0,0,1,3,0,0,2,-1,0
D:\trabCKMetrics\repos\googleguava\guava\src\com\google\common\escape\Escaper.java,com.google.common.escape.Escaper$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
D:\trabCKMetrics\repos\googleguava\guava\src\com\google\common\graph\AbstractBaseGraph.java,com.google.common.graph.AbstractBaseGraph$Anonymous1,anonymous,8,8,0,8,5,1,0,9,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,18,4,0,0,0,1,1,0,1,0,1,1,0,0,0,22,-1,0
D:\trabCKMetrics\repos\googleguava\guava-testlib\src\com\google\common\collect\testing\DerivedComparable.java,com.google.common.collect.testing.DerivedComparable,class,2,4,2,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,19,1,0
D:\trabCKMetrics\repos\googleguava\guava\src\com\google\common\collect\FilteredKeyListMultimap.java,com.google.common.collect.FilteredKeyListMultimap,class,10,11,1,10,5,3,0,4,10,0.0,0.0,0.0,5,0,4,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,0
D:\trabCKMetrics\repos\googleguava\guava\src\com\google\common\util\concurrent\CollectionFuture.java,com.google.common.util.concurrent.CollectionFuture,class,15,17,2,15,9,12,0,9,0,0.0,0.0,0.0,5,0,0,0,0,5,5,1,2,0,1,0,0,1,0,0,0,0,2,47,0,1,2,0,0,0,1,6,0,5,1,0,2,0,43,1024,0
D:\trabCKMetrics\repos\googleguava\guava-tests\test\com\google\common\io\MultiInputStreamTest.java,com.google.common.io.MultiInputStreamTest$Anonymous3,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,0,2,0,0,0,0,1,0,0,8,-1,0
D:\trabCKMetrics\repos\googleguava\guava-tests\test\com\google\common\io\MultiInputStreamTest.java,com.google.common.io.MultiInputStreamTest$Anonymous1,anonymous,2,2,0,2,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,1,0,0,1,2,0,0,0,1,1,0,0,12,-1,0
D:\trabCKMetrics\repos\googleguava\guava-tests\test\com\google\common\io\MultiInputStreamTest.java,com.google.common.io.MultiInputStreamTest$Anonymous5,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
D:\trabCKMetrics\repos\googleguava\guava-tests\test\com\google\common\collect\SubMapMultimapAsMapImplementsMapTest.java,com.google.common.collect.SubMapMultimapAsMapImplementsMapTest,class,6,7,1,6,18,4,0,14,66,0.0,0.0,0.0,12,0,7,1,4,0,11,0,0,0,0,0,0,0,0,0,0,0,4,71,5,0,0,6,0,12,8,2,0,2,1,0,0,0,34,1,0
D:\trabCKMetrics\repos\googleguava\guava-tests\test\com\google\common\io\SourceSinkFactories.java,com.google.common.io.SourceSinkFactories$EmptyByteSourceFactory,innerclass,3,3,0,3,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,10,2,0,0,0,0,0,1,0,0,0,0,0,0,0,13,10,0
D:\trabCKMetrics\repos\googleguava\guava-testlib\src\com\google\common\testing\CollectorTester.java,com.google.common.testing.CollectorTester,class,9,30,21,9,9,1,0,15,0,0.4166667,0.0,0.0,6,2,3,3,0,0,3,0,1,0,2,0,0,2,0,0,2,0,6,83,3,1,0,0,0,3,0,4,1,4,2,0,1,0,100,17,0
D:\trabCKMetrics\repos\googleguava\guava-tests\test\com\google\common\collect\AbstractIteratorTest.java,com.google.common.collect.AbstractIteratorTest$SomeUncheckedException,innerclass,0,0,0,0,0,4,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0
D:\trabCKMetrics\repos\googleguava\guava\src\com\google\common\collect\DenseImmutableTable.java,com.google.common.collect.DenseImmutableTable$ColumnMap,innerclass,7,7,0,7,4,4,0,0,6,0.0,0.0,0.0,4,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,0
D:\trabCKMetrics\repos\googleguava\guava-tests\test\com\google\common\collect\ForwardingDequeTest.java,com.google.common.collect.ForwardingDequeTest$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
D:\trabCKMetrics\repos\googleguava\guava-tests\test\com\google\common\collect\ForwardingDequeTest.java,com.google.common.collect.ForwardingDequeTest$Anonymous2,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
D:\trabCKMetrics\repos\googleguava\guava\src\com\google\common\base\Splitter.java,com.google.common.base.Splitter$Anonymous3$Anonymous4,anonymous,0,0,0,0,5,1,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,3,2,1,0,0,0,2,4,3,4,3,0,0,0,10,-1,0
D:\trabCKMetrics\repos\googleguava\guava-tests\test\com\google\common\util\concurrent\AbstractScheduledServiceTest.java,com.google.common.util.concurrent.AbstractScheduledServiceTest,class,9,9,0,9,19,5,0,32,51,0.93939394,0.0,0.0,11,0,11,0,0,0,11,0,0,0,6,0,0,0,0,6,1,0,4,509,0,3,0,5,0,3,19,27,0,24,1,5,3,0,83,1,0
D:\trabCKMetrics\repos\googleguava\guava-tests\test\com\google\common\io\FilesTest.java,com.google.common.io.FilesTest$BadLengthFile,innerclass,0,0,0,0,2,2,0,1,0,0.25,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,1,0,2,0,0,2,0,0,11,1,0,0,0,0,0,1,2,0,2,0,0,0,0,16,10,0
