file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\googletsunami-security-scanner\common\src\test\java\com\google\tsunami\common\version\EqualsTestCase.java,com.google.tsunami.common.version.EqualsTestCase,class,5,9,4,5,3,1,0,0,3,0.0,0.0,0.0,3,1,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1024,0
D:\trabCKMetrics\repos\googletsunami-security-scanner\common\src\main\java\com\google\tsunami\common\TsunamiException.java,com.google.tsunami.common.TsunamiException,class,2,7,5,2,7,4,3,6,0,0.16666667,0.0,0.0,6,1,5,1,0,0,5,0,0,0,1,0,0,1,0,0,1,0,1,27,2,0,0,0,0,3,0,2,0,2,1,0,0,0,23,1,0
D:\trabCKMetrics\repos\googletsunami-security-scanner\common\src\main\java\com\google\tsunami\common\version\Token.java,com.google.tsunami.common.version.Token$Kind,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
D:\trabCKMetrics\repos\googletsunami-security-scanner\plugin\src\main\java\com\google\tsunami\plugin\PortScanner.java,com.google.tsunami.plugin.PortScanner,interface,3,13,10,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1,0
D:\trabCKMetrics\repos\googletsunami-security-scanner\common\src\main\java\com\google\tsunami\common\version\Version.java,com.google.tsunami.common.version.Version$Builder,innerclass,4,4,0,4,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1033,0
D:\trabCKMetrics\repos\googletsunami-security-scanner\common\src\main\java\com\google\tsunami\common\version\VersionRange.java,com.google.tsunami.common.version.VersionRange$Inclusiveness,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
D:\trabCKMetrics\repos\googletsunami-security-scanner\plugin\src\main\java\com\google\tsunami\plugin\PluginExecutionResult.java,com.google.tsunami.plugin.PluginExecutionResult$Builder,innerclass,8,8,0,8,6,1,0,0,15,0.0,0.0,0.0,6,0,6,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1033,0
D:\trabCKMetrics\repos\googletsunami-security-scanner\common\src\test\java\com\google\tsunami\common\config\TsunamiConfigTest.java,com.google.tsunami.common.config.TsunamiConfigTest$InvalidConfig,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,26,0
D:\trabCKMetrics\repos\googletsunami-security-scanner\common\src\test\java\com\google\tsunami\common\version\SegmentTest.java,com.google.tsunami.common.version.SegmentTest,class,11,11,0,11,12,1,0,25,66,0.0,0.0,0.0,12,2,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,77,44,2,0,0,0,0,45,10,4,0,4,0,0,0,0,51,17,0
D:\trabCKMetrics\repos\googletsunami-security-scanner\plugin\src\main\java\com\google\tsunami\plugin\PluginExecutor.java,com.google.tsunami.plugin.PluginExecutor,interface,4,7,3,4,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29,1,0
D:\trabCKMetrics\repos\googletsunami-security-scanner\workflow\src\test\java\com\google\tsunami\workflow\ExecutionTracerTest.java,com.google.tsunami.workflow.ExecutionTracerTest,class,19,19,0,19,15,1,0,45,0,0.41111115,0.0,0.0,15,0,15,0,0,0,15,0,0,0,6,1,0,5,0,1,5,0,4,118,0,0,0,0,0,15,3,23,1,24,0,0,0,5,106,17,0
D:\trabCKMetrics\repos\googletsunami-security-scanner\plugin\src\main\java\com\google\tsunami\plugin\testing\FakePluginExecutionModule.java,com.google.tsunami.plugin.testing.FakePluginExecutionModule,class,4,7,3,4,1,2,0,5,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,0
D:\trabCKMetrics\repos\googletsunami-security-scanner\common\src\main\java\com\google\tsunami\common\io\archiving\testing\FakeGoogleCloudStorageArchivers.java,com.google.tsunami.common.io.archiving.testing.FakeGoogleCloudStorageArchivers$FakeFactory,innerclass,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,0
D:\trabCKMetrics\repos\googletsunami-security-scanner\plugin\src\test\java\com\google\tsunami\plugin\PluginDefinitionTest.java,com.google.tsunami.plugin.PluginDefinitionTest,class,7,7,0,7,2,1,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,1,0,1,0,1,0,0,1,1,35,1,0
D:\trabCKMetrics\repos\googletsunami-security-scanner\common\src\test\java\com\google\tsunami\common\config\YamlConfigLoaderTest.java,com.google.tsunami.common.config.YamlConfigLoaderTest,class,6,6,0,6,3,1,0,11,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,3,17,0,0,0,0,0,8,1,4,0,4,0,0,0,0,32,17,0
D:\trabCKMetrics\repos\googletsunami-security-scanner\common\src\main\java\com\google\tsunami\common\command\CommandExecutorModule.java,com.google.tsunami.common.command.CommandExecutorModule,class,4,5,1,4,1,2,0,11,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,4,0,0,0,0,0,0,0,11,1,0
D:\trabCKMetrics\repos\googletsunami-security-scanner\common\src\main\java\com\google\tsunami\common\concurrent\BaseThreadPoolModule.java,com.google.tsunami.common.concurrent.BaseThreadPoolModule,class,7,15,8,7,4,2,0,3,0,0.5833333,0.0,0.0,3,0,0,0,1,2,3,1,1,0,8,0,0,8,0,0,8,0,0,109,0,0,0,0,0,0,0,8,0,8,0,0,2,0,79,1024,0
D:\trabCKMetrics\repos\googletsunami-security-scanner\common\src\test\java\com\google\tsunami\common\io\archiving\GoogleCloudStorageArchiverTest.java,com.google.tsunami.common.io.archiving.GoogleCloudStorageArchiverTest$Anonymous1,anonymous,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
D:\trabCKMetrics\repos\googletsunami-security-scanner\plugin\src\main\java\com\google\tsunami\plugin\testing\FailedPortScannerBootstrapModule.java,com.google.tsunami.plugin.testing.FailedPortScannerBootstrapModule,class,2,4,2,2,1,3,0,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,0
D:\trabCKMetrics\repos\googletsunami-security-scanner\common\src\main\java\com\google\tsunami\common\version\Version.java,com.google.tsunami.common.version.Version$Type,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
