file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\graphql-javagraphql-java\src\test\groovy\readme\SubscriptionExamples.java,readme.SubscriptionExamples,class,9,11,2,9,4,1,0,6,6,0.0,0.0,0.0,4,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,40,1,0,0,0,0,10,0,6,1,6,0,2,1,0,34,1,0
D:\trabCKMetrics\repos\graphql-javagraphql-java\src\main\java\graphql\execution\ExecutionStrategy.java,graphql.execution.ExecutionStrategy,class,76,89,13,76,66,1,4,198,508,0.943723,0.0,0.0,33,3,4,4,25,0,29,1,0,0,7,2,0,3,4,0,7,0,45,352,41,2,5,8,1,5,4,117,0,110,2,0,0,16,390,1025,5
D:\trabCKMetrics\repos\graphql-javagraphql-java\src\main\java\graphql\schema\SchemaTransformer.java,graphql.schema.SchemaTransformer$Anonymous2,anonymous,10,10,0,10,13,1,0,29,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,59,5,0,4,0,1,0,2,11,2,12,3,0,0,2,44,-1,0
D:\trabCKMetrics\repos\graphql-javagraphql-java\src\main\java\graphql\schema\SchemaTransformer.java,graphql.schema.SchemaTransformer$Anonymous1,anonymous,7,7,0,7,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,2,0,1,0,0,0,0,2,0,1,1,0,0,0,23,-1,0
D:\trabCKMetrics\repos\graphql-javagraphql-java\src\test\groovy\graphql\execution\pubsub\Message.java,graphql.execution.pubsub.Message,class,0,3,3,0,4,1,0,0,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,2,0,0,17,3,0,0,0,0,3,0,2,2,2,0,0,0,0,13,1,0
D:\trabCKMetrics\repos\graphql-javagraphql-java\src\main\java\graphql\execution\ResolveType.java,graphql.execution.ResolveType,class,15,19,4,15,9,1,0,27,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,43,3,0,2,0,0,0,0,13,0,11,1,0,0,0,32,1,0
D:\trabCKMetrics\repos\graphql-javagraphql-java\src\test\groovy\readme\InstrumentationExamples.java,readme.InstrumentationExamples$FooInstrumentation,innerclass,1,1,0,1,0,3,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0
D:\trabCKMetrics\repos\graphql-javagraphql-java\src\main\java\graphql\schema\transform\VisibleFieldPredicateEnvironment.java,graphql.schema.transform.VisibleFieldPredicateEnvironment,interface,4,8,4,4,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27,1,0
D:\trabCKMetrics\repos\graphql-javagraphql-java\src\main\java\graphql\normalized\FieldCollectorNormalizedQueryParams.java,graphql.normalized.FieldCollectorNormalizedQueryParams$PossibleMerger,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,8,9,0
D:\trabCKMetrics\repos\graphql-javagraphql-java\src\main\java\graphql\util\TraverserContext.java,graphql.util.TraverserContext,interface,8,131,123,8,24,1,0,0,276,0.0,0.0,0.0,24,0,0,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,194,1,0
D:\trabCKMetrics\repos\graphql-javagraphql-java\src\main\java\graphql\analysis\QueryVisitorFieldEnvironment.java,graphql.analysis.QueryVisitorFieldEnvironment,interface,10,27,17,10,10,1,0,0,45,0.0,0.0,0.0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,0
D:\trabCKMetrics\repos\graphql-javagraphql-java\src\main\java\graphql\collect\ImmutableMapWithNullValues.java,graphql.collect.ImmutableMapWithNullValues,class,5,16,11,5,31,1,0,16,244,0.7241379,0.0,0.0,29,2,27,2,0,0,27,0,0,0,2,1,0,2,0,0,2,0,4,98,15,0,0,0,0,3,0,2,0,2,1,0,0,0,88,17,0
D:\trabCKMetrics\repos\graphql-javagraphql-java\src\main\java\graphql\execution\ExecutionStepInfo.java,graphql.execution.ExecutionStepInfo$Builder,innerclass,8,8,0,8,11,1,0,3,9,0.68571424,0.0,0.0,10,0,8,2,0,0,8,0,0,0,7,0,0,0,0,7,0,0,4,52,8,0,1,0,0,0,0,15,0,7,0,0,0,0,26,9,0
D:\trabCKMetrics\repos\graphql-javagraphql-java\src\main\java\graphql\execution\preparsed\persisted\PersistedQueryError.java,graphql.execution.preparsed.persisted.PersistedQueryError,class,1,4,3,1,1,4,2,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1025,0
D:\trabCKMetrics\repos\graphql-javagraphql-java\src\test\groovy\readme\InstrumentationExamples.java,readme.InstrumentationExamples$Anonymous2,anonymous,3,3,0,3,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,9,2,0,0,0,0,2,1,1,0,1,1,0,0,0,10,-1,0
D:\trabCKMetrics\repos\graphql-javagraphql-java\src\main\java\graphql\validation\rules\KnownTypeNames.java,graphql.validation.rules.KnownTypeNames,class,7,8,1,7,3,2,0,7,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,1,0,1,1,0,1,0,1,1,0,0,0,17,1,0
D:\trabCKMetrics\repos\graphql-javagraphql-java\src\main\java\graphql\TypeResolutionEnvironment.java,graphql.TypeResolutionEnvironment,class,6,20,14,6,7,1,0,1,7,0.69047624,0.0,0.0,7,0,7,0,0,0,7,0,0,0,6,0,0,6,0,0,6,0,1,34,6,0,0,0,0,2,0,6,0,6,0,0,0,0,54,1,0
D:\trabCKMetrics\repos\graphql-javagraphql-java\src\main\java\graphql\validation\rules\VariablesTypesMatcher.java,graphql.validation.rules.VariablesTypesMatcher,class,7,9,2,7,12,1,0,6,3,0.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,29,9,0,2,0,0,1,0,0,0,0,2,0,0,0,26,1,0
D:\trabCKMetrics\repos\graphql-javagraphql-java\src\main\java\graphql\schema\idl\errors\TypeRedefinitionError.java,graphql.schema.idl.errors.TypeRedefinitionError,class,4,5,1,4,1,6,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,1,0
D:\trabCKMetrics\repos\graphql-javagraphql-java\src\main\java\graphql\execution\NonNullableFieldWasNullError.java,graphql.execution.NonNullableFieldWasNullError,class,7,10,3,7,8,1,0,5,18,0.625,0.0,0.0,8,0,8,0,0,0,8,0,0,0,2,0,0,2,0,0,2,0,2,29,7,0,0,0,0,4,0,2,2,2,0,0,0,0,41,1,0
