file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\grpcgrpc-java\core\src\main\java\io\grpc\internal\ServerImpl.java,io.grpc.internal.ServerImpl$ServerTransportListenerImpl$1HandleServerCall,innerclass,10,10,0,10,5,2,0,13,3,0.0,0.0,0.0,3,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,41,1,0,0,2,0,2,0,2,0,1,1,0,1,0,34,16,0
D:\trabCKMetrics\repos\grpcgrpc-java\core\src\main\java\io\grpc\internal\DnsNameResolver.java,io.grpc.internal.DnsNameResolver$ResourceResolverFactory,interface,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0
D:\trabCKMetrics\repos\grpcgrpc-java\benchmarks\src\main\java\io\grpc\benchmarks\qps\AsyncClient.java,io.grpc.benchmarks.qps.AsyncClient$ThisIsAHackStreamObserver,innerclass,5,5,0,5,5,1,0,6,0,0.5,0.0,0.0,4,0,3,0,0,1,4,0,0,0,6,0,0,0,0,6,4,0,2,31,0,0,0,0,1,1,2,7,3,7,1,0,0,0,45,10,0
D:\trabCKMetrics\repos\grpcgrpc-java\android-interop-testing\src\generated\release\grpc\io\grpc\testing\integration\XdsUpdateClientConfigureServiceGrpc.java,XdsUpdateClientConfigureServiceStub,innerclass,4,7,3,4,3,1,0,5,3,0.0,0.0,0.0,3,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,25,0
D:\trabCKMetrics\repos\grpcgrpc-java\okhttp\third_party\okhttp\main\java\io\grpc\okhttp\internal\framed\Hpack.java,io.grpc.okhttp.internal.framed.Hpack$Writer,innerclass,5,5,0,5,41,1,0,24,0,0.6909091,0.0,0.0,11,0,0,4,0,7,7,0,0,0,10,0,0,7,0,3,1,0,7,173,5,4,7,0,0,0,41,49,19,29,5,0,0,0,99,24,0
D:\trabCKMetrics\repos\grpcgrpc-java\interop-testing\src\test\java\io\grpc\testing\integration\MoreInProcessTest.java,io.grpc.testing.integration.MoreInProcessTest$Anonymous4$Anonymous5,anonymous,1,1,0,1,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-1,0
D:\trabCKMetrics\repos\grpcgrpc-java\examples\src\test\java\io\grpc\examples\header\HeaderServerInterceptorTest.java,io.grpc.examples.header.HeaderServerInterceptorTest$1SpyingClientInterceptor,innerclass,10,10,0,10,1,1,0,1,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,12,1,0,0,0,0,0,0,0,0,1,0,1,0,0,10,0,0
D:\trabCKMetrics\repos\grpcgrpc-java\core\src\test\java\io\grpc\inprocess\InProcessServerTest.java,io.grpc.inprocess.InProcessServerTest$Anonymous1,anonymous,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
D:\trabCKMetrics\repos\grpcgrpc-java\xds\src\main\java\io\grpc\xds\FaultConfig.java,io.grpc.xds.FaultConfig,class,7,14,7,7,5,1,0,0,10,0.0,0.0,0.0,5,1,1,0,0,4,5,3,1,0,0,0,0,0,0,0,0,0,0,57,2,0,0,0,0,0,0,0,0,0,0,0,3,0,17,1024,0
D:\trabCKMetrics\repos\grpcgrpc-java\netty\src\main\java\io\grpc\netty\InternalProtocolNegotiator.java,io.grpc.netty.InternalProtocolNegotiator,class,5,5,0,5,1,1,0,0,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,17,0
