file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\ImagePicker\src\main\java\com\github\gzuliyujiang\imagepicker\CropImageOptions.java,com.github.gzuliyujiang.imagepicker.CropImageOptions,class,12,19,7,12,37,1,0,26,0,0.33658525,0.0,0.0,5,0,4,0,1,0,5,0,0,0,41,1,41,0,0,0,1,0,4,231,1,0,7,0,6,16,72,82,0,42,1,1,0,0,217,1,0
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\WheelPicker\src\main\java\com\github\gzuliyujiang\wheelpicker\contract\OnLinkagePickedListener.java,com.github.gzuliyujiang.wheelpicker.contract.OnLinkagePickedListener,interface,0,4,4,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\WheelPicker\src\main\java\com\github\gzuliyujiang\wheelpicker\widget\DateWheelLayout.java,com.github.gzuliyujiang.wheelpicker.widget.DateWheelLayout$Anonymous3,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\WheelPicker\src\main\java\com\github\gzuliyujiang\wheelpicker\widget\DateWheelLayout.java,com.github.gzuliyujiang.wheelpicker.widget.DateWheelLayout$Anonymous4,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\WheelView\src\main\java\com\github\gzuliyujiang\wheelview\contract\OnWheelChangedListener.java,com.github.gzuliyujiang.wheelview.contract.OnWheelChangedListener,interface,1,3,2,1,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,1,0
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\CalendarPicker\src\main\java\com\github\gzuliyujiang\calendarpicker\calendar\view\MonthView.java,com.github.gzuliyujiang.calendarpicker.calendar.view.MonthView$Anonymous1,anonymous,6,6,0,6,4,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,20,2,0,1,1,1,0,0,4,0,4,1,0,0,0,16,-1,0
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\WheelPicker\src\main\java\com\github\gzuliyujiang\wheelpicker\widget\DateWheelLayout.java,com.github.gzuliyujiang.wheelpicker.widget.DateWheelLayout$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\WheelPicker\src\main\java\com\github\gzuliyujiang\wheelpicker\widget\DateWheelLayout.java,com.github.gzuliyujiang.wheelpicker.widget.DateWheelLayout$Anonymous2,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\app\src\main\java\com\github\gzuliyujiang\fallback\activity\MainActivity.java,com.github.gzuliyujiang.fallback.activity.MainActivity,class,18,19,1,18,10,2,0,8,45,0.0,0.0,0.0,10,0,8,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,2,39,0,0,0,0,0,23,0,3,0,3,0,0,0,0,39,1,0
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\ColorPicker\src\main\java\com\github\gzuliyujiang\colorpicker\GradientView.java,com.github.gzuliyujiang.colorpicker.GradientView,class,21,26,5,21,72,2,1,63,296,0.8963318,0.0,0.0,33,0,14,11,8,0,22,0,1,0,19,2,0,19,0,0,5,0,22,326,13,0,22,0,18,2,43,97,45,46,3,0,0,0,144,0,0
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\CalendarPicker\src\main\java\com\github\gzuliyujiang\calendarpicker\calendar\adapter\CalendarAdapter.java,com.github.gzuliyujiang.calendarpicker.calendar.adapter.CalendarAdapter,class,12,18,6,12,32,1,0,27,49,0.8083334,0.0,0.0,15,0,15,0,0,0,15,0,1,0,8,0,0,8,0,0,5,0,2,119,8,1,4,0,0,6,12,23,5,16,4,0,0,0,68,1,0
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\WheelPicker\src\main\java\com\github\gzuliyujiang\wheelpicker\contract\OnLinkageSelectedListener.java,com.github.gzuliyujiang.wheelpicker.contract.OnLinkageSelectedListener,interface,0,2,2,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\ImagePicker\src\main\java\com\github\gzuliyujiang\imagepicker\CropImageAnimation.java,com.github.gzuliyujiang.imagepicker.CropImageAnimation,class,9,10,1,9,9,2,0,18,5,0.7142858,0.0,0.0,7,0,6,0,1,0,7,0,0,0,11,0,0,11,0,0,11,0,2,58,0,2,0,0,6,0,15,20,18,14,1,0,0,0,46,16,0
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\FilePicker\src\main\java\com\github\gzuliyujiang\filepicker\adapter\FileAdapter.java,com.github.gzuliyujiang.filepicker.adapter.FileAdapter$Anonymous1,anonymous,3,3,0,3,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\app\src\main\java\com\github\gzuliyujiang\fallback\DemoApp.java,com.github.gzuliyujiang.fallback.DemoApp$Anonymous1,anonymous,1,1,0,1,6,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,3,2,0,4,0,3,2,2,3,0,0,0,26,-1,0
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\ImagePicker\src\main\java\com\github\gzuliyujiang\imagepicker\HybridityUtils.java,com.github.gzuliyujiang.imagepicker.HybridityUtils,class,9,12,3,9,33,1,0,31,78,0.0,0.0,0.0,13,13,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,8,126,21,1,13,4,0,6,1,22,1,18,4,0,0,0,165,16,0
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\ImagePicker\src\main\java\com\github\gzuliyujiang\imagepicker\PickCallback.java,com.github.gzuliyujiang.imagepicker.PickCallback,class,4,6,2,4,6,1,0,4,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,4,0,0,0,0,0,0,0,20,1025,0
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\ImagePicker\src\main\java\com\github\gzuliyujiang\imagepicker\ActivityBuilder.java,com.github.gzuliyujiang.imagepicker.ActivityBuilder,class,15,19,4,15,38,1,0,6,0,0.5,0.0,0.0,38,0,38,0,0,0,38,0,0,0,2,0,0,2,0,0,2,0,0,164,35,0,0,0,0,2,0,43,0,3,0,0,0,0,223,1,0
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\WheelPicker\src\main\java\com\github\gzuliyujiang\wheelpicker\LinkagePicker.java,com.github.gzuliyujiang.wheelpicker.LinkagePicker,class,13,18,5,13,17,4,3,11,0,0.5625,0.0,0.0,16,0,13,0,3,0,16,0,8,0,2,0,0,1,1,0,0,0,0,57,9,0,1,0,0,2,0,5,0,5,1,0,0,0,40,1,0
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\AddressPicker\src\main\java\com\github\gzuliyujiang\wheelpicker\impl\AddressProvider.java,com.github.gzuliyujiang.wheelpicker.impl.AddressProvider,class,7,10,3,7,32,1,0,18,10,0.5555556,0.0,0.0,9,0,9,0,0,0,9,0,0,0,2,0,0,2,0,0,2,0,0,83,19,3,11,0,0,0,7,16,0,14,2,0,0,0,31,1,0
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\CalendarPicker\src\main\java\com\github\gzuliyujiang\calendarpicker\calendar\protocol\DayEntity.java,com.github.gzuliyujiang.calendarpicker.calendar.protocol.DayEntity,class,2,6,4,2,22,1,0,5,58,0.77678573,0.0,0.0,16,1,15,1,0,0,15,0,0,0,7,1,0,7,0,0,1,0,1,76,14,0,3,0,0,4,5,18,1,8,1,0,0,0,18,1,0
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\WheelPicker\src\main\java\com\github\gzuliyujiang\wheelpicker\impl\BirthdayFormatter.java,com.github.gzuliyujiang.wheelpicker.impl.BirthdayFormatter,class,1,2,1,1,3,2,0,3,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,3,0,0,3,0,0,0,0,0,11,1,0
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\CalendarPicker\src\main\java\com\github\gzuliyujiang\calendarpicker\calendar\protocol\OnCalendarSelectListener.java,com.github.gzuliyujiang.calendarpicker.calendar.protocol.OnCalendarSelectListener,interface,1,3,2,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\WheelPicker\src\main\java\com\github\gzuliyujiang\wheelpicker\widget\DateWheelLayout.java,com.github.gzuliyujiang.wheelpicker.widget.DateWheelLayout,class,16,22,6,16,80,3,0,56,307,0.84068626,0.0,0.0,34,0,24,5,5,0,29,0,11,0,12,0,0,12,0,0,0,0,10,325,28,0,37,0,4,2,46,48,7,25,2,4,0,0,97,1,0
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\WheelPicker\src\main\java\com\github\gzuliyujiang\wheelpicker\contract\TimeFormatter.java,com.github.gzuliyujiang.wheelpicker.contract.TimeFormatter,interface,0,7,7,0,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\app\src\main\java\com\github\gzuliyujiang\fallback\custom\AntFortuneLikePicker.java,com.github.gzuliyujiang.fallback.custom.AntFortuneLikePicker,class,6,7,1,6,2,5,0,16,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,1,3,8,0,1,0,0,0,0,0,20,1,0
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\CalendarPicker\src\main\java\com\github\gzuliyujiang\calendarpicker\calendar\view\decoration\StickyDecoration.java,com.github.gzuliyujiang.calendarpicker.calendar.view.decoration.StickyDecoration$Builder,innerclass,6,6,0,6,12,1,0,3,0,0.083333336,0.0,0.0,12,1,11,1,0,0,11,0,0,0,1,0,0,1,0,0,0,0,0,52,11,0,0,0,0,0,0,9,0,1,0,0,0,0,28,9,0
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\WheelPicker\src\main\java\com\github\gzuliyujiang\wheelpicker\contract\OnOptionPickedListener.java,com.github.gzuliyujiang.wheelpicker.contract.OnOptionPickedListener,interface,0,2,2,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\WheelPicker\src\main\java\com\github\gzuliyujiang\wheelpicker\widget\TimeWheelLayout.java,com.github.gzuliyujiang.wheelpicker.widget.TimeWheelLayout,class,17,25,8,17,75,3,0,63,504,0.87968755,0.0,0.0,40,0,29,6,5,0,34,0,14,0,16,0,0,16,0,0,0,0,11,327,25,0,32,0,3,8,42,50,5,29,1,5,0,0,100,1,0
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\ImagePicker\src\main\java\com\github\gzuliyujiang\imagepicker\CropOverlayView.java,com.github.gzuliyujiang.imagepicker.CropOverlayView$ScaleListener,innerclass,5,5,0,5,7,2,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,4,9,6,9,1,0,0,0,29,2,0
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\WheelPicker\src\main\java\com\github\gzuliyujiang\wheelpicker\widget\DatimeWheelLayout.java,com.github.gzuliyujiang.wheelpicker.widget.DatimeWheelLayout,class,20,24,4,20,51,3,0,78,153,0.773913,0.0,0.0,46,0,41,0,5,0,46,0,23,0,5,0,0,5,0,0,0,0,6,209,27,0,5,0,3,1,12,17,4,13,1,1,0,0,95,1,0
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\CalendarPicker\src\main\java\com\github\gzuliyujiang\calendarpicker\calendar\view\DayView.java,com.github.gzuliyujiang.calendarpicker.calendar.view.DayView,class,8,11,3,8,23,2,0,21,18,0.625,0.0,0.0,8,0,5,3,0,0,5,0,0,0,3,0,0,3,0,0,0,0,0,99,1,0,1,0,0,0,0,3,0,3,1,0,0,0,47,17,0
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\WheelPicker\src\main\java\com\github\gzuliyujiang\wheelpicker\contract\OnNumberSelectedListener.java,com.github.gzuliyujiang.wheelpicker.contract.OnNumberSelectedListener,interface,0,1,1,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\WheelPicker\src\main\java\com\github\gzuliyujiang\wheelpicker\TimePicker.java,com.github.gzuliyujiang.wheelpicker.TimePicker,class,8,9,1,8,12,4,0,7,35,0.76666665,0.0,0.0,10,0,5,0,5,0,10,0,1,0,3,0,0,2,1,0,0,0,0,43,2,0,2,0,0,2,0,6,0,6,1,0,0,0,34,1,0
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\WheelPicker\src\main\java\com\github\gzuliyujiang\wheelpicker\entity\DateEntity.java,com.github.gzuliyujiang.wheelpicker.entity.DateEntity,class,2,7,5,2,21,1,0,14,0,0.4,0.0,0.0,15,5,15,0,0,0,15,0,0,0,3,0,0,3,0,0,0,0,7,79,14,0,6,0,0,3,6,13,6,13,1,0,0,0,33,1,0
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\FilePicker\src\main\java\com\github\gzuliyujiang\filepicker\adapter\PathAdapter.java,com.github.gzuliyujiang.filepicker.adapter.PathAdapter$Anonymous1,anonymous,3,3,0,3,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\ImagePicker\src\main\java\com\github\gzuliyujiang\imagepicker\BitmapUtils.java,com.github.gzuliyujiang.imagepicker.BitmapUtils$RotateBitmapResult,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,1,0,0,1,2,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,13,24,0
