file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\ImagePicker\src\main\java\com\github\gzuliyujiang\imagepicker\CropImageOptions.java,com.github.gzuliyujiang.imagepicker.CropImageOptions,CropImageOptions/0,true,255,1,2,2,0,1,4,43,0,1,0,4,0,0,0,0,0,0,0,34,41,0,0,0,0,0,65,1,0,true
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\ImagePicker\src\main\java\com\github\gzuliyujiang\imagepicker\CropImageOptions.java,com.github.gzuliyujiang.imagepicker.CropImageOptions,CropImageOptions/1[com.github.gzuliyujiang.imagepicker.Parcel],true,310,7,5,1,4,8,12,42,0,0,1,12,0,0,0,7,0,0,0,7,40,0,0,0,0,0,61,4,0,true
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\ImagePicker\src\main\java\com\github\gzuliyujiang\imagepicker\CropImageOptions.java,com.github.gzuliyujiang.imagepicker.CropImageOptions,"writeToParcel/2[com.github.gzuliyujiang.imagepicker.Parcel,int]",false,354,1,0,0,0,8,10,42,0,0,2,10,0,0,0,0,0,6,0,14,0,0,0,0,0,0,51,1,0,false
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\ImagePicker\src\main\java\com\github\gzuliyujiang\imagepicker\CropImageOptions.java,com.github.gzuliyujiang.imagepicker.CropImageOptions,describeContents/0,false,398,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\ImagePicker\src\main\java\com\github\gzuliyujiang\imagepicker\CropImageOptions.java,com.github.gzuliyujiang.imagepicker.CropImageOptions,validate/0,false,407,0,4,4,0,19,0,50,0,0,0,0,0,0,0,0,0,0,16,16,0,0,1,0,0,0,64,1,0,true
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\WheelPicker\src\main\java\com\github\gzuliyujiang\wheelpicker\contract\OnLinkagePickedListener.java,com.github.gzuliyujiang.wheelpicker.contract.OnLinkagePickedListener,"onLinkagePicked/3[java.lang.Object,java.lang.Object,java.lang.Object]",false,24,0,1,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,true
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\WheelPicker\src\main\java\com\github\gzuliyujiang\wheelpicker\widget\DateWheelLayout.java,com.github.gzuliyujiang.wheelpicker.widget.DateWheelLayout$Anonymous3,formatItem/1[java.lang.Object],false,260,2,6,0,6,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\WheelPicker\src\main\java\com\github\gzuliyujiang\wheelpicker\widget\DateWheelLayout.java,com.github.gzuliyujiang.wheelpicker.widget.DateWheelLayout$Anonymous4,formatItem/1[java.lang.Object],false,266,2,6,0,6,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\WheelView\src\main\java\com\github\gzuliyujiang\wheelview\contract\OnWheelChangedListener.java,com.github.gzuliyujiang.wheelview.contract.OnWheelChangedListener,"onWheelScrollStateChanged/2[com.github.gzuliyujiang.wheelview.widget.WheelView,int]",false,48,1,2,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,true
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\WheelView\src\main\java\com\github\gzuliyujiang\wheelview\contract\OnWheelChangedListener.java,com.github.gzuliyujiang.wheelview.contract.OnWheelChangedListener,"onWheelScrolled/2[com.github.gzuliyujiang.wheelview.widget.WheelView,int]",false,27,1,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,true
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\WheelView\src\main\java\com\github\gzuliyujiang\wheelview\contract\OnWheelChangedListener.java,com.github.gzuliyujiang.wheelview.contract.OnWheelChangedListener,onWheelLoopFinished/1[com.github.gzuliyujiang.wheelview.widget.WheelView],false,68,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,true
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\WheelView\src\main\java\com\github\gzuliyujiang\wheelview\contract\OnWheelChangedListener.java,com.github.gzuliyujiang.wheelview.contract.OnWheelChangedListener,"onWheelSelected/2[com.github.gzuliyujiang.wheelview.widget.WheelView,int]",false,38,1,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,true
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\CalendarPicker\src\main\java\com\github\gzuliyujiang\calendarpicker\calendar\view\MonthView.java,com.github.gzuliyujiang.calendarpicker.calendar.view.MonthView$Anonymous1,onClick/1[com.github.gzuliyujiang.calendarpicker.calendar.view.View],false,224,6,5,0,5,4,7,18,2,4,1,7,0,0,0,1,1,1,0,0,4,0,1,0,0,0,16,1,0,false
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\WheelPicker\src\main\java\com\github\gzuliyujiang\wheelpicker\widget\DateWheelLayout.java,com.github.gzuliyujiang.wheelpicker.widget.DateWheelLayout$Anonymous1,run/0,false,181,1,19,0,19,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\WheelPicker\src\main\java\com\github\gzuliyujiang\wheelpicker\widget\DateWheelLayout.java,com.github.gzuliyujiang.wheelpicker.widget.DateWheelLayout$Anonymous2,formatItem/1[java.lang.Object],false,254,2,6,0,6,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\app\src\main\java\com\github\gzuliyujiang\fallback\activity\MainActivity.java,com.github.gzuliyujiang.fallback.activity.MainActivity,onDateTimePicker/1[com.github.gzuliyujiang.fallback.activity.View],false,54,3,1,0,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\app\src\main\java\com\github\gzuliyujiang\fallback\activity\MainActivity.java,com.github.gzuliyujiang.fallback.activity.MainActivity,onCreate/1[com.github.gzuliyujiang.fallback.activity.Bundle],false,38,6,4,0,4,1,7,10,0,3,1,7,0,0,0,0,0,0,23,0,3,0,0,0,0,0,23,4,0,false
D:\trabCKMetrics\repos\gzu-liyujiangAndroidPicker\app\src\main\java\com\github\gzuliyujiang\fallback\activity\MainActivity.java,com.github.gzuliyujiang.fallback.activity.MainActivity,onCalendarPicker/1[com.github.gzuliyujiang.fallback.activity.View],false,78,3,1,0,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
