file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\halo-devhalo\src\main\java\run\halo\app\model\entity\PostComment.java,run.halo.app.model.entity.PostComment,class,3,14,11,3,0,3,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,1,0
D:\trabCKMetrics\repos\halo-devhalo\src\main\java\run\halo\app\utils\TwoFactorAuthUtils.java,run.halo.app.utils.TwoFactorAuthUtils$TimeBasedOneTimePasswordUtil,innerclass,3,3,0,3,40,1,0,21,58,0.82051283,0.0,0.0,13,13,10,1,0,2,13,0,0,0,3,3,1,2,0,0,3,0,17,184,14,5,4,0,18,7,75,76,28,37,2,0,0,0,288,8,0
D:\trabCKMetrics\repos\halo-devhalo\src\main\java\run\halo\app\model\params\OptionQuery.java,run.halo.app.model.params.OptionQuery,class,2,6,4,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,1,0
D:\trabCKMetrics\repos\halo-devhalo\src\main\java\run\halo\app\model\dto\CategoryDTO.java,run.halo.app.model.dto.CategoryDTO,class,6,18,12,6,0,1,2,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,9,0,0,0,0,21,1,0
D:\trabCKMetrics\repos\halo-devhalo\src\main\java\run\halo\app\model\dto\base\InputConverter.java,run.halo.app.model.dto.base.InputConverter,interface,5,39,34,5,3,1,0,7,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,4,14,2,0,0,0,0,2,1,2,0,2,0,0,0,0,32,1,0
D:\trabCKMetrics\repos\halo-devhalo\src\main\java\run\halo\app\utils\footnotes\internal\FootnoteBlockParser.java,run.halo.app.utils.footnotes.internal.FootnoteBlockParser,class,12,13,1,12,11,3,0,22,8,0.8214286,0.0,0.0,8,0,8,0,0,0,8,0,0,0,7,3,0,4,0,3,3,0,2,99,8,0,1,0,0,5,0,11,4,10,2,0,2,0,46,1,0
D:\trabCKMetrics\repos\halo-devhalo\src\main\java\run\halo\app\controller\content\api\JournalController.java,run.halo.app.controller.content.api.JournalController,class,30,30,0,30,9,1,0,18,0,0.48148152,0.0,0.0,9,0,9,0,0,0,9,0,0,0,3,0,0,3,0,0,3,0,0,38,7,0,0,0,0,33,0,6,0,6,0,0,0,0,48,1,0
D:\trabCKMetrics\repos\halo-devhalo\src\test\java\run\halo\app\utils\VersionUtilTest.java,run.halo.app.utils.VersionUtilTest,class,2,2,0,2,2,1,0,5,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,8,14,0,0,0,0,0,13,3,1,0,1,0,0,0,0,11,0,0
D:\trabCKMetrics\repos\halo-devhalo\src\main\java\run\halo\app\model\support\StaticPageFile.java,run.halo.app.model.support.StaticPageFile,class,2,3,1,2,5,1,0,2,0,0.75,NaN,NaN,1,0,1,0,0,0,1,0,0,0,4,0,0,4,0,0,0,0,0,15,3,0,0,0,0,0,2,0,0,4,1,0,0,0,12,1,0
D:\trabCKMetrics\repos\halo-devhalo\src\main\java\run\halo\app\cache\CacheWrapper.java,run.halo.app.cache.CacheWrapper,class,6,11,5,6,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0
