file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\halo-devhalo\src\main\java\run\halo\app\utils\TwoFactorAuthUtils.java,run.halo.app.utils.TwoFactorAuthUtils$TimeBasedOneTimePasswordUtil,generateBase32Secret/1[int],false,113,0,2,2,0,3,3,14,1,4,1,3,0,0,1,0,0,3,0,4,4,3,2,0,0,0,18,9,0,true
D:\trabCKMetrics\repos\halo-devhalo\src\main\java\run\halo\app\utils\TwoFactorAuthUtils.java,run.halo.app.utils.TwoFactorAuthUtils$TimeBasedOneTimePasswordUtil,generateCurrentNumber/1[java.lang.String],false,240,1,1,0,1,1,2,3,1,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,23,9,0,true
D:\trabCKMetrics\repos\halo-devhalo\src\main\java\run\halo\app\utils\TwoFactorAuthUtils.java,run.halo.app.utils.TwoFactorAuthUtils$TimeBasedOneTimePasswordUtil,"validateCurrentNumber/5[java.lang.String,int,int,long,int]",false,177,1,2,1,1,4,1,16,2,5,5,1,1,2,1,1,0,0,0,2,8,1,2,0,0,0,75,9,0,true
D:\trabCKMetrics\repos\halo-devhalo\src\main\java\run\halo\app\utils\TwoFactorAuthUtils.java,run.halo.app.utils.TwoFactorAuthUtils$TimeBasedOneTimePasswordUtil,generateCurrentNumberString/1[java.lang.String],false,208,1,2,1,1,1,2,3,1,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,49,9,0,true
D:\trabCKMetrics\repos\halo-devhalo\src\main\java\run\halo\app\utils\TwoFactorAuthUtils.java,run.halo.app.utils.TwoFactorAuthUtils$TimeBasedOneTimePasswordUtil,"generateNumber/3[java.lang.String,long,int]",false,253,2,4,3,1,3,4,22,1,10,3,4,1,1,2,0,0,1,2,14,16,3,1,0,0,0,44,9,0,true
D:\trabCKMetrics\repos\halo-devhalo\src\main\java\run\halo\app\utils\TwoFactorAuthUtils.java,run.halo.app.utils.TwoFactorAuthUtils$TimeBasedOneTimePasswordUtil,"qrImageUrl/2[java.lang.String,java.lang.String]",false,301,1,1,0,1,1,3,6,1,1,2,3,1,1,0,0,0,0,2,1,1,1,0,0,0,0,61,9,0,true
D:\trabCKMetrics\repos\halo-devhalo\src\main\java\run\halo\app\utils\TwoFactorAuthUtils.java,run.halo.app.utils.TwoFactorAuthUtils$TimeBasedOneTimePasswordUtil,"generateNumberString/3[java.lang.String,long,int]",false,228,1,3,1,2,1,2,4,1,1,3,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,51,9,0,true
D:\trabCKMetrics\repos\halo-devhalo\src\main\java\run\halo\app\utils\TwoFactorAuthUtils.java,run.halo.app.utils.TwoFactorAuthUtils$TimeBasedOneTimePasswordUtil,"zeroPrepend/2[int,int]",false,334,0,1,1,0,2,5,13,2,3,2,5,0,0,0,0,0,0,0,1,3,1,1,0,0,0,20,8,0,true
D:\trabCKMetrics\repos\halo-devhalo\src\main\java\run\halo\app\utils\TwoFactorAuthUtils.java,run.halo.app.utils.TwoFactorAuthUtils$TimeBasedOneTimePasswordUtil,generateBase32Secret/0,false,106,1,1,0,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,31,9,0,true
D:\trabCKMetrics\repos\halo-devhalo\src\main\java\run\halo\app\utils\TwoFactorAuthUtils.java,run.halo.app.utils.TwoFactorAuthUtils$TimeBasedOneTimePasswordUtil,"generateOtpAuthUrl/2[java.lang.String,java.lang.String]",false,319,1,2,1,1,1,2,5,1,1,2,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,52,9,0,true
D:\trabCKMetrics\repos\halo-devhalo\src\main\java\run\halo\app\utils\TwoFactorAuthUtils.java,run.halo.app.utils.TwoFactorAuthUtils$TimeBasedOneTimePasswordUtil,(initializer 1),false,94,1,2,0,2,1,1,5,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,8,0,false
D:\trabCKMetrics\repos\halo-devhalo\src\main\java\run\halo\app\utils\TwoFactorAuthUtils.java,run.halo.app.utils.TwoFactorAuthUtils$TimeBasedOneTimePasswordUtil,"validateCurrentNumber/3[java.lang.String,int,int]",false,152,1,2,1,1,1,2,3,1,0,3,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,85,9,0,true
D:\trabCKMetrics\repos\halo-devhalo\src\main\java\run\halo\app\utils\TwoFactorAuthUtils.java,run.halo.app.utils.TwoFactorAuthUtils$TimeBasedOneTimePasswordUtil,"addOtpAuthPart/3[java.lang.String,java.lang.String,java.lang.StringBuilder]",false,325,0,2,2,0,1,1,3,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,10,0,false
D:\trabCKMetrics\repos\halo-devhalo\src\main\java\run\halo\app\utils\TwoFactorAuthUtils.java,run.halo.app.utils.TwoFactorAuthUtils$TimeBasedOneTimePasswordUtil,decodeBase32/1[java.lang.String],false,352,1,1,1,0,19,3,79,1,8,1,3,0,0,1,3,0,14,1,49,38,19,2,0,0,0,37,8,0,true
D:\trabCKMetrics\repos\halo-devhalo\src\main\java\run\halo\app\model\dto\base\InputConverter.java,run.halo.app.model.dto.base.InputConverter,convertTo/0,false,22,3,2,0,2,1,4,6,1,2,0,4,0,0,0,0,0,0,2,1,2,0,0,0,0,0,22,65536,0,true
D:\trabCKMetrics\repos\halo-devhalo\src\main\java\run\halo\app\model\dto\base\InputConverter.java,run.halo.app.model.dto.base.InputConverter,parameterizedType/0,false,50,3,1,0,1,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,65536,0,true
D:\trabCKMetrics\repos\halo-devhalo\src\main\java\run\halo\app\model\dto\base\InputConverter.java,run.halo.app.model.dto.base.InputConverter,update/1[D],false,40,2,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,65536,0,true
