file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\hyb1996Auto.js\autojs\src\main\java\com\stardust\autojs\engine\module\UrlModuleSourceProvider.java,com.stardust.autojs.engine.module.UrlModuleSourceProvider$URLValidator,"calculateExpiry/3[java.net.URLConnection,long,org.mozilla.javascript.commonjs.module.provider.UrlConnectionExpiryCalculator]",false,276,2,4,2,2,7,10,26,5,9,3,10,1,1,0,5,0,0,6,11,9,7,2,0,0,0,29,2,0,false
D:\trabCKMetrics\repos\hyb1996Auto.js\autojs\src\main\java\com\stardust\autojs\engine\module\UrlModuleSourceProvider.java,com.stardust.autojs.engine.module.UrlModuleSourceProvider$URLValidator,isResourceChanged/1[java.net.URLConnection],false,266,0,1,1,0,3,2,6,2,0,1,2,0,0,0,2,0,1,0,0,0,0,1,0,0,0,14,2,0,false
D:\trabCKMetrics\repos\hyb1996Auto.js\autojs\src\main\java\com\stardust\autojs\engine\module\UrlModuleSourceProvider.java,com.stardust.autojs.engine.module.UrlModuleSourceProvider$URLValidator,applyConditionals/1[java.net.URLConnection],false,351,0,1,1,0,4,3,8,0,0,1,3,0,0,0,2,0,0,1,2,0,0,1,0,0,0,14,0,0,false
D:\trabCKMetrics\repos\hyb1996Auto.js\autojs\src\main\java\com\stardust\autojs\engine\module\UrlModuleSourceProvider.java,com.stardust.autojs.engine.module.UrlModuleSourceProvider$URLValidator,appliesTo/1[java.net.URI],false,347,0,1,1,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
D:\trabCKMetrics\repos\hyb1996Auto.js\autojs\src\main\java\com\stardust\autojs\engine\module\UrlModuleSourceProvider.java,com.stardust.autojs.engine.module.UrlModuleSourceProvider$URLValidator,entityNeedsRevalidation/0,false,360,0,1,1,0,2,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
D:\trabCKMetrics\repos\hyb1996Auto.js\autojs\src\main\java\com\stardust\autojs\engine\module\UrlModuleSourceProvider.java,com.stardust.autojs.engine.module.UrlModuleSourceProvider$URLValidator,"updateValidator/3[java.net.URLConnection,long,org.mozilla.javascript.commonjs.module.provider.UrlConnectionExpiryCalculator]",false,256,2,3,1,2,2,2,7,1,1,3,2,2,2,0,0,0,0,0,0,2,0,1,0,0,0,17,0,0,false
D:\trabCKMetrics\repos\hyb1996Auto.js\autojs\src\main\java\com\stardust\autojs\engine\module\UrlModuleSourceProvider.java,com.stardust.autojs.engine.module.UrlModuleSourceProvider$URLValidator,getMaxAge/1[java.lang.String],false,310,0,1,1,0,5,5,24,4,4,1,5,0,0,0,3,1,0,1,10,5,4,1,0,0,0,14,2,0,false
D:\trabCKMetrics\repos\hyb1996Auto.js\autojs\src\main\java\com\stardust\autojs\engine\module\UrlModuleSourceProvider.java,com.stardust.autojs.engine.module.UrlModuleSourceProvider$URLValidator,"URLValidator/4[java.net.URI,java.net.URLConnection,long,org.mozilla.javascript.commonjs.module.provider.UrlConnectionExpiryCalculator]",true,246,2,3,1,2,1,3,6,0,0,4,3,2,2,0,0,0,0,0,0,4,0,0,0,0,0,15,1,0,false
D:\trabCKMetrics\repos\hyb1996Auto.js\autojs\src\main\java\com\stardust\autojs\engine\module\UrlModuleSourceProvider.java,com.stardust.autojs.engine.module.UrlModuleSourceProvider$URLValidator,getEntityTags/1[java.net.URLConnection],false,333,0,1,1,0,4,8,13,2,3,1,8,0,0,1,1,0,0,2,0,3,0,1,0,0,0,14,2,0,false
D:\trabCKMetrics\repos\hyb1996Auto.js\app\src\main\java\org\autojs\autojs\ui\edit\keyboard\FunctionsKeyboardView.java,org.autojs.autojs.ui.edit.keyboard.FunctionsKeyboardView$ClickCallback,"onPropertyClick/2[org.autojs.autojs.model.indices.Module,org.autojs.autojs.model.indices.Property]",false,49,2,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
D:\trabCKMetrics\repos\hyb1996Auto.js\app\src\main\java\org\autojs\autojs\ui\edit\keyboard\FunctionsKeyboardView.java,org.autojs.autojs.ui.edit.keyboard.FunctionsKeyboardView$ClickCallback,onModuleLongClick/1[org.autojs.autojs.model.indices.Module],false,47,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
D:\trabCKMetrics\repos\hyb1996Auto.js\app\src\main\java\org\autojs\autojs\ui\edit\keyboard\FunctionsKeyboardView.java,org.autojs.autojs.ui.edit.keyboard.FunctionsKeyboardView$ClickCallback,"onPropertyLongClick/2[org.autojs.autojs.model.indices.Module,org.autojs.autojs.model.indices.Property]",false,51,2,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
D:\trabCKMetrics\repos\hyb1996Auto.js\app\src\main\java\org\autojs\autojs\ui\widget\OnItemClickListener.java,org.autojs.autojs.ui.widget.OnItemClickListener,"onItemClick/3[org.autojs.autojs.ui.widget.RecyclerView,org.autojs.autojs.ui.widget.View,int]",false,12,2,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
D:\trabCKMetrics\repos\hyb1996Auto.js\autojs\src\main\java\com\stardust\autojs\core\ui\attribute\ViewAttributesFactory.java,com.stardust.autojs.core.ui.attribute.ViewAttributesFactory,"create/2[com.stardust.autojs.core.ui.inflater.ResourceParser,com.stardust.autojs.core.ui.attribute.View]",false,36,4,3,1,2,4,5,11,2,2,2,5,0,0,1,2,0,0,0,0,3,0,2,0,0,0,10,9,0,false
D:\trabCKMetrics\repos\hyb1996Auto.js\autojs\src\main\java\com\stardust\autojs\core\ui\attribute\ViewAttributesFactory.java,com.stardust.autojs.core.ui.attribute.ViewAttributesFactory,(initializer 1),false,24,5,5,0,5,1,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,false
D:\trabCKMetrics\repos\hyb1996Auto.js\autojs\src\main\java\com\stardust\autojs\core\ui\attribute\ViewAttributesFactory.java,com.stardust.autojs.core.ui.attribute.ViewAttributesFactory,"put/2[java.lang.Class<? extends com.stardust.autojs.core.ui.attribute.View>,com.stardust.autojs.core.ui.attribute.ViewAttributesFactory.ViewAttributesCreator]",false,32,1,0,0,0,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
D:\trabCKMetrics\repos\hyb1996Auto.js\autojs\src\main\java\com\stardust\autojs\util\ProcessUtils.java,com.stardust.autojs.util.ProcessUtils,getProcessPid/1[java.lang.Process],false,18,0,2,2,0,2,5,11,2,1,1,5,0,0,0,0,1,0,1,1,1,0,1,0,0,0,9,9,0,false
