file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResColorValue.java,brut.androlib.res.data.value.ResColorValue,class,1,2,1,1,2,5,0,1,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,2,0,0,0,0,0,0,0,0,8,1,0
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\aapt1\DefaultBaksmaliVariableTest.java,brut.androlib.aapt1.DefaultBaksmaliVariableTest,class,11,12,1,11,3,2,0,11,3,0.0,0.0,0.0,3,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,25,0,0,0,0,0,57,0,8,2,5,0,0,0,0,55,1,3
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.j.dir\src\main\java\brut\directory\PathAlreadyExists.java,brut.directory.PathAlreadyExists,class,1,2,1,1,4,5,0,0,6,0.75,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,0,14,0,0,0,0,0,0,1,1,0,1,0,0,0,0,16,1,0
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResStringValue.java,brut.androlib.res.data.value.ResStringValue,class,5,8,3,5,12,4,0,10,28,0.875,0.0,0.0,8,0,5,1,2,0,7,0,0,0,1,1,0,1,0,0,1,0,6,32,5,0,1,0,0,5,0,1,1,1,1,0,0,0,34,1,0
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\aapt1\ProviderAttributeTest.java,brut.androlib.aapt1.ProviderAttributeTest,class,11,12,1,11,4,2,0,18,6,0.0,0.0,0.0,4,2,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,33,1,0,0,0,0,16,0,9,9,7,0,0,0,0,52,1,0
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\decoder\StringBlock.java,brut.androlib.res.decoder.StringBlock$Tag,innerclass,4,4,0,4,10,1,0,21,0,0.26666668,0.0,0.0,3,0,2,0,0,1,3,0,0,0,5,1,0,5,0,0,5,0,7,33,4,0,2,0,0,6,6,8,2,10,2,0,1,1,84,10,0
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\decoder\ARSCDecoder.java,brut.androlib.res.decoder.ARSCDecoder$FlagsOffset,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,2,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,4,9,0
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\decode\ForceManifestDecodeNoResourcesTest.java,brut.androlib.decode.ForceManifestDecodeNoResourcesTest,class,10,11,1,10,7,2,0,16,9,0.42857143,0.0,0.0,7,2,6,1,0,0,6,0,0,0,1,0,0,1,0,0,1,0,9,59,0,0,0,0,0,17,10,23,16,22,0,0,0,0,50,1,0
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\aapt2\DebuggableTrueRetainedTest.java,brut.androlib.aapt2.DebuggableTrueRetainedTest,class,12,13,1,12,4,2,0,17,6,0.0,0.0,0.0,4,2,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,37,0,0,0,0,0,13,0,13,2,7,0,0,0,0,55,1,3
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResIdValue.java,brut.androlib.res.data.value.ResIdValue,class,6,7,1,6,1,2,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,13,1,0
