file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResColorValue.java,brut.androlib.res.data.value.ResColorValue,"ResColorValue/2[int,java.lang.String]",true,20,0,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResColorValue.java,brut.androlib.res.data.value.ResColorValue,encodeAsResXml/0,false,25,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,0,false
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\aapt1\DefaultBaksmaliVariableTest.java,brut.androlib.aapt1.DefaultBaksmaliVariableTest,beforeClass/0,false,40,7,9,0,9,1,6,14,0,2,0,6,0,0,0,0,0,0,7,0,5,0,0,0,0,0,18,9,3,false
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\aapt1\DefaultBaksmaliVariableTest.java,brut.androlib.aapt1.DefaultBaksmaliVariableTest,confirmBaksmaliParamsAreTheSame/0,false,63,3,1,0,1,1,4,6,0,3,0,4,0,0,0,0,0,0,50,0,3,2,0,0,0,0,38,1,0,false
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\aapt1\DefaultBaksmaliVariableTest.java,brut.androlib.aapt1.DefaultBaksmaliVariableTest,afterClass/0,false,58,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,false
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.j.dir\src\main\java\brut\directory\PathAlreadyExists.java,brut.directory.PathAlreadyExists,PathAlreadyExists/0,true,20,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.j.dir\src\main\java\brut\directory\PathAlreadyExists.java,brut.directory.PathAlreadyExists,PathAlreadyExists/1[java.lang.Throwable],true,23,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.j.dir\src\main\java\brut\directory\PathAlreadyExists.java,brut.directory.PathAlreadyExists,"PathAlreadyExists/2[java.lang.String,java.lang.Throwable]",true,31,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.j.dir\src\main\java\brut\directory\PathAlreadyExists.java,brut.directory.PathAlreadyExists,PathAlreadyExists/1[java.lang.String],true,27,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResStringValue.java,brut.androlib.res.data.value.ResStringValue,encodeAsResXml/0,false,53,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,false
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResStringValue.java,brut.androlib.res.data.value.ResStringValue,encodeAsResXmlAttr/0,false,38,2,2,0,2,1,2,3,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,false
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResStringValue.java,brut.androlib.res.data.value.ResStringValue,encodeAsResXmlItemValue/0,false,43,1,2,0,2,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResStringValue.java,brut.androlib.res.data.value.ResStringValue,"ResStringValue/2[java.lang.String,int]",true,29,0,4,4,0,1,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResStringValue.java,brut.androlib.res.data.value.ResStringValue,"ResStringValue/3[java.lang.String,int,java.lang.String]",true,33,0,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResStringValue.java,brut.androlib.res.data.value.ResStringValue,encodeAsResXmlValue/0,false,48,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResStringValue.java,brut.androlib.res.data.value.ResStringValue,checkIfStringIsNumeric/1[java.lang.String],false,64,0,1,1,0,4,3,6,2,0,1,3,0,0,0,1,0,0,1,0,0,1,1,0,0,0,7,2,0,false
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResStringValue.java,brut.androlib.res.data.value.ResStringValue,"serializeExtraXmlAttrs/2[brut.androlib.res.data.value.XmlSerializer,brut.androlib.res.data.ResResource]",false,58,3,1,0,1,2,2,5,0,0,2,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,12,4,0,false
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\aapt1\ProviderAttributeTest.java,brut.androlib.aapt1.ProviderAttributeTest,afterClass/0,false,50,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,false
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\aapt1\ProviderAttributeTest.java,brut.androlib.aapt1.ProviderAttributeTest,isProviderStringReplacementWorking/0,false,55,7,8,0,8,1,12,20,0,7,0,12,1,1,0,0,0,0,15,0,8,8,0,0,0,0,43,1,0,false
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\aapt1\ProviderAttributeTest.java,brut.androlib.aapt1.ProviderAttributeTest,fileExists/1[java.lang.String],false,93,0,1,1,0,1,3,3,1,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,false
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\aapt1\ProviderAttributeTest.java,brut.androlib.aapt1.ProviderAttributeTest,beforeClass/0,false,43,5,4,0,4,1,3,5,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,10,9,0,false
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\decoder\StringBlock.java,brut.androlib.res.decoder.StringBlock$Tag,toString/0,false,157,0,0,0,0,6,9,16,3,5,0,9,0,0,0,2,0,0,6,5,3,2,2,0,0,1,28,1,0,true
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\decoder\StringBlock.java,brut.androlib.res.decoder.StringBlock$Tag,compareTo/1[brut.androlib.res.decoder.StringBlock.Tag],false,139,1,0,0,0,3,8,3,1,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,0,true
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\decoder\StringBlock.java,brut.androlib.res.decoder.StringBlock$Tag,"Tag/4[java.lang.String,brut.androlib.res.decoder.StringBlock.Tag.Type,int,int]",true,121,2,2,1,1,1,1,6,0,0,4,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,false
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\decoder\ARSCDecoder.java,brut.androlib.res.decoder.ARSCDecoder$FlagsOffset,"FlagsOffset/2[int,int]",true,615,0,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\decode\ForceManifestDecodeNoResourcesTest.java,brut.androlib.decode.ForceManifestDecodeNoResourcesTest,"decodeFile/4[java.lang.String,short,short,java.lang.String]",false,135,1,10,4,6,1,5,8,0,1,4,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,2,0,false
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\decode\ForceManifestDecodeNoResourcesTest.java,brut.androlib.decode.ForceManifestDecodeNoResourcesTest,checkForceManifestToFalseWithResourcesEnabledIsIgnored/0,false,97,4,2,0,2,1,5,10,0,5,0,5,1,1,0,0,0,0,4,1,5,4,0,0,0,0,27,1,0,false
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\decode\ForceManifestDecodeNoResourcesTest.java,brut.androlib.decode.ForceManifestDecodeNoResourcesTest,checkIfForceManifestWorksWithNoChangeToResources/0,false,78,4,2,0,2,1,5,10,0,5,0,5,1,1,0,0,0,0,4,1,5,4,0,0,0,0,28,1,0,false
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\decode\ForceManifestDecodeNoResourcesTest.java,brut.androlib.decode.ForceManifestDecodeNoResourcesTest,afterClass/0,false,54,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,false
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\decode\ForceManifestDecodeNoResourcesTest.java,brut.androlib.decode.ForceManifestDecodeNoResourcesTest,checkIfForceManifestWithNoResourcesWorks/0,false,59,4,2,0,2,1,5,10,0,5,0,5,1,1,0,0,0,0,4,1,5,4,0,0,0,0,26,1,0,false
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\decode\ForceManifestDecodeNoResourcesTest.java,brut.androlib.decode.ForceManifestDecodeNoResourcesTest,beforeClass/0,false,47,5,4,0,4,1,3,5,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,9,0,false
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\decode\ForceManifestDecodeNoResourcesTest.java,brut.androlib.decode.ForceManifestDecodeNoResourcesTest,checkBothManifestAndResourcesSetToNone/0,false,116,4,2,0,2,1,6,10,0,5,0,6,1,1,0,0,0,0,4,1,5,4,0,0,0,0,25,1,0,false
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\aapt2\DebuggableTrueRetainedTest.java,brut.androlib.aapt2.DebuggableTrueRetainedTest,beforeClass/0,false,40,8,11,0,11,1,7,19,0,3,0,7,0,0,0,0,0,0,7,0,9,0,0,0,0,0,20,9,3,false
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\aapt2\DebuggableTrueRetainedTest.java,brut.androlib.aapt2.DebuggableTrueRetainedTest,buildAndDecodeTest/0,false,69,1,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\aapt2\DebuggableTrueRetainedTest.java,brut.androlib.aapt2.DebuggableTrueRetainedTest,afterClass/0,false,64,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,false
D:\trabCKMetrics\repos\iBotPeachesApktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\aapt2\DebuggableTrueRetainedTest.java,brut.androlib.aapt2.DebuggableTrueRetainedTest,DebugIsTruePriorToBeingFalseTest/0,false,74,3,1,0,1,1,7,10,0,4,0,7,0,0,0,0,0,0,6,0,4,2,0,0,0,0,35,1,0,false
