file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\iNPUTmiceConversations\src\main\java\eu\siacs\conversations\services\MessageSearchTask.java,eu.siacs.conversations.services.MessageSearchTask,class,15,18,3,15,19,1,0,26,5,0.5952381,0.0,0.0,7,2,4,3,0,0,4,0,0,0,6,1,0,6,0,0,5,0,3,95,4,1,6,1,2,9,2,32,4,29,4,0,0,0,79,1,0
D:\trabCKMetrics\repos\iNPUTmiceConversations\src\main\java\eu\siacs\conversations\xmpp\jingle\stanzas\RtpDescription.java,eu.siacs.conversations.xmpp.jingle.stanzas.RtpDescription$RtpHeaderExtension,innerclass,2,2,0,2,7,2,0,11,15,0.0,0.0,0.0,6,2,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,35,5,0,1,0,0,8,4,4,0,4,1,0,0,0,18,9,0
D:\trabCKMetrics\repos\iNPUTmiceConversations\src\quicksyPlaystore\java\eu\siacs\conversations\utils\SmsRetrieverWrapper.java,SmsRetrieverWrapper,class,5,5,0,5,6,1,0,13,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,3,0,0,4,0,5,0,7,2,0,0,2,28,1,0
D:\trabCKMetrics\repos\iNPUTmiceConversations\src\main\java\eu\siacs\conversations\ui\adapter\ChannelSearchResultAdapter.java,eu.siacs.conversations.ui.adapter.ChannelSearchResultAdapter,class,16,17,1,16,12,3,0,24,11,0.72222227,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,1,0,3,0,0,1,0,2,70,2,0,4,0,0,1,1,10,0,11,1,1,2,1,41,1,0
D:\trabCKMetrics\repos\iNPUTmiceConversations\src\main\java\eu\siacs\conversations\services\ChannelDiscoveryService.java,eu.siacs.conversations.services.ChannelDiscoveryService$OnChannelSearchResultsFound,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
D:\trabCKMetrics\repos\iNPUTmiceConversations\src\quicksy\java\eu\siacs\conversations\services\QuickConversationsService.java,OnVerificationRequested,interface,0,0,0,0,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
D:\trabCKMetrics\repos\iNPUTmiceConversations\src\main\java\eu\siacs\conversations\entities\RawBlockable.java,eu.siacs.conversations.entities.RawBlockable,class,8,11,3,8,16,1,0,13,34,0.6666666,0.0,0.0,12,0,12,0,0,0,12,0,0,0,2,0,0,2,0,0,2,0,2,56,13,1,0,0,0,2,0,4,0,3,2,0,0,0,31,1,0
D:\trabCKMetrics\repos\iNPUTmiceConversations\src\main\java\eu\siacs\conversations\services\MemorizingTrustManager.java,eu.siacs.conversations.services.MemorizingTrustManager$InteractiveMemorizingTrustManager,innerclass,1,1,0,1,4,1,0,2,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,15,1,0,0,0,0,0,0,1,0,1,0,0,0,0,17,2,0
D:\trabCKMetrics\repos\iNPUTmiceConversations\src\main\java\eu\siacs\conversations\services\AbstractQuickConversationsService.java,eu.siacs.conversations.services.AbstractQuickConversationsService,class,2,21,19,2,8,1,1,1,28,0.9375,0.0,0.0,8,2,8,0,0,0,8,5,0,0,2,1,1,0,1,0,2,0,0,18,2,0,0,0,0,3,0,2,0,2,0,0,0,0,36,1025,0
D:\trabCKMetrics\repos\iNPUTmiceConversations\src\main\java\eu\siacs\conversations\utils\Cancellable.java,eu.siacs.conversations.utils.Cancellable,interface,0,4,4,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
D:\trabCKMetrics\repos\iNPUTmiceConversations\src\main\java\eu\siacs\conversations\ui\ConversationFragment.java,eu.siacs.conversations.ui.ConversationFragment$Anonymous10,anonymous,4,4,0,4,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,-1,0
D:\trabCKMetrics\repos\iNPUTmiceConversations\src\main\java\eu\siacs\conversations\ui\ConversationFragment.java,eu.siacs.conversations.ui.ConversationFragment$Anonymous11,anonymous,5,5,0,5,3,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,1,0,1,1,0,0,0,8,-1,0
D:\trabCKMetrics\repos\iNPUTmiceConversations\src\main\java\eu\siacs\conversations\ui\ConversationFragment.java,eu.siacs.conversations.ui.ConversationFragment$Anonymous12,anonymous,6,6,0,6,3,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,1,0,1,1,0,0,0,10,-1,0
D:\trabCKMetrics\repos\iNPUTmiceConversations\src\main\java\eu\siacs\conversations\utils\Emoticons.java,eu.siacs.conversations.utils.Emoticons$Emoji,innerclass,1,1,0,1,2,2,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0
