file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\iNPUTmiceConversations\src\main\java\eu\siacs\conversations\services\MessageSearchTask.java,eu.siacs.conversations.services.MessageSearchTask,cancel/0,false,80,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\iNPUTmiceConversations\src\main\java\eu\siacs\conversations\services\MessageSearchTask.java,eu.siacs.conversations.services.MessageSearchTask,run/0,false,85,8,5,0,5,10,18,57,2,20,0,18,1,1,1,3,1,2,8,2,22,3,4,0,0,0,42,1,0,false
D:\trabCKMetrics\repos\iNPUTmiceConversations\src\main\java\eu\siacs\conversations\services\MessageSearchTask.java,eu.siacs.conversations.services.MessageSearchTask,"findOrGenerateStub/4[java.lang.String,java.lang.String,java.lang.String,int]",false,140,6,6,1,5,4,4,12,2,3,4,4,0,0,0,3,0,0,1,0,3,1,1,0,0,0,19,2,0,false
D:\trabCKMetrics\repos\iNPUTmiceConversations\src\main\java\eu\siacs\conversations\services\MessageSearchTask.java,eu.siacs.conversations.services.MessageSearchTask,executeInBackground/0,false,153,1,2,1,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,false
D:\trabCKMetrics\repos\iNPUTmiceConversations\src\main\java\eu\siacs\conversations\services\MessageSearchTask.java,eu.siacs.conversations.services.MessageSearchTask,"MessageSearchTask/4[eu.siacs.conversations.services.XmppConnectionService,java.util.List<java.lang.String>,java.lang.String,eu.siacs.conversations.ui.interfaces.OnSearchResultsAvailable]",true,64,2,1,1,0,1,0,6,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,2,0,false
D:\trabCKMetrics\repos\iNPUTmiceConversations\src\main\java\eu\siacs\conversations\services\MessageSearchTask.java,eu.siacs.conversations.services.MessageSearchTask,cancelRunningTasks/0,false,75,1,2,1,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
D:\trabCKMetrics\repos\iNPUTmiceConversations\src\main\java\eu\siacs\conversations\services\MessageSearchTask.java,eu.siacs.conversations.services.MessageSearchTask,"search/4[eu.siacs.conversations.services.XmppConnectionService,java.util.List<java.lang.String>,java.lang.String,eu.siacs.conversations.ui.interfaces.OnSearchResultsAvailable]",false,71,3,3,1,2,1,1,3,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,false
D:\trabCKMetrics\repos\iNPUTmiceConversations\src\main\java\eu\siacs\conversations\xmpp\jingle\stanzas\RtpDescription.java,eu.siacs.conversations.xmpp.jingle.stanzas.RtpDescription$RtpHeaderExtension,RtpHeaderExtension/0,true,181,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,false
D:\trabCKMetrics\repos\iNPUTmiceConversations\src\main\java\eu\siacs\conversations\xmpp\jingle\stanzas\RtpDescription.java,eu.siacs.conversations.xmpp.jingle.stanzas.RtpDescription$RtpHeaderExtension,ofSdpString/1[java.lang.String],false,208,1,2,1,1,2,1,11,2,3,1,1,0,0,0,1,0,0,1,4,3,0,1,0,0,0,11,9,0,false
D:\trabCKMetrics\repos\iNPUTmiceConversations\src\main\java\eu\siacs\conversations\xmpp\jingle\stanzas\RtpDescription.java,eu.siacs.conversations.xmpp.jingle.stanzas.RtpDescription$RtpHeaderExtension,getUri/0,false,195,1,2,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\iNPUTmiceConversations\src\main\java\eu\siacs\conversations\xmpp\jingle\stanzas\RtpDescription.java,eu.siacs.conversations.xmpp.jingle.stanzas.RtpDescription$RtpHeaderExtension,upgrade/1[eu.siacs.conversations.xml.Element],false,199,2,8,1,7,1,8,8,1,1,1,8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,9,0,false
D:\trabCKMetrics\repos\iNPUTmiceConversations\src\main\java\eu\siacs\conversations\xmpp\jingle\stanzas\RtpDescription.java,eu.siacs.conversations.xmpp.jingle.stanzas.RtpDescription$RtpHeaderExtension,"RtpHeaderExtension/2[java.lang.String,java.lang.String]",true,185,1,2,1,1,1,1,5,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\iNPUTmiceConversations\src\main\java\eu\siacs\conversations\xmpp\jingle\stanzas\RtpDescription.java,eu.siacs.conversations.xmpp.jingle.stanzas.RtpDescription$RtpHeaderExtension,getId/0,false,191,1,2,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
