file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\intuitkarate\examples\jobserver\src\test\java\jobtest\web\WebDockerRunner.java,jobtest.web.WebDockerRunner,class,4,4,0,4,1,1,0,6,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,3,2,1,0,1,0,0,0,0,9,1,0
D:\trabCKMetrics\repos\intuitkarate\karate-core\src\test\java\com\intuit\karate\core\ScenarioRuntimeTest.java,com.intuit.karate.core.ScenarioRuntimeTest,class,15,16,1,15,76,1,0,46,2489,0.87999994,0.0,0.0,75,0,0,1,0,74,74,0,0,0,3,1,0,0,0,3,1,0,18,399,2,0,0,0,3,495,26,25,0,15,1,0,0,0,233,0,0
D:\trabCKMetrics\repos\intuitkarate\karate-demo\src\test\java\demo\headers\CallonceBackgroundRunner.java,demo.headers.CallonceBackgroundRunner,class,2,2,0,2,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,0
D:\trabCKMetrics\repos\intuitkarate\karate-core\src\main\java\com\intuit\karate\template\KarateEngineContext.java,com.intuit.karate.template.KarateEngineContext,class,15,27,12,15,42,1,0,44,0,0.81623936,0.0,0.0,39,3,38,1,0,0,38,0,0,0,6,2,0,6,0,0,5,0,2,145,26,0,0,2,0,1,0,8,0,9,1,0,0,1,86,1,0
D:\trabCKMetrics\repos\intuitkarate\karate-robot\src\main\java\com\intuit\karate\robot\win\IUIAutomationScrollPattern.java,com.intuit.karate.robot.win.IUIAutomationScrollPattern,class,2,4,2,2,8,3,0,3,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,26,6,0,0,0,0,8,0,0,0,0,0,0,0,0,25,1,0
D:\trabCKMetrics\repos\intuitkarate\karate-core\src\test\java\com\intuit\karate\IdeMainTest.java,com.intuit.karate.IdeMainTest,class,5,6,1,5,10,1,0,11,36,0.90740734,0.0,0.0,9,0,0,0,0,9,9,0,0,0,6,6,0,0,0,6,6,0,16,107,0,1,0,0,0,42,18,26,0,22,1,3,0,0,90,0,0
D:\trabCKMetrics\repos\intuitkarate\karate-demo\src\main\java\com\intuit\karate\demo\domain\FileInfo.java,com.intuit.karate.demo.domain.FileInfo,class,0,1,1,0,6,1,0,0,7,0.6666667,0.0,0.0,6,0,6,0,0,0,6,0,0,0,4,0,0,4,0,0,0,0,0,26,4,0,0,0,0,0,0,4,0,4,0,0,0,0,13,1,0
D:\trabCKMetrics\repos\intuitkarate\karate-core\src\main\java\com\intuit\karate\report\SuiteReports.java,com.intuit.karate.report.SuiteReports$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
D:\trabCKMetrics\repos\intuitkarate\karate-core\src\main\java\com\intuit\karate\driver\ElementFinder.java,com.intuit.karate.driver.ElementFinder,class,8,11,3,8,28,1,0,28,112,0.7941176,0.0,0.0,17,3,14,3,0,0,14,0,0,0,4,0,0,4,0,0,3,0,7,102,22,0,4,0,0,34,7,22,13,20,1,0,1,0,66,1,0
D:\trabCKMetrics\repos\intuitkarate\karate-core\src\main\java\com\intuit\karate\graal\JsList.java,com.intuit.karate.graal.JsList,class,4,8,4,4,32,1,0,27,0,0.53225803,0.0,0.0,31,0,31,0,0,0,31,0,0,0,2,1,1,1,0,0,2,0,2,101,26,0,0,0,0,0,0,2,0,2,1,0,0,0,43,1,0
D:\trabCKMetrics\repos\intuitkarate\karate-core\src\test\java\com\intuit\karate\http\WebSocketProxyRunner.java,com.intuit.karate.http.WebSocketProxyRunner,class,4,4,0,4,1,1,0,4,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,10,0,0,0,0,0,2,1,4,0,4,0,0,0,0,12,0,1
D:\trabCKMetrics\repos\intuitkarate\karate-core\src\main\java\com\intuit\karate\http\WebSocketServerBase.java,com.intuit.karate.http.WebSocketServerBase$Anonymous1,anonymous,6,6,0,6,1,1,0,2,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,1,0,1,0,0,0,0,17,-1,0
D:\trabCKMetrics\repos\intuitkarate\karate-core\src\test\java\com\intuit\karate\driver\DriverElementTest.java,com.intuit.karate.driver.DriverElementTest,class,6,7,1,6,1,1,0,5,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,2,9,0,0,0,0,0,2,0,4,0,4,0,0,0,0,14,0,1
D:\trabCKMetrics\repos\intuitkarate\karate-core\src\main\java\com\intuit\karate\debug\DapServer.java,com.intuit.karate.debug.DapServer,class,9,13,4,9,8,1,0,13,7,0.6904761,0.0,0.0,6,0,6,0,0,0,6,0,0,0,7,1,0,7,0,0,7,0,2,59,2,0,0,2,0,6,1,10,2,10,1,1,0,0,43,1,3
D:\trabCKMetrics\repos\intuitkarate\karate-demo\src\main\java\com\intuit\karate\demo\controller\SignInController.java,com.intuit.karate.demo.controller.SignInController,class,9,10,1,9,7,1,0,6,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,22,5,0,0,0,0,10,0,1,0,1,1,0,0,0,18,1,0
D:\trabCKMetrics\repos\intuitkarate\karate-robot\src\main\java\com\intuit\karate\robot\win\Property.java,com.intuit.karate.robot.win.Property,enum,1,6,5,1,4,1,0,3,0,0.25,0.0,0.0,2,1,1,1,0,0,2,0,0,0,2,1,1,1,0,0,2,0,1,16,1,1,0,0,0,0,157,3,0,3,1,0,0,0,173,1,0
D:\trabCKMetrics\repos\intuitkarate\karate-demo\src\main\java\com\intuit\karate\demo\config\TomcatConfig.java,com.intuit.karate.demo.config.TomcatConfig,class,5,5,0,5,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,0,0,0,0,0,0,2,2,0,0,2,11,1,0
D:\trabCKMetrics\repos\intuitkarate\karate-robot\src\main\java\com\intuit\karate\robot\win\ComAllocatedVarStr.java,com.intuit.karate.robot.win.ComAllocatedVarStr,class,6,8,2,6,5,1,0,6,0,0.25,0.0,0.0,3,0,3,0,0,0,3,0,0,0,4,1,0,4,0,0,4,0,0,24,1,0,0,0,0,2,0,4,0,4,1,0,0,0,12,1,2
D:\trabCKMetrics\repos\intuitkarate\examples\gatling\src\test\java\jobtest\GatlingDockerJobRunner.java,jobtest.GatlingDockerJobRunner,class,3,3,0,3,1,1,0,4,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,5,2,3,2,3,0,0,0,0,16,1,0
D:\trabCKMetrics\repos\intuitkarate\karate-core\src\main\java\com\intuit\karate\graal\JsXml.java,com.intuit.karate.graal.JsXml,class,3,4,1,3,2,2,0,1,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,18,1,0
D:\trabCKMetrics\repos\intuitkarate\karate-core\src\main\java\com\intuit\karate\http\LenientTrustManager.java,com.intuit.karate.http.LenientTrustManager,class,1,2,1,1,7,2,0,0,21,1.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,1,1,1,0,0,0,1,0,0,18,1,0,0,0,0,0,1,1,0,1,0,0,0,0,28,1,0
D:\trabCKMetrics\repos\intuitkarate\karate-core\src\main\java\cucumber\api\DataTable.java,cucumber.api.DataTable,class,0,1,1,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
D:\trabCKMetrics\repos\intuitkarate\karate-mock-servlet\src\test\java\mock\jersey\MockJerseyServlet.java,mock.jersey.MockJerseyServlet,class,14,16,2,14,3,1,0,2,0,0.33333334,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,1,0,3,0,0,3,0,0,20,1,0,0,1,0,0,0,5,0,5,1,0,0,0,22,1,0
D:\trabCKMetrics\repos\intuitkarate\karate-robot\src\test\java\robot\core\ChromeRunner.java,robot.core.ChromeRunner,class,3,3,0,3,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0
D:\trabCKMetrics\repos\intuitkarate\karate-core\src\main\java\com\intuit\karate\StringUtils.java,com.intuit.karate.StringUtils,class,3,61,58,3,57,1,0,39,164,0.8,0.0,0.0,20,19,19,1,0,0,19,0,0,0,2,2,0,2,0,0,2,0,8,200,30,8,18,1,0,9,19,34,7,25,3,0,1,0,97,1,0
D:\trabCKMetrics\repos\intuitkarate\karate-core\src\test\java\com\intuit\karate\resource\ResourceUtilsTest.java,com.intuit.karate.resource.ResourceUtilsTest,class,9,10,1,9,18,1,0,32,30,0.6875,0.0,0.0,16,0,0,0,0,16,16,0,0,0,2,2,0,0,0,2,1,0,29,132,0,1,0,0,0,62,7,28,0,27,2,0,0,0,55,0,0
D:\trabCKMetrics\repos\intuitkarate\karate-demo\src\test\java\demo\form\FormRunner.java,demo.form.FormRunner,class,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
D:\trabCKMetrics\repos\intuitkarate\karate-core\src\main\java\com\intuit\karate\debug\DapServer.java,com.intuit.karate.debug.DapServer$Anonymous1,anonymous,5,5,0,5,1,1,0,2,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10,-1,0
D:\trabCKMetrics\repos\intuitkarate\examples\gatling\src\test\java\jobtest\GatlingRunner.java,jobtest.GatlingRunner$Anonymous1,anonymous,1,1,0,1,3,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,15,0,1,0,1,0,0,2,2,0,2,1,0,0,1,12,-1,0
D:\trabCKMetrics\repos\intuitkarate\examples\consumer-driven-contracts\payment-consumer\src\test\java\payment\consumer\ConsumerIntegrationAgainstMockTest.java,payment.consumer.ConsumerIntegrationAgainstMockTest,class,8,8,0,8,4,1,0,13,0,0.33333334,0.0,0.0,3,2,0,0,0,3,3,0,0,0,2,2,0,0,0,2,0,0,1,22,0,0,0,0,0,4,5,6,1,5,0,0,0,0,28,0,0
