file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\BridgeWebViewClient.java,com.getcapacitor.BridgeWebViewClient,class,10,11,1,10,17,2,0,16,0,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0,0,53,3,4,5,0,0,0,1,6,0,6,2,0,0,0,32,1,0
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\plugin\WebView.java,com.getcapacitor.plugin.WebView,class,7,8,1,7,3,2,0,11,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,2,2,0,0,0,2,0,0,23,0,0,0,0,0,4,0,8,0,8,0,0,0,0,36,1,0
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\InvalidPluginException.java,com.getcapacitor.InvalidPluginException,class,0,1,1,0,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\AndroidProtocolHandler.java,com.getcapacitor.AndroidProtocolHandler,class,5,8,3,5,13,1,0,29,0,0.14285715,0.0,0.0,7,2,5,2,0,0,5,0,0,0,1,0,0,1,0,0,0,0,5,64,7,0,4,2,0,9,4,19,9,15,2,0,0,0,56,1,3
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\PluginConfig.java,com.getcapacitor.PluginConfig,class,3,9,6,3,11,1,0,8,0,0.2,0.0,0.0,10,0,9,0,0,1,10,0,0,0,1,0,0,1,0,0,1,0,5,33,9,0,1,0,0,0,1,1,0,1,0,0,0,0,63,1,0
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\Logger.java,com.getcapacitor.Logger,class,2,19,17,2,25,1,0,15,72,0.7708333,0.0,0.0,16,15,13,2,1,0,14,0,0,0,3,3,2,1,0,0,1,0,12,74,9,0,3,0,0,3,1,3,1,3,1,0,0,0,31,1,0
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\PluginLoadException.java,com.getcapacitor.PluginLoadException,class,0,2,2,0,3,3,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\util\HostMask.java,com.getcapacitor.util.HostMask$Simple,innerclass,3,3,0,3,9,1,0,5,1,0.33333334,0.0,0.0,3,1,1,1,0,1,2,0,0,0,1,0,0,1,0,0,1,0,4,33,5,1,3,0,0,1,2,9,0,9,2,0,0,0,22,0,0
D:\trabCKMetrics\repos\ionic-teamcapacitor\android-template\app\src\test\java\com\getcapacitor\myapp\ExampleUnitTest.java,com.getcapacitor.myapp.ExampleUnitTest,class,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,1,0,0,0,0,0,23,1,0
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\PluginCall.java,com.getcapacitor.PluginCall,class,10,16,6,10,68,3,0,32,719,0.90697676,0.0,0.0,43,0,43,0,0,0,43,0,0,0,8,1,1,7,0,0,6,0,7,249,43,1,8,4,4,11,1,25,0,22,3,0,1,0,130,1,3
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\util\HostMask.java,com.getcapacitor.util.HostMask$Parser,innerclass,4,4,0,4,4,1,0,2,0,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,2,9,2,0,2,0,0,0,0,1,0,1,0,0,0,0,14,0,0
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\test\java\com\getcapacitor\ConfigBuildingTest.java,com.getcapacitor.ConfigBuildingTest,class,8,8,0,8,8,1,0,37,0,0.6122449,0.0,0.0,7,0,7,0,0,0,7,0,0,0,7,0,0,0,0,7,1,0,0,62,0,0,0,1,0,34,3,14,0,13,1,0,0,0,47,1,0
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\Bridge.java,com.getcapacitor.Bridge$Builder,innerclass,14,14,0,14,15,1,0,21,17,0.73333335,0.0,0.0,10,0,10,0,0,0,10,0,0,0,6,0,0,6,0,0,1,0,0,70,8,2,3,0,0,0,0,18,0,14,1,0,0,0,44,9,0
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\androidTest\java\com\getcapacitor\android\ExampleInstrumentedTest.java,com.getcapacitor.android.ExampleInstrumentedTest,class,4,4,0,4,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,20,1,0
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\JSExportException.java,com.getcapacitor.JSExportException,class,0,0,0,0,3,3,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\Plugin.java,com.getcapacitor.Plugin,class,29,34,5,29,132,1,1,114,1555,0.91534394,0.0,0.0,63,0,32,9,21,1,54,0,0,0,9,1,0,6,3,0,5,0,19,459,41,18,27,4,1,24,12,70,6,61,5,0,0,2,401,1,5
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\UriMatcher.java,com.getcapacitor.UriMatcher,class,4,6,2,4,34,1,0,17,6,0.75,0.0,0.0,4,0,3,1,0,0,3,0,0,0,9,5,0,8,0,1,5,0,2,121,4,4,15,0,0,5,19,51,0,28,4,0,0,0,101,1,0
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\util\JSONUtils.java,com.getcapacitor.util.JSONUtils,class,3,6,3,3,17,1,0,10,21,0.0,0.0,0.0,7,7,5,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,81,15,2,2,5,0,2,5,22,2,20,2,0,0,0,61,1,0
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\test\java\com\getcapacitor\util\HostMaskTest.java,com.getcapacitor.util.HostMaskTest,class,7,7,0,7,8,1,0,11,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,15,55,0,0,0,0,0,48,0,6,0,6,0,0,0,0,30,1,0
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\JSObject.java,com.getcapacitor.JSObject,class,3,11,8,3,34,1,0,16,171,0.0,0.0,0.0,19,1,19,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,130,21,2,0,11,1,0,0,6,0,6,3,0,0,0,48,1,0
