file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\BridgeWebViewClient.java,com.getcapacitor.BridgeWebViewClient,"shouldOverrideUrlLoading/2[com.getcapacitor.WebView,com.getcapacitor.WebResourceRequest]",false,26,4,1,0,1,1,2,4,1,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,false
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\BridgeWebViewClient.java,com.getcapacitor.BridgeWebViewClient,"onReceivedError/3[com.getcapacitor.WebView,com.getcapacitor.WebResourceRequest,com.getcapacitor.WebResourceError]",false,49,5,2,0,2,3,3,9,0,1,3,3,0,0,1,1,0,0,0,0,1,0,2,0,0,0,12,1,0,false
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\BridgeWebViewClient.java,com.getcapacitor.BridgeWebViewClient,"onPageFinished/2[com.getcapacitor.WebView,java.lang.String]",false,37,3,2,0,2,4,4,9,0,1,2,4,0,0,1,2,0,0,0,1,1,0,2,0,0,0,12,1,0,false
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\BridgeWebViewClient.java,com.getcapacitor.BridgeWebViewClient,"onPageStarted/3[com.getcapacitor.WebView,java.lang.String,com.getcapacitor.Bitmap]",false,61,4,3,0,3,3,4,10,0,1,3,4,0,0,1,1,0,0,0,0,1,0,2,0,0,0,12,1,0,false
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\BridgeWebViewClient.java,com.getcapacitor.BridgeWebViewClient,BridgeWebViewClient/1[com.getcapacitor.Bridge],true,16,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\BridgeWebViewClient.java,com.getcapacitor.BridgeWebViewClient,"onReceivedHttpError/3[com.getcapacitor.WebView,com.getcapacitor.WebResourceRequest,com.getcapacitor.WebResourceResponse]",false,74,5,2,0,2,3,3,9,0,1,3,3,0,0,1,1,0,0,0,0,1,0,2,0,0,0,14,1,0,false
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\BridgeWebViewClient.java,com.getcapacitor.BridgeWebViewClient,"shouldInterceptRequest/2[com.getcapacitor.WebView,com.getcapacitor.WebResourceRequest]",false,21,5,2,0,2,1,2,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\BridgeWebViewClient.java,com.getcapacitor.BridgeWebViewClient,"shouldOverrideUrlLoading/2[com.getcapacitor.WebView,java.lang.String]",false,32,2,1,0,1,1,2,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\plugin\WebView.java,com.getcapacitor.plugin.WebView,getServerBasePath/1[com.getcapacitor.PluginCall],false,25,4,4,0,4,1,3,6,0,2,1,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,12,1,0,false
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\plugin\WebView.java,com.getcapacitor.plugin.WebView,persistServerBasePath/1[com.getcapacitor.PluginCall],false,33,5,3,0,3,1,7,8,0,3,1,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,14,1,0,false
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\plugin\WebView.java,com.getcapacitor.plugin.WebView,setServerBasePath/1[com.getcapacitor.PluginCall],false,18,3,3,0,3,1,3,5,0,1,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,8,1,0,false
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\InvalidPluginException.java,com.getcapacitor.InvalidPluginException,InvalidPluginException/1[java.lang.String],true,5,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\AndroidProtocolHandler.java,com.getcapacitor.AndroidProtocolHandler,openResource/1[com.getcapacitor.Uri],false,29,3,4,0,4,5,12,24,2,5,1,12,2,1,0,3,1,0,3,3,7,4,2,0,0,0,34,1,2,false
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\AndroidProtocolHandler.java,com.getcapacitor.AndroidProtocolHandler,openAsset/1[java.lang.String],false,25,0,2,2,0,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\AndroidProtocolHandler.java,com.getcapacitor.AndroidProtocolHandler,AndroidProtocolHandler/1[com.getcapacitor.Context],true,21,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\AndroidProtocolHandler.java,com.getcapacitor.AndroidProtocolHandler,openContentUrl/1[com.getcapacitor.Uri],false,72,2,2,1,1,3,9,16,1,4,1,9,0,0,0,1,1,0,4,1,6,4,1,0,0,0,21,1,1,false
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\AndroidProtocolHandler.java,com.getcapacitor.AndroidProtocolHandler,"getFieldId/3[com.getcapacitor.Context,java.lang.String,java.lang.String]",false,60,1,1,1,0,1,5,5,1,2,3,5,0,0,0,0,0,0,1,0,2,1,0,0,0,0,13,10,0,false
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\AndroidProtocolHandler.java,com.getcapacitor.AndroidProtocolHandler,openFile/1[java.lang.String],false,66,0,2,2,0,1,1,5,1,2,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,11,1,0,false
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\AndroidProtocolHandler.java,com.getcapacitor.AndroidProtocolHandler,"getValueType/2[com.getcapacitor.Context,int]",false,89,2,1,1,0,1,2,5,1,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,10,0,false
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\PluginConfig.java,com.getcapacitor.PluginConfig,getConfigJSON/0,false,113,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,true
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\PluginConfig.java,com.getcapacitor.PluginConfig,"getString/2[java.lang.String,java.lang.String]",false,42,1,2,1,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,true
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\PluginConfig.java,com.getcapacitor.PluginConfig,"getBoolean/2[java.lang.String,boolean]",false,53,1,2,1,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,true
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\PluginConfig.java,com.getcapacitor.PluginConfig,PluginConfig/1[com.getcapacitor.JSONObject],true,21,1,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,0,0,true
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\PluginConfig.java,com.getcapacitor.PluginConfig,getObject/1[java.lang.String],false,95,2,2,1,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,true
D:\trabCKMetrics\repos\ionic-teamcapacitor\android\capacitor\src\main\java\com\getcapacitor\PluginConfig.java,com.getcapacitor.PluginConfig,"getArray/2[java.lang.String,java.lang.String[]]",false,85,1,2,1,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,true
