file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\jeecgbootjeecg-boot\jeecg-boot\jeecg-boot-starter\jeecg-boot-starter-lock\src\test\java\org\jeecg\boot\starter\lock\test\LockTest.java,org.jeecg.boot.starter.lock.test.LockTest,class,7,7,0,7,6,1,0,9,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,6,42,0,0,0,3,0,3,12,3,0,7,2,0,0,6,13,1,0
D:\trabCKMetrics\repos\jeecgbootjeecg-boot\jeecg-boot\jeecg-cloud-module\jeecg-cloud-xxljob\src\main\java\com\xxl\job\admin\dao\XxlJobLogReportDao.java,com.xxl.job.admin.dao.XxlJobLogReportDao,interface,3,6,3,3,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,17,1,0
D:\trabCKMetrics\repos\jeecgbootjeecg-boot\jeecg-boot\jeecg-boot-base\jeecg-boot-base-api\jeecg-system-cloud-api\src\main\java\org\jeecg\common\online\api\factory\OnlineBaseExtAPIFallbackFactory.java,org.jeecg.common.online.api.factory.OnlineBaseExtAPIFallbackFactory,class,4,6,2,4,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,1,0,0,0,0,12,1,0
D:\trabCKMetrics\repos\jeecgbootjeecg-boot\jeecg-boot\jeecg-boot-module-system\src\main\java\org\jeecg\modules\quartz\mapper\QuartzJobMapper.java,org.jeecg.modules.quartz.mapper.QuartzJobMapper,interface,3,4,1,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,0
D:\trabCKMetrics\repos\jeecgbootjeecg-boot\jeecg-boot\jeecg-boot-base\jeecg-boot-base-core\src\main\java\org\jeecg\config\mybatis\MybatisPlusSaasConfig.java,org.jeecg.config.mybatis.MybatisPlusSaasConfig$Anonymous1,anonymous,4,4,0,4,5,1,0,3,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,17,4,1,0,0,0,1,0,1,0,1,2,0,0,0,26,-1,0
D:\trabCKMetrics\repos\jeecgbootjeecg-boot\jeecg-boot\jeecg-cloud-module\jeecg-cloud-xxljob\src\main\java\com\xxl\job\admin\controller\interceptor\PermissionInterceptor.java,com.xxl.job.admin.controller.interceptor.PermissionInterceptor,class,10,11,1,10,7,2,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,28,3,0,3,0,1,2,1,7,1,6,2,0,0,0,30,1,0
D:\trabCKMetrics\repos\jeecgbootjeecg-boot\jeecg-boot\jeecg-cloud-module\jeecg-cloud-xxljob\src\main\java\com\xxl\job\admin\core\util\JacksonUtil.java,com.xxl.job.admin.core.util.JacksonUtil,class,5,9,4,5,13,1,0,9,0,0.5,0.0,0.0,4,4,4,0,0,0,4,0,0,0,2,2,0,2,0,0,1,0,4,53,7,0,0,3,0,0,0,3,0,3,1,0,0,0,44,1,9
D:\trabCKMetrics\repos\jeecgbootjeecg-boot\jeecg-boot\jeecg-boot-module-system\src\main\java\org\jeecg\modules\system\entity\SysFillRule.java,org.jeecg.modules.system.entity.SysFillRule,class,10,11,1,10,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,11,0,0,0,0,0,28,8,0,0,9,0,0,0,0,27,1,0
D:\trabCKMetrics\repos\jeecgbootjeecg-boot\jeecg-boot\jeecg-boot-module-demo\src\main\java\org\jeecg\modules\demo\test\service\impl\JeecgOrderCustomerServiceImpl.java,org.jeecg.modules.demo.test.service.impl.JeecgOrderCustomerServiceImpl,class,6,6,0,6,1,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,15,1,0
D:\trabCKMetrics\repos\jeecgbootjeecg-boot\jeecg-boot\jeecg-boot-module-demo\src\main\java\org\jeecg\modules\demo\test\service\IJoaDemoService.java,org.jeecg.modules.demo.test.service.IJoaDemoService,interface,1,3,2,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
D:\trabCKMetrics\repos\jeecgbootjeecg-boot\jeecg-boot\jeecg-cloud-module\jeecg-cloud-gateway\src\main\java\org\jeecg\handler\SentinelBlockRequestHandler.java,org.jeecg.handler.SentinelBlockRequestHandler,class,9,9,0,9,2,1,0,7,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,10,1,0,0,0,0,1,0,1,0,2,0,0,0,0,18,1,0
D:\trabCKMetrics\repos\jeecgbootjeecg-boot\jeecg-boot\jeecg-boot-module-system\src\main\java\org\jeecg\modules\system\vo\thirdapp\JwDepartmentTreeVo.java,org.jeecg.modules.system.vo.thirdapp.JwDepartmentTreeVo,class,2,4,2,2,14,2,0,10,8,0.375,0.0,0.0,8,3,6,2,0,0,6,0,0,0,1,0,0,1,0,0,0,0,4,42,6,2,1,0,0,4,2,4,2,4,2,0,0,0,23,1,0
D:\trabCKMetrics\repos\jeecgbootjeecg-boot\jeecg-boot\jeecg-boot-base\jeecg-boot-base-core\src\main\java\org\jeecg\common\handler\IFillRuleHandler.java,org.jeecg.common.handler.IFillRuleHandler,interface,1,5,4,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
D:\trabCKMetrics\repos\jeecgbootjeecg-boot\jeecg-boot\jeecg-boot-module-system\src\main\java\org\jeecg\modules\system\controller\SysFillRuleController.java,org.jeecg.modules.system.controller.SysFillRuleController,class,28,28,0,28,13,2,0,21,25,0.45454547,0.0,0.0,11,0,11,0,0,0,11,0,0,0,1,0,0,1,0,0,0,0,14,62,11,1,1,0,0,52,1,16,0,16,2,0,0,0,64,1,0
D:\trabCKMetrics\repos\jeecgbootjeecg-boot\jeecg-boot\jeecg-boot-module-demo\src\main\java\org\jeecg\modules\demo\test\service\IJeecgOrderTicketService.java,org.jeecg.modules.demo.test.service.IJeecgOrderTicketService,interface,2,5,3,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
D:\trabCKMetrics\repos\jeecgbootjeecg-boot\jeecg-boot\jeecg-boot-starter\jeecg-boot-starter-lock\src\main\java\org\jeecg\boot\starter\lock\core\strategy\impl\ClusterRedissonConfigStrategyImpl.java,org.jeecg.boot.starter.lock.core.strategy.impl.ClusterRedissonConfigStrategyImpl,class,4,5,1,4,4,1,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,1,1,0,1,0,3,1,5,2,5,3,0,0,0,17,1,2
D:\trabCKMetrics\repos\jeecgbootjeecg-boot\jeecg-boot\jeecg-boot-module-system\src\main\java\org\jeecg\modules\system\vo\SysUserDepVo.java,org.jeecg.modules.system.vo.SysUserDepVo,class,1,3,2,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,1,0
D:\trabCKMetrics\repos\jeecgbootjeecg-boot\jeecg-boot\jeecg-boot-module-system\src\main\java\org\jeecg\modules\system\vo\SysUserOnlineVO.java,org.jeecg.modules.system.vo.SysUserOnlineVO,class,4,5,1,4,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,10,0,0,0,0,0,4,0,0,0,8,0,0,0,0,21,1,0
D:\trabCKMetrics\repos\jeecgbootjeecg-boot\jeecg-boot\jeecg-boot-starter\jeecg-boot-starter-lock\src\main\java\org\jeecg\boot\starter\lock\prop\RedissonProperties.java,org.jeecg.boot.starter.lock.prop.RedissonProperties,class,3,11,8,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,7,0,0,0,0,0,1,0,1,0,5,0,0,0,0,14,1,0
D:\trabCKMetrics\repos\jeecgbootjeecg-boot\jeecg-boot\jeecg-boot-base\jeecg-boot-base-core\src\main\java\org\jeecg\config\sign\util\BodyReaderHttpServletRequestWrapper.java,org.jeecg.config.sign.util.BodyReaderHttpServletRequestWrapper,class,7,9,2,7,9,2,0,14,8,0.6,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,2,56,4,2,1,2,2,2,3,10,0,10,2,1,0,0,34,1,0
D:\trabCKMetrics\repos\jeecgbootjeecg-boot\jeecg-boot\jeecg-boot-module-system\src\main\java\org\jeecg\modules\oss\entity\OSSFile.java,org.jeecg.modules.oss.entity.OSSFile,class,6,10,4,6,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,0,0,1,0,0,5,0,0,0,0,0,3,1,1,0,3,0,0,0,0,21,1,0
