file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\jeecgbootjeecg-boot\jeecg-boot\jeecg-boot-starter\jeecg-boot-starter-lock\src\test\java\org\jeecg\boot\starter\lock\test\LockTest.java,org.jeecg.boot.starter.lock.test.LockTest,test3/0,false,56,2,1,0,1,2,7,13,0,2,0,7,0,0,0,0,1,0,1,4,1,0,2,0,0,2,7,1,0,true
D:\trabCKMetrics\repos\jeecgbootjeecg-boot\jeecg-boot\jeecg-boot-starter\jeecg-boot-starter-lock\src\test\java\org\jeecg\boot\starter\lock\test\LockTest.java,org.jeecg.boot.starter.lock.test.LockTest,test1/0,false,24,2,1,0,1,2,7,13,0,2,0,7,0,0,0,0,1,0,1,4,1,0,2,0,0,2,7,1,0,true
D:\trabCKMetrics\repos\jeecgbootjeecg-boot\jeecg-boot\jeecg-boot-starter\jeecg-boot-starter-lock\src\test\java\org\jeecg\boot\starter\lock\test\LockTest.java,org.jeecg.boot.starter.lock.test.LockTest,test2/0,false,40,2,1,0,1,2,7,13,0,2,0,7,0,0,0,0,1,0,1,4,1,0,2,0,0,2,7,1,0,true
D:\trabCKMetrics\repos\jeecgbootjeecg-boot\jeecg-boot\jeecg-cloud-module\jeecg-cloud-xxljob\src\main\java\com\xxl\job\admin\dao\XxlJobLogReportDao.java,com.xxl.job.admin.dao.XxlJobLogReportDao,queryLogReportTotal/0,false,24,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\trabCKMetrics\repos\jeecgbootjeecg-boot\jeecg-boot\jeecg-cloud-module\jeecg-cloud-xxljob\src\main\java\com\xxl\job\admin\dao\XxlJobLogReportDao.java,com.xxl.job.admin.dao.XxlJobLogReportDao,"queryLogReport/2[java.util.Date,java.util.Date]",false,21,2,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,1,0,false
D:\trabCKMetrics\repos\jeecgbootjeecg-boot\jeecg-boot\jeecg-cloud-module\jeecg-cloud-xxljob\src\main\java\com\xxl\job\admin\dao\XxlJobLogReportDao.java,com.xxl.job.admin.dao.XxlJobLogReportDao,update/1[com.xxl.job.admin.core.model.XxlJobLogReport],false,19,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\trabCKMetrics\repos\jeecgbootjeecg-boot\jeecg-boot\jeecg-cloud-module\jeecg-cloud-xxljob\src\main\java\com\xxl\job\admin\dao\XxlJobLogReportDao.java,com.xxl.job.admin.dao.XxlJobLogReportDao,save/1[com.xxl.job.admin.core.model.XxlJobLogReport],false,17,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\trabCKMetrics\repos\jeecgbootjeecg-boot\jeecg-boot\jeecg-boot-base\jeecg-boot-base-api\jeecg-system-cloud-api\src\main\java\org\jeecg\common\online\api\factory\OnlineBaseExtAPIFallbackFactory.java,org.jeecg.common.online.api.factory.OnlineBaseExtAPIFallbackFactory,create/1[java.lang.Throwable],false,12,2,1,0,1,1,1,5,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,false
D:\trabCKMetrics\repos\jeecgbootjeecg-boot\jeecg-boot\jeecg-boot-module-system\src\main\java\org\jeecg\modules\quartz\mapper\QuartzJobMapper.java,org.jeecg.modules.quartz.mapper.QuartzJobMapper,findByJobClassName/1[java.lang.String],false,18,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,false
D:\trabCKMetrics\repos\jeecgbootjeecg-boot\jeecg-boot\jeecg-boot-base\jeecg-boot-base-core\src\main\java\org\jeecg\config\mybatis\MybatisPlusSaasConfig.java,org.jeecg.config.mybatis.MybatisPlusSaasConfig$Anonymous1,getTenantIdColumn/0,false,53,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,false
