file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\junit-teamjunit5\platform-tests\src\test\java\org\junit\platform\launcher\listeners\discovery\LoggingLauncherDiscoveryListenerTests.java,org.junit.platform.launcher.listeners.discovery.LoggingLauncherDiscoveryListenerTests,logsDebugMessageOnUnresolvedUniqueIdSelectorWithoutEnginePrefix/1[org.junit.platform.commons.logging.LogRecordListener],false,52,11,10,0,10,1,13,7,0,3,1,13,0,0,0,0,0,0,4,0,3,0,0,0,0,0,33,0,0,false
D:\trabCKMetrics\repos\junit-teamjunit5\platform-tests\src\test\java\org\junit\platform\launcher\listeners\discovery\LoggingLauncherDiscoveryListenerTests.java,org.junit.platform.launcher.listeners.discovery.LoggingLauncherDiscoveryListenerTests,logsErrorOnSelectorResolutionFailure/1[org.junit.platform.commons.logging.LogRecordListener],false,69,10,9,0,9,1,12,8,0,4,1,12,0,0,0,0,0,0,3,0,4,0,0,0,0,0,31,0,0,false
D:\trabCKMetrics\repos\junit-teamjunit5\platform-tests\src\test\java\org\junit\platform\launcher\listeners\discovery\LoggingLauncherDiscoveryListenerTests.java,org.junit.platform.launcher.listeners.discovery.LoggingLauncherDiscoveryListenerTests,logsTraceMessageOnStartAndEnd/1[org.junit.platform.commons.logging.LogRecordListener],false,109,10,11,0,11,1,13,7,0,3,1,13,0,0,0,0,0,0,6,0,3,0,0,0,0,0,30,0,0,false
D:\trabCKMetrics\repos\junit-teamjunit5\platform-tests\src\test\java\org\junit\platform\launcher\listeners\discovery\LoggingLauncherDiscoveryListenerTests.java,org.junit.platform.launcher.listeners.discovery.LoggingLauncherDiscoveryListenerTests,logsWarningOnUnresolvedUniqueIdSelectorWithEnginePrefix/1[org.junit.platform.commons.logging.LogRecordListener],false,35,11,11,0,11,1,14,7,0,3,1,14,0,0,0,0,0,0,3,0,3,0,0,0,0,0,31,0,0,false
D:\trabCKMetrics\repos\junit-teamjunit5\platform-tests\src\test\java\org\junit\platform\launcher\listeners\discovery\LoggingLauncherDiscoveryListenerTests.java,org.junit.platform.launcher.listeners.discovery.LoggingLauncherDiscoveryListenerTests,logsErrorOnEngineDiscoveryFailure/1[org.junit.platform.commons.logging.LogRecordListener],false,87,11,11,0,11,1,17,15,0,5,1,17,0,0,0,0,0,0,3,0,5,0,0,1,0,0,36,0,0,false
D:\trabCKMetrics\repos\junit-teamjunit5\junit-platform-reporting\src\main\java\org\junit\platform\reporting\legacy\xml\XmlReportWriter.java,org.junit.platform.reporting.legacy.xml.XmlReportWriter$AggregatedTestResult$Type,from/1[org.junit.platform.engine.TestExecutionResult],false,408,3,2,0,2,3,2,6,2,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,19,10,0,false
D:\trabCKMetrics\repos\junit-teamjunit5\junit-platform-commons\src\main\java\org\junit\platform\commons\function\Try.java,org.junit.platform.commons.function.Try$Transformer,apply/1[S],false,203,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,true
D:\trabCKMetrics\repos\junit-teamjunit5\junit-jupiter-engine\src\test\java\org\junit\jupiter\engine\extension\ProgrammaticExtensionRegistrationTests.java,org.junit.jupiter.engine.extension.ProgrammaticExtensionRegistrationTests$ClassLevelExtensionRegistrationTestCase,test/1[java.lang.String],false,392,2,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,false
D:\trabCKMetrics\repos\junit-teamjunit5\junit-jupiter-engine\src\test\java\org\junit\jupiter\engine\extension\ProgrammaticExtensionRegistrationTests.java,org.junit.jupiter.engine.extension.ProgrammaticExtensionRegistrationTests$ClassLevelExtensionRegistrationTestCase,beforeAll/1[java.lang.String],false,382,2,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,8,0,false
D:\trabCKMetrics\repos\junit-teamjunit5\junit-jupiter-engine\src\test\java\org\junit\jupiter\engine\extension\ProgrammaticExtensionRegistrationTests.java,org.junit.jupiter.engine.extension.ProgrammaticExtensionRegistrationTests$ClassLevelExtensionRegistrationTestCase,afterEach/1[java.lang.String],false,397,2,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,false
D:\trabCKMetrics\repos\junit-teamjunit5\junit-jupiter-engine\src\test\java\org\junit\jupiter\engine\extension\ProgrammaticExtensionRegistrationTests.java,org.junit.jupiter.engine.extension.ProgrammaticExtensionRegistrationTests$ClassLevelExtensionRegistrationTestCase,beforeEach/1[java.lang.String],false,387,2,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,false
D:\trabCKMetrics\repos\junit-teamjunit5\junit-jupiter-engine\src\test\java\org\junit\jupiter\engine\extension\ProgrammaticExtensionRegistrationTests.java,org.junit.jupiter.engine.extension.ProgrammaticExtensionRegistrationTests$ClassLevelExtensionRegistrationTestCase,afterAll/1[java.lang.String],false,402,2,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,8,0,false
D:\trabCKMetrics\repos\junit-teamjunit5\platform-tests\src\test\java\org\junit\platform\commons\util\ExceptionUtilsTests.java,org.junit.platform.commons.util.ExceptionUtilsTests,readStackTraceForNullThrowable/0,false,47,4,2,0,2,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,false
