file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\k9mailk-9\app\ui\legacy\src\main\java\com\fsck\k9\ui\messageview\MessageContainerView.java,com.fsck.k9.ui.messageview.MessageContainerView$Anonymous3,onMenuItemClick/1[com.fsck.k9.ui.messageview.MenuItem],false,251,5,13,0,13,4,8,24,1,4,1,8,0,0,0,0,0,0,0,0,4,1,1,0,0,0,21,1,0,false
D:\trabCKMetrics\repos\k9mailk-9\app\ui\legacy\src\main\java\com\fsck\k9\ui\messageview\MessageContainerView.java,com.fsck.k9.ui.messageview.MessageContainerView$Anonymous2,onMenuItemClick/1[com.fsck.k9.ui.messageview.MenuItem],false,196,4,13,0,13,6,9,32,1,2,1,9,0,0,0,0,0,0,0,0,2,0,2,0,0,0,22,1,0,false
D:\trabCKMetrics\repos\k9mailk-9\app\ui\legacy\src\main\java\com\fsck\k9\ui\messageview\MessageContainerView.java,com.fsck.k9.ui.messageview.MessageContainerView$Anonymous1,onMenuItemClick/1[com.fsck.k9.ui.messageview.MenuItem],false,133,5,13,0,13,5,11,32,1,5,1,11,0,0,0,0,0,0,1,0,5,0,1,0,0,0,22,1,0,false
D:\trabCKMetrics\repos\k9mailk-9\mail\protocols\imap\src\test\java\com\fsck\k9\mail\store\imap\ImapListTest.java,com.fsck.k9.mail.store.imap.ImapListTest,getDate_returnsNullForNIL/0,false,103,2,2,0,2,1,3,6,0,1,0,3,0,0,0,0,0,0,2,1,1,0,0,0,0,0,14,1,0,false
D:\trabCKMetrics\repos\k9mailk-9\mail\protocols\imap\src\test\java\com\fsck\k9\mail\store\imap\ImapListTest.java,com.fsck.k9.mail.store.imap.ImapListTest,getKeyedDate_returnsNullForNIL/0,false,135,2,2,0,2,1,3,6,0,1,0,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,15,1,0,false
D:\trabCKMetrics\repos\k9mailk-9\mail\protocols\imap\src\test\java\com\fsck\k9\mail\store\imap\ImapListTest.java,com.fsck.k9.mail.store.imap.ImapListTest,containsKey_returnsFalseForStringThatCantBeKey/0,false,35,3,2,0,2,1,3,4,0,1,0,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,18,1,0,false
D:\trabCKMetrics\repos\k9mailk-9\mail\protocols\imap\src\test\java\com\fsck\k9\mail\store\imap\ImapListTest.java,com.fsck.k9.mail.store.imap.ImapListTest,getKeyIndex_throwsExceptionForNonExistantKey/0,false,73,3,2,0,2,1,2,4,0,1,0,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,14,1,0,false
D:\trabCKMetrics\repos\k9mailk-9\mail\protocols\imap\src\test\java\com\fsck\k9\mail\store\imap\ImapListTest.java,com.fsck.k9.mail.store.imap.ImapListTest,buildSampleList/0,false,18,1,8,7,1,1,1,7,1,1,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,5,2,0,false
D:\trabCKMetrics\repos\k9mailk-9\mail\protocols\imap\src\test\java\com\fsck\k9\mail\store\imap\ImapListTest.java,com.fsck.k9.mail.store.imap.ImapListTest,getKeyedValue_providesCorrespondingValues/0,false,48,3,2,0,2,1,4,7,0,1,0,4,1,1,0,0,0,0,6,0,1,0,0,0,0,0,14,1,0,false
D:\trabCKMetrics\repos\k9mailk-9\mail\protocols\imap\src\test\java\com\fsck\k9\mail\store\imap\ImapListTest.java,com.fsck.k9.mail.store.imap.ImapListTest,getKeyIndex_providesIndexForKeys/0,false,58,3,2,0,2,1,3,5,0,1,0,3,1,1,0,0,0,0,2,2,1,0,0,0,0,0,13,1,0,false
D:\trabCKMetrics\repos\k9mailk-9\mail\protocols\imap\src\test\java\com\fsck\k9\mail\store\imap\ImapListTest.java,com.fsck.k9.mail.store.imap.ImapListTest,getKeyIndex_throwsExceptionForValue/0,false,66,3,2,0,2,1,2,4,0,1,0,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,13,1,0,false
D:\trabCKMetrics\repos\k9mailk-9\mail\protocols\imap\src\test\java\com\fsck\k9\mail\store\imap\ImapListTest.java,com.fsck.k9.mail.store.imap.ImapListTest,getKeyedDate_throwsExceptionForInvalidDate/0,false,126,3,2,0,2,1,2,6,0,1,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,12,1,0,false
D:\trabCKMetrics\repos\k9mailk-9\mail\protocols\imap\src\test\java\com\fsck\k9\mail\store\imap\ImapListTest.java,com.fsck.k9.mail.store.imap.ImapListTest,containsKey_returnsTrueForKeys/0,false,26,3,2,0,2,1,4,7,0,1,0,4,1,1,0,0,0,0,4,0,1,0,0,0,0,0,16,1,0,false
D:\trabCKMetrics\repos\k9mailk-9\mail\protocols\imap\src\test\java\com\fsck\k9\mail\store\imap\ImapListTest.java,com.fsck.k9.mail.store.imap.ImapListTest,getKeyedDate_returnsCorrectDateForValidString/0,false,112,2,2,0,2,1,6,10,0,2,0,6,0,0,0,0,0,0,3,2,2,0,0,0,0,0,18,1,0,false
D:\trabCKMetrics\repos\k9mailk-9\mail\protocols\imap\src\test\java\com\fsck\k9\mail\store\imap\ImapListTest.java,com.fsck.k9.mail.store.imap.ImapListTest,containsKey_returnsFalseForStringNotInList/0,false,41,3,2,0,2,1,3,4,0,1,0,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,17,1,0,false
D:\trabCKMetrics\repos\k9mailk-9\mail\protocols\imap\src\test\java\com\fsck\k9\mail\store\imap\ImapListTest.java,com.fsck.k9.mail.store.imap.ImapListTest,getDate_throwsExceptionForInvalidDate/0,false,94,3,2,0,2,1,2,6,0,1,0,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,11,1,0,false
D:\trabCKMetrics\repos\k9mailk-9\mail\protocols\imap\src\test\java\com\fsck\k9\mail\store\imap\ImapListTest.java,com.fsck.k9.mail.store.imap.ImapListTest,getDate_returnsCorrectDateForValidString/0,false,80,2,2,0,2,1,6,10,0,2,0,6,0,0,0,0,0,0,2,3,2,0,0,0,0,0,17,1,0,false
D:\trabCKMetrics\repos\k9mailk-9\app\ui\legacy\src\main\java\com\fsck\k9\ui\messageview\MessageContainerView.java,com.fsck.k9.ui.messageview.MessageContainerView$Anonymous5,onPageFinished/0,false,430,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\k9mailk-9\app\ui\legacy\src\main\java\com\fsck\k9\ui\messageview\MessageContainerView.java,com.fsck.k9.ui.messageview.MessageContainerView$Anonymous4,onMenuItemClick/1[com.fsck.k9.ui.messageview.MenuItem],false,296,6,13,0,13,4,8,24,1,4,1,8,0,0,0,0,0,0,0,0,4,1,1,0,0,0,21,1,0,false
D:\trabCKMetrics\repos\k9mailk-9\app\ui\legacy\src\main\java\com\fsck\k9\activity\compose\AttachmentPresenter.java,com.fsck.k9.activity.compose.AttachmentPresenter$Anonymous3,"onLoadFinished/2[Loader<Attachment>,Attachment]",false,356,3,0,0,0,2,7,11,0,1,2,7,0,0,0,1,0,0,0,0,1,0,1,0,0,0,12,1,0,false
D:\trabCKMetrics\repos\k9mailk-9\app\ui\legacy\src\main\java\com\fsck\k9\activity\compose\AttachmentPresenter.java,com.fsck.k9.activity.compose.AttachmentPresenter$Anonymous3,onLoaderReset/1[Loader<Attachment>],false,371,2,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\k9mailk-9\app\ui\legacy\src\main\java\com\fsck\k9\activity\compose\AttachmentPresenter.java,com.fsck.k9.activity.compose.AttachmentPresenter$Anonymous3,"onCreateLoader/2[int,Bundle]",false,350,4,0,0,0,1,3,4,1,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,1,0,false
D:\trabCKMetrics\repos\k9mailk-9\app\core\src\main\java\com\fsck\k9\cache\EmailProviderCacheCursor.java,com.fsck.k9.cache.EmailProviderCacheCursor,moveToFirst/0,false,85,1,1,0,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\k9mailk-9\app\core\src\main\java\com\fsck\k9\cache\EmailProviderCacheCursor.java,com.fsck.k9.cache.EmailProviderCacheCursor,"EmailProviderCacheCursor/3[java.lang.String,com.fsck.k9.cache.Cursor,com.fsck.k9.cache.Context]",true,31,3,3,1,2,6,9,19,0,2,3,9,0,0,1,3,0,0,4,3,6,2,2,0,0,0,23,1,0,false
D:\trabCKMetrics\repos\k9mailk-9\app\core\src\main\java\com\fsck\k9\cache\EmailProviderCacheCursor.java,com.fsck.k9.cache.EmailProviderCacheCursor,getPosition/0,false,128,0,3,3,0,2,2,6,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\k9mailk-9\app\core\src\main\java\com\fsck\k9\cache\EmailProviderCacheCursor.java,com.fsck.k9.cache.EmailProviderCacheCursor,move/1[int],false,105,1,2,0,2,1,2,3,1,0,1,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\k9mailk-9\app\core\src\main\java\com\fsck\k9\cache\EmailProviderCacheCursor.java,com.fsck.k9.cache.EmailProviderCacheCursor,moveToPosition/1[int],false,110,0,5,5,0,4,2,14,2,1,1,2,0,0,1,0,0,0,0,0,2,0,2,0,0,0,10,1,0,false
D:\trabCKMetrics\repos\k9mailk-9\app\core\src\main\java\com\fsck\k9\cache\EmailProviderCacheCursor.java,com.fsck.k9.cache.EmailProviderCacheCursor,getCount/0,false,80,0,2,2,0,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\k9mailk-9\app\core\src\main\java\com\fsck\k9\cache\EmailProviderCacheCursor.java,com.fsck.k9.cache.EmailProviderCacheCursor,moveToNext/0,false,95,1,2,0,2,1,2,3,1,0,0,2,2,1,0,0,0,0,0,1,0,1,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\k9mailk-9\app\core\src\main\java\com\fsck\k9\cache\EmailProviderCacheCursor.java,com.fsck.k9.cache.EmailProviderCacheCursor,isLast/0,false,137,1,1,0,1,3,3,6,2,0,0,3,1,1,0,1,0,1,0,1,0,1,1,0,0,0,6,1,0,false
D:\trabCKMetrics\repos\k9mailk-9\app\core\src\main\java\com\fsck\k9\cache\EmailProviderCacheCursor.java,com.fsck.k9.cache.EmailProviderCacheCursor,moveToLast/0,false,90,1,2,0,2,1,2,3,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\trabCKMetrics\repos\k9mailk-9\app\core\src\main\java\com\fsck\k9\cache\EmailProviderCacheCursor.java,com.fsck.k9.cache.EmailProviderCacheCursor,getInt/1[int],false,60,1,2,0,2,3,6,14,3,4,1,6,0,0,0,2,0,0,0,0,5,0,1,0,0,0,16,1,0,false
D:\trabCKMetrics\repos\k9mailk-9\app\core\src\main\java\com\fsck\k9\cache\EmailProviderCacheCursor.java,com.fsck.k9.cache.EmailProviderCacheCursor,moveToPrevious/0,false,100,1,2,0,2,1,2,3,1,0,0,2,2,1,0,0,0,0,0,1,0,1,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\k9mailk-9\app\ui\legacy\src\main\java\com\fsck\k9\activity\compose\AttachmentPresenter.java,com.fsck.k9.activity.compose.AttachmentPresenter$Anonymous4,run/0,false,379,1,62,0,62,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\k9mailk-9\mail\common\src\main\java\com\fsck\k9\mail\K9MailLib.java,com.fsck.k9.mail.K9MailLib$DebugStatus,enabled/0,false,59,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false
