file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\kekingcnkkFileView\office-plugin\src\main\java\org\artofsolving\jodconverter\document\DefaultDocumentFormatRegistry.java,org.artofsolving.jodconverter.document.DefaultDocumentFormatRegistry,class,2,4,2,2,1,2,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,105,0,0,0,0,0,125,0,26,0,26,0,0,0,0,52,1,0
D:\trabCKMetrics\repos\kekingcnkkFileView\server\src\main\java\cn\keking\service\FilePreviewFactory.java,cn.keking.service.FilePreviewFactory,class,5,8,3,5,2,1,0,4,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,10,1,0,0,0,0,0,0,2,0,2,0,0,0,0,15,1,0
D:\trabCKMetrics\repos\kekingcnkkFileView\server\src\main\java\cn\keking\ServerMain.java,cn.keking.ServerMain,class,10,11,1,10,1,1,0,10,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,11,0,0,0,0,0,2,0,4,0,4,0,0,0,0,21,1,1
D:\trabCKMetrics\repos\kekingcnkkFileView\office-plugin\src\main\java\org\artofsolving\jodconverter\document\DocumentFamily.java,org.artofsolving.jodconverter.document.DocumentFamily,enum,0,6,6,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
D:\trabCKMetrics\repos\kekingcnkkFileView\office-plugin\src\main\java\org\artofsolving\jodconverter\process\PureJavaProcessManager.java,org.artofsolving.jodconverter.process.PureJavaProcessManager,class,2,4,2,2,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
D:\trabCKMetrics\repos\kekingcnkkFileView\office-plugin\windows-office\share\Scripts\java\MemoryUsage\MemoryUsage.java,org.libreoffice.example.java_scripts.MemoryUsage,class,27,28,1,27,5,1,0,40,6,0.0,NaN,NaN,4,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,60,1,0,0,1,1,11,23,33,3,28,1,0,0,0,71,1,0
D:\trabCKMetrics\repos\kekingcnkkFileView\office-plugin\src\main\java\org\artofsolving\jodconverter\office\OfficeProcess.java,org.artofsolving.jodconverter.office.OfficeProcess$ExitCodeRetryable,innerclass,2,2,0,2,3,2,0,1,0,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,14,1,0,0,1,0,0,0,1,0,1,1,0,0,0,12,2,0
D:\trabCKMetrics\repos\kekingcnkkFileView\server\src\main\java\cn\keking\model\ReturnResponse.java,cn.keking.model.ReturnResponse,class,2,12,10,2,14,1,0,3,46,0.8461539,0.0,0.0,13,4,13,0,0,0,13,0,0,0,8,5,4,4,0,0,5,0,2,51,9,0,1,0,0,2,3,11,0,8,0,0,0,0,39,1,0
D:\trabCKMetrics\repos\kekingcnkkFileView\office-plugin\src\main\java\org\artofsolving\jodconverter\document\JsonDocumentFormatRegistry.java,org.artofsolving.jodconverter.document.JsonDocumentFormatRegistry,class,6,8,2,6,11,2,0,18,6,0.0,0.0,0.0,4,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,45,1,3,0,0,0,9,1,8,0,8,3,0,0,0,34,1,0
D:\trabCKMetrics\repos\kekingcnkkFileView\server\src\main\java\cn\keking\web\controller\OnlinePreviewController.java,cn.keking.web.controller.OnlinePreviewController,class,16,17,1,16,9,1,0,22,0,0.5,0.0,0.0,5,0,5,0,0,0,5,0,0,0,6,1,1,5,0,0,6,0,4,68,5,0,0,3,0,19,1,18,0,18,1,0,0,0,76,1,5
