file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\kekingcnkkFileView\office-plugin\src\main\java\org\artofsolving\jodconverter\document\DefaultDocumentFormatRegistry.java,org.artofsolving.jodconverter.document.DefaultDocumentFormatRegistry,DefaultDocumentFormatRegistry/0,true,21,2,7,2,5,1,6,103,0,26,0,6,0,0,0,0,0,0,125,0,26,0,0,0,0,0,51,1,0,false
D:\trabCKMetrics\repos\kekingcnkkFileView\server\src\main\java\cn\keking\service\FilePreviewFactory.java,cn.keking.service.FilePreviewFactory,get/1[cn.keking.model.FileAttribute],false,22,3,4,2,2,1,4,4,1,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
D:\trabCKMetrics\repos\kekingcnkkFileView\server\src\main\java\cn\keking\service\FilePreviewFactory.java,cn.keking.service.FilePreviewFactory,FilePreviewFactory/1[cn.keking.service.ApplicationContext],true,18,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
D:\trabCKMetrics\repos\kekingcnkkFileView\server\src\main\java\cn\keking\ServerMain.java,cn.keking.ServerMain,main/1[java.lang.String[]],false,21,6,1,0,1,1,9,8,0,3,1,9,0,0,0,0,0,0,1,0,3,0,0,0,0,0,16,9,1,false
D:\trabCKMetrics\repos\kekingcnkkFileView\office-plugin\src\main\java\org\artofsolving\jodconverter\process\PureJavaProcessManager.java,org.artofsolving.jodconverter.process.PureJavaProcessManager,findPid/1[org.artofsolving.jodconverter.process.ProcessQuery],false,17,1,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,false
D:\trabCKMetrics\repos\kekingcnkkFileView\office-plugin\src\main\java\org\artofsolving\jodconverter\process\PureJavaProcessManager.java,org.artofsolving.jodconverter.process.PureJavaProcessManager,"kill/2[java.lang.Process,long]",false,21,0,0,0,0,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\kekingcnkkFileView\office-plugin\windows-office\share\Scripts\java\MemoryUsage\MemoryUsage.java,org.libreoffice.example.java_scripts.MemoryUsage,"addData/4[com.sun.star.sheet.XSpreadsheet,java.lang.String,long,long]",false,84,3,4,1,3,1,3,8,0,0,4,3,0,0,0,0,0,0,3,12,0,1,0,0,0,0,7,2,0,false
D:\trabCKMetrics\repos\kekingcnkkFileView\office-plugin\windows-office\share\Scripts\java\MemoryUsage\MemoryUsage.java,org.libreoffice.example.java_scripts.MemoryUsage,updateMemoryUsage/1[com.sun.star.script.provider.XScriptContext],false,44,4,3,0,3,1,8,10,0,6,1,8,3,1,0,0,0,1,0,1,6,2,0,0,0,0,22,1,0,false
D:\trabCKMetrics\repos\kekingcnkkFileView\office-plugin\windows-office\share\Scripts\java\MemoryUsage\MemoryUsage.java,org.libreoffice.example.java_scripts.MemoryUsage,createSpreadsheet/1[com.sun.star.script.provider.XScriptContext],false,62,10,10,1,9,1,8,8,1,5,1,8,0,0,0,0,0,0,2,3,5,0,0,0,0,0,18,2,0,false
D:\trabCKMetrics\repos\kekingcnkkFileView\office-plugin\windows-office\share\Scripts\java\MemoryUsage\MemoryUsage.java,org.libreoffice.example.java_scripts.MemoryUsage,addChart/1[com.sun.star.sheet.XSpreadsheet],false,95,16,22,1,21,2,21,32,0,17,1,21,0,0,0,0,1,0,6,7,22,0,1,0,0,0,46,2,0,false
