file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\keycloakkeycloak\services\src\main\java\org\keycloak\authentication\authenticators\browser\UsernameFormFactory.java,org.keycloak.authentication.authenticators.browser.UsernameFormFactory,class,10,10,0,10,15,1,0,1,74,0.8717949,0.0,0.0,13,0,13,0,0,0,13,0,0,0,3,3,3,0,0,0,3,0,0,43,12,0,1,0,0,3,0,3,0,3,1,0,0,0,59,1,0
D:\trabCKMetrics\repos\keycloakkeycloak\testsuite\performance\tests\src\main\java\org\keycloak\performance\dataset\DatasetLoader.java,org.keycloak.performance.dataset.DatasetLoader,class,8,9,1,8,31,1,0,73,0,0.7272727,0.0,0.0,9,1,3,6,0,0,3,0,0,4,11,4,0,8,0,3,7,0,15,161,1,3,3,4,4,23,6,26,5,25,11,0,0,2,99,1,11
D:\trabCKMetrics\repos\keycloakkeycloak\server-spi\src\main\java\org\keycloak\models\ClientProvider.java,org.keycloak.models.ClientProvider,interface,6,35,29,6,15,1,0,6,105,0.0,0.0,0.0,15,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,3,29,6,0,0,0,0,0,0,0,0,0,0,0,0,0,128,1,0
D:\trabCKMetrics\repos\keycloakkeycloak\testsuite\integration-arquillian\test-apps\servlets\src\main\java\org\keycloak\testsuite\adapter\servlet\MultiTenantServlet.java,org.keycloak.testsuite.adapter.servlet.MultiTenantServlet,class,5,6,1,5,4,2,0,18,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,1,0,0,8,2,4,1,3,1,0,0,0,23,1,0
D:\trabCKMetrics\repos\keycloakkeycloak\testsuite\performance\tests\src\test\java\org\keycloak\performance\dataset\DatasetTest.java,org.keycloak.performance.dataset.DatasetTest,class,19,19,0,19,9,2,0,67,4,0.7,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,0,0,2,0,0,7,63,1,3,0,0,0,13,17,8,7,15,1,1,0,7,59,1,25
D:\trabCKMetrics\repos\keycloakkeycloak\testsuite\integration-arquillian\tests\other\adapters\jboss\remote\src\main\java\org\keycloak\testsuite\arquillian\remote\RemoteAppServerArquillianExtension.java,org.keycloak.testsuite.arquillian.remote.RemoteAppServerArquillianExtension,class,4,4,0,4,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
D:\trabCKMetrics\repos\keycloakkeycloak\server-spi-private\src\main\java\org\keycloak\models\utils\FormMessage.java,org.keycloak.models.utils.FormMessage,class,0,30,30,0,9,1,0,1,0,0.53125,0.0,0.0,8,0,8,0,0,0,8,0,0,0,4,1,1,3,0,0,1,0,1,33,4,0,1,0,0,5,0,5,1,4,1,0,0,0,42,1,0
D:\trabCKMetrics\repos\keycloakkeycloak\server-spi\src\main\java\org\keycloak\credential\CredentialInputUpdater.java,org.keycloak.credential.CredentialInputUpdater$Streams,interface,4,4,0,4,2,1,0,3,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0
D:\trabCKMetrics\repos\keycloakkeycloak\federation\sssd\src\main\java\org\freedesktop\DBus.java,org.freedesktop.DBus$Binding$SingleTests,interface,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,1,0
D:\trabCKMetrics\repos\keycloakkeycloak\examples\demo-template\customer-app-filter\src\main\java\org\keycloak\example\CustomerDatabaseClient.java,CustomerDatabaseClient,class,17,17,0,17,6,1,0,20,3,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,52,3,0,2,3,1,5,3,10,3,9,3,0,2,0,42,1,0
D:\trabCKMetrics\repos\keycloakkeycloak\model\jpa\src\main\java\org\keycloak\models\jpa\JpaUserCredentialStore.java,org.keycloak.models.jpa.JpaUserCredentialStore,class,14,17,3,14,36,1,0,68,71,0.8166667,0.0,0.0,15,0,10,2,0,3,13,0,0,0,4,2,1,1,2,0,4,0,8,136,17,2,11,0,0,6,11,32,5,31,2,0,0,3,81,1,0
D:\trabCKMetrics\repos\keycloakkeycloak\testsuite\integration-arquillian\tests\base\src\test\java\org\keycloak\testsuite\federation\kerberos\KeycloakSPNegoSchemeFactory.java,org.keycloak.testsuite.federation.kerberos.KeycloakSPNegoSchemeFactory$KeycloakSPNegoScheme$Anonymous1,anonymous,1,1,0,1,2,1,0,2,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,2,0,0,1,0,1,0,0,0,6,-1,0
D:\trabCKMetrics\repos\keycloakkeycloak\testsuite\utils\src\main\java\org\keycloak\testsuite\util\cli\BatchTaskRunner.java,org.keycloak.testsuite.util.cli.BatchTaskRunner$BatchTask,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
D:\trabCKMetrics\repos\keycloakkeycloak\server-spi\src\main\java\org\keycloak\sessions\AuthenticationSessionProvider.java,org.keycloak.sessions.AuthenticationSessionProvider,interface,6,36,30,6,10,1,0,1,45,0.0,0.0,0.0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,94,1,0
D:\trabCKMetrics\repos\keycloakkeycloak\testsuite\integration-arquillian\tests\base\src\test\java\org\keycloak\testsuite\authz\AttributeTest.java,org.keycloak.testsuite.authz.AttributeTest$Anonymous1,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
D:\trabCKMetrics\repos\keycloakkeycloak\testsuite\integration-arquillian\tests\base\src\test\java\org\keycloak\testsuite\x509\X509BrowserCRLTest.java,org.keycloak.testsuite.x509.X509BrowserCRLTest,class,21,22,1,21,11,4,0,31,55,0.9545455,0.0,0.0,11,0,9,2,0,0,9,0,0,0,2,1,1,1,0,0,0,0,8,72,0,0,0,0,0,23,0,21,5,22,0,0,0,0,82,1,0
D:\trabCKMetrics\repos\keycloakkeycloak\testsuite\integration-arquillian\tests\base\src\main\java\org\keycloak\testsuite\pages\LoginPasswordResetPage.java,org.keycloak.testsuite.pages.LoginPasswordResetPage,class,5,15,10,5,14,3,0,8,41,0.8714286,0.0,0.0,10,0,10,0,0,0,10,0,0,0,7,0,0,7,0,0,0,0,4,56,9,0,1,3,0,9,0,0,0,7,1,0,0,0,49,1,0
D:\trabCKMetrics\repos\keycloakkeycloak\testsuite\integration-arquillian\tests\other\console\src\main\java\org\keycloak\testsuite\console\page\roles\RolesTable.java,org.keycloak.testsuite.console.page.roles.RolesTable,class,5,11,6,5,16,2,0,24,36,0.8888889,0.0,0.0,9,0,9,0,0,0,9,0,0,0,3,3,3,0,0,0,3,0,5,60,7,2,2,0,1,4,6,9,0,8,2,0,0,0,48,1,0
D:\trabCKMetrics\repos\keycloakkeycloak\wildfly\server-subsystem\src\main\java\org\keycloak\subsystem\server\extension\ScriptProviderDeploymentProcessor.java,org.keycloak.subsystem.server.extension.ScriptProviderDeploymentProcessor,class,15,17,2,15,18,1,0,25,8,0.6,0.0,0.0,5,5,0,4,0,1,2,0,0,0,1,1,0,1,0,0,1,0,3,64,5,2,5,2,0,8,0,10,1,9,3,0,0,0,63,16,0
D:\trabCKMetrics\repos\keycloakkeycloak\testsuite\integration-arquillian\tests\other\console\src\main\java\org\keycloak\testsuite\console\page\users\UserRoleMappingsForm.java,org.keycloak.testsuite.console.page.users.UserRoleMappingsForm,class,6,9,3,6,5,3,0,10,3,0.6666667,0.0,0.0,3,0,2,1,0,0,2,0,0,0,2,0,0,2,0,0,0,0,3,23,3,2,0,0,0,2,0,1,0,3,1,0,0,0,25,1,2
D:\trabCKMetrics\repos\keycloakkeycloak\services\src\main\java\org\keycloak\protocol\oidc\grants\ciba\resolvers\DefaultCIBALoginUserResolverFactory.java,org.keycloak.protocol.oidc.grants.ciba.resolvers.DefaultCIBALoginUserResolverFactory,class,6,6,0,6,5,1,0,0,10,0.8,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,1,1,0,0,0,1,0,0,15,2,0,0,0,0,1,0,1,0,1,0,0,0,0,35,1,0
D:\trabCKMetrics\repos\keycloakkeycloak\services\src\main\java\org\keycloak\authentication\ExplainedVerificationException.java,org.keycloak.authentication.ExplainedVerificationException,class,1,4,3,1,5,4,0,0,0,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,0,22,1,0,0,0,0,0,0,4,0,1,0,0,0,0,11,1,0
D:\trabCKMetrics\repos\keycloakkeycloak\services\src\main\java\org\keycloak\services\resources\account\AccountCredentialResource.java,org.keycloak.services.resources.account.AccountCredentialResource$CredentialContainer,innerclass,4,4,0,4,12,1,0,9,46,0.8333334,0.0,0.0,12,0,12,0,0,0,12,0,0,0,10,0,0,10,0,0,0,0,0,56,10,0,0,0,0,0,0,10,0,10,0,0,0,0,29,9,0
D:\trabCKMetrics\repos\keycloakkeycloak\testsuite\integration-arquillian\tests\base\src\test\java\org\keycloak\testsuite\federation\ldap\LDAPGroupMapper2WaySyncTest.java,org.keycloak.testsuite.federation.ldap.LDAPGroupMapper2WaySyncTest,class,23,24,1,23,7,4,0,35,21,0.85714287,0.0,0.0,7,2,3,2,2,0,5,0,0,0,1,1,1,0,0,0,0,0,54,137,1,0,0,0,0,38,26,49,0,57,1,0,0,9,63,1,0
D:\trabCKMetrics\repos\keycloakkeycloak\server-spi-private\src\main\java\org\keycloak\models\dblock\NoLockingDBLockProviderFactory.java,org.keycloak.models.dblock.NoLockingDBLockProviderFactory,class,7,8,1,7,7,1,0,1,21,0.85714287,0.0,0.0,7,0,7,0,0,0,7,0,0,0,2,2,1,1,0,0,2,0,1,37,3,0,0,0,0,1,0,2,0,2,0,1,0,0,41,1,0
