file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\languagetool-orglanguagetool\languagetool-core\src\test\java\org\languagetool\ResourceBundleToolsTest.java,org.languagetool.ResourceBundleToolsTest,testGetMessageBundle/0,false,28,2,1,0,1,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
D:\trabCKMetrics\repos\languagetool-orglanguagetool\languagetool-wikipedia\src\main\java\org\languagetool\dev\dumpcheck\WikipediaSentenceSource.java,org.languagetool.dev.dumpcheck.WikipediaSentenceSource$WikipediaSentence,"WikipediaSentence/3[java.lang.String,java.lang.String,int]",true,175,0,1,1,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,false
D:\trabCKMetrics\repos\languagetool-orglanguagetool\languagetool-server\src\main\java\org\languagetool\server\Server.java,org.languagetool.server.Server,printCommonConfigFileOptions/0,false,119,0,2,2,0,1,1,35,0,0,0,1,0,0,0,0,0,0,34,0,0,1,0,0,0,0,177,12,0,false
D:\trabCKMetrics\repos\languagetool-orglanguagetool\languagetool-server\src\main\java\org\languagetool\server\Server.java,org.languagetool.server.Server,checkForNonRootUser/0,false,172,1,3,2,1,2,3,7,0,0,0,3,0,0,0,0,0,0,5,0,0,0,1,0,0,0,16,12,0,false
D:\trabCKMetrics\repos\languagetool-orglanguagetool\languagetool-server\src\main\java\org\languagetool\server\Server.java,org.languagetool.server.Server,getProtocol/0,false,40,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1028,0,false
D:\trabCKMetrics\repos\languagetool-orglanguagetool\languagetool-server\src\main\java\org\languagetool\server\Server.java,org.languagetool.server.Server,run/0,false,58,3,21,18,3,2,3,7,0,1,0,3,1,1,0,1,0,0,9,0,2,1,0,0,0,0,17,1,0,true
D:\trabCKMetrics\repos\languagetool-orglanguagetool\languagetool-server\src\main\java\org\languagetool\server\Server.java,org.languagetool.server.Server,getRequestLimiterOrNull/1[org.languagetool.server.HTTPServerConfig],false,91,3,9,2,7,4,6,12,2,6,1,6,0,0,0,0,0,1,0,3,6,0,1,0,0,0,23,4,0,false
D:\trabCKMetrics\repos\languagetool-orglanguagetool\languagetool-server\src\main\java\org\languagetool\server\Server.java,org.languagetool.server.Server,usageRequested/1[java.lang.String[]],false,115,0,2,2,0,2,1,3,1,0,1,1,0,0,0,1,0,1,2,3,0,0,0,0,0,0,3,12,0,false
D:\trabCKMetrics\repos\languagetool-orglanguagetool\languagetool-server\src\main\java\org\languagetool\server\Server.java,org.languagetool.server.Server,"getExecutorService/2[java.util.concurrent.LinkedBlockingQueue<java.lang.Runnable>,org.languagetool.server.HTTPServerConfig]",false,180,3,5,2,3,1,2,5,1,1,2,2,0,0,0,0,0,0,2,0,1,1,0,0,0,0,12,4,0,false
D:\trabCKMetrics\repos\languagetool-orglanguagetool\languagetool-server\src\main\java\org\languagetool\server\Server.java,org.languagetool.server.Server,stop/0,false,70,3,4,1,3,3,3,11,0,0,0,3,0,0,0,2,0,0,2,1,1,0,1,0,0,0,15,1,0,true
D:\trabCKMetrics\repos\languagetool-orglanguagetool\languagetool-server\src\main\java\org\languagetool\server\Server.java,org.languagetool.server.Server,getErrorRequestLimiterOrNull/1[org.languagetool.server.HTTPServerConfig],false,106,3,5,2,3,3,2,8,2,2,1,2,0,0,0,0,0,0,0,2,2,0,1,0,0,0,18,4,0,false
D:\trabCKMetrics\repos\languagetool-orglanguagetool\languagetool-server\src\main\java\org\languagetool\server\Server.java,org.languagetool.server.Server,isRunning/0,false,86,0,8,8,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
D:\trabCKMetrics\repos\languagetool-orglanguagetool\languagetool-server\src\main\java\org\languagetool\server\Server.java,org.languagetool.server.Server,printCommonOptions/0,false,156,0,2,2,0,1,1,15,0,0,0,1,0,0,0,0,0,0,14,0,0,1,0,0,0,0,98,12,0,false
D:\trabCKMetrics\repos\languagetool-orglanguagetool\languagetool-language-modules\pl\src\main\java\org\languagetool\rules\pl\SimpleReplaceRule.java,org.languagetool.rules.pl.SimpleReplaceRule,getWrongWords/0,false,46,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
D:\trabCKMetrics\repos\languagetool-orglanguagetool\languagetool-language-modules\pl\src\main\java\org\languagetool\rules\pl\SimpleReplaceRule.java,org.languagetool.rules.pl.SimpleReplaceRule,SimpleReplaceRule/1[java.util.ResourceBundle],true,50,5,10,2,8,1,6,7,0,0,1,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,23,1,0,false
D:\trabCKMetrics\repos\languagetool-orglanguagetool\languagetool-language-modules\pl\src\main\java\org\languagetool\rules\pl\SimpleReplaceRule.java,org.languagetool.rules.pl.SimpleReplaceRule,isCaseSensitive/0,false,81,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\languagetool-orglanguagetool\languagetool-language-modules\pl\src\main\java\org\languagetool\rules\pl\SimpleReplaceRule.java,org.languagetool.rules.pl.SimpleReplaceRule,getId/0,false,60,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,0,false
D:\trabCKMetrics\repos\languagetool-orglanguagetool\languagetool-language-modules\pl\src\main\java\org\languagetool\rules\pl\SimpleReplaceRule.java,org.languagetool.rules.pl.SimpleReplaceRule,"getMessage/2[java.lang.String,java.util.List<java.lang.String>]",false,75,0,0,0,0,1,1,3,1,0,2,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,8,1,0,false
D:\trabCKMetrics\repos\languagetool-orglanguagetool\languagetool-language-modules\pl\src\main\java\org\languagetool\rules\pl\SimpleReplaceRule.java,org.languagetool.rules.pl.SimpleReplaceRule,getLocale/0,false,86,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
D:\trabCKMetrics\repos\languagetool-orglanguagetool\languagetool-language-modules\pl\src\main\java\org\languagetool\rules\pl\SimpleReplaceRule.java,org.languagetool.rules.pl.SimpleReplaceRule,getDescription/0,false,65,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\languagetool-orglanguagetool\languagetool-language-modules\pl\src\main\java\org\languagetool\rules\pl\SimpleReplaceRule.java,org.languagetool.rules.pl.SimpleReplaceRule,getShort/0,false,70,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
