file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\mvc\http\Cookie.java,com.blade.mvc.http.Cookie,domain/1[java.lang.String],false,39,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\mvc\http\Cookie.java,com.blade.mvc.http.Cookie,maxAge/1[long],false,55,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\mvc\http\Cookie.java,com.blade.mvc.http.Cookie,value/1[java.lang.String],false,31,0,3,3,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\mvc\http\Cookie.java,com.blade.mvc.http.Cookie,name/0,false,19,0,5,5,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\mvc\http\Cookie.java,com.blade.mvc.http.Cookie,secure/1[boolean],false,63,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\mvc\http\Cookie.java,com.blade.mvc.http.Cookie,name/1[java.lang.String],false,23,0,3,3,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\mvc\http\Cookie.java,com.blade.mvc.http.Cookie,httpOnly/0,false,67,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\mvc\http\Cookie.java,com.blade.mvc.http.Cookie,path/0,false,43,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\mvc\http\Cookie.java,com.blade.mvc.http.Cookie,httpOnly/1[boolean],false,71,0,3,3,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\mvc\http\Cookie.java,com.blade.mvc.http.Cookie,domain/0,false,35,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\mvc\http\Cookie.java,com.blade.mvc.http.Cookie,value/0,false,27,0,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\mvc\http\Cookie.java,com.blade.mvc.http.Cookie,path/1[java.lang.String],false,47,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\mvc\http\Cookie.java,com.blade.mvc.http.Cookie,secure/0,false,59,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\mvc\http\Cookie.java,com.blade.mvc.http.Cookie,maxAge/0,false,51,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\test\java\com\blade\security\BasicAuthMiddlewareTest.java,com.blade.security.BasicAuthMiddlewareTest$AuthHandler,handle/1[com.blade.mvc.RouteContext],false,36,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\task\TaskManager.java,com.blade.task.TaskManager,getExecutorService/0,false,56,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\task\TaskManager.java,com.blade.task.TaskManager,init/1[com.blade.task.cron.CronExecutorService],false,48,1,1,1,0,2,2,7,0,0,1,2,0,0,0,1,0,0,1,0,1,0,1,0,0,0,14,9,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\task\TaskManager.java,com.blade.task.TaskManager,stopTask/1[java.lang.String],false,91,1,2,1,1,2,4,11,1,1,1,4,0,0,0,1,1,0,0,0,1,0,1,0,0,0,5,9,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\task\TaskManager.java,com.blade.task.TaskManager,getTasks/0,false,70,1,1,1,0,1,5,11,1,1,0,5,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3,9,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\task\TaskManager.java,com.blade.task.TaskManager,getTask/1[java.lang.String],false,81,1,0,0,0,1,3,9,1,0,1,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,9,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\task\TaskManager.java,com.blade.task.TaskManager,addTask/1[com.blade.task.Task],false,60,2,3,2,1,1,6,10,0,0,1,6,0,0,0,0,1,0,1,0,0,0,1,0,0,0,4,9,1,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\kit\json\SerializeMapping.java,com.blade.kit.json.SerializeMapping,defaultMapping/0,false,21,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\kit\json\BeanSerializer.java,com.blade.kit.json.BeanSerializer,"deserialize/2[T,java.lang.Object]",false,196,2,6,1,5,18,19,39,8,10,2,19,2,1,2,1,0,1,0,2,10,0,4,0,0,0,23,9,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\kit\json\BeanSerializer.java,com.blade.kit.json.BeanSerializer,declaredFields/1[java.lang.Class<?>],false,377,0,2,2,0,3,4,9,1,2,1,4,0,0,2,1,0,0,0,0,3,0,2,0,0,0,7,10,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\kit\json\BeanSerializer.java,com.blade.kit.json.BeanSerializer,"deserialize/3[java.util.Collection<java.lang.Object>,java.lang.Class<T>,java.util.Collection]",false,128,2,1,0,1,1,2,3,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\kit\json\BeanSerializer.java,com.blade.kit.json.BeanSerializer,"deserialize/2[java.lang.Class<T>,java.util.Collection]",false,331,2,1,0,1,1,2,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\kit\json\BeanSerializer.java,com.blade.kit.json.BeanSerializer,"deserialize/3[java.util.Collection<java.lang.Object>,java.lang.Class<T>,A[]]",false,132,3,2,0,2,3,5,11,1,2,3,5,1,3,1,0,0,0,0,1,2,0,2,0,0,0,6,9,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\kit\json\BeanSerializer.java,com.blade.kit.json.BeanSerializer,"deserialize/2[java.lang.Class<T>,A[]]",false,335,3,1,0,1,2,2,5,1,2,2,2,1,3,1,0,0,1,0,1,3,0,1,0,0,0,4,9,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\kit\json\BeanSerializer.java,com.blade.kit.json.BeanSerializer,"deserialize/2[java.lang.Class<T>,java.lang.Object]",false,342,3,11,4,7,13,18,42,11,0,2,18,1,2,0,1,1,0,1,0,0,0,3,0,0,0,10,9,1,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\kit\json\BeanSerializer.java,com.blade.kit.json.BeanSerializer,"deserialize/2[T,java.util.Map]",false,144,4,8,1,7,17,24,46,3,7,2,24,0,0,1,6,2,3,0,3,15,0,7,0,0,0,24,9,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\kit\json\BeanSerializer.java,com.blade.kit.json.BeanSerializer,"deserialize/3[java.lang.Class<? extends java.util.Collection>,java.lang.Class<T>,A[]]",false,314,3,1,0,1,4,4,11,1,2,3,4,1,3,1,0,0,0,0,1,4,0,1,0,0,0,7,9,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\kit\json\BeanSerializer.java,com.blade.kit.json.BeanSerializer,"serialize/2[com.blade.kit.json.SerializeMapping,java.lang.Object]",false,19,8,12,2,10,28,48,94,8,20,2,48,2,1,3,4,1,2,4,3,26,0,3,0,0,1,44,9,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\kit\json\BeanSerializer.java,com.blade.kit.json.BeanSerializer,"deserialize/3[java.lang.Class<? extends java.util.Collection>,java.lang.Class<T>,java.util.Collection]",false,327,2,1,0,1,1,2,3,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\kit\json\BeanSerializer.java,com.blade.kit.json.BeanSerializer,"deserialize/2[java.lang.Class<T>,java.util.Map]",false,243,7,12,1,11,21,33,80,1,11,2,33,1,1,1,3,2,1,0,1,24,0,6,0,0,0,32,9,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\kit\Tuple2.java,com.blade.kit.Tuple2,equals/1[java.lang.Object],false,37,1,0,0,0,4,2,6,3,1,1,2,0,0,0,3,0,0,0,0,1,0,1,0,0,0,9,1,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\kit\Tuple2.java,com.blade.kit.Tuple2,"Tuple2/2[K,V]",true,15,2,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\kit\Tuple2.java,com.blade.kit.Tuple2,_1/0,false,28,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\kit\Tuple2.java,com.blade.kit.Tuple2,hashCode/0,false,46,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\kit\Tuple2.java,com.blade.kit.Tuple2,getV/0,false,24,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\kit\Tuple2.java,com.blade.kit.Tuple2,getK/0,false,20,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\kit\Tuple2.java,com.blade.kit.Tuple2,_2/0,false,32,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\kit\UncheckedFnKit.java,com.blade.kit.UncheckedFnKit$Runnable_WithExceptions,run/0,false,38,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\kit\json\DefaultJsonSupport.java,com.blade.kit.json.DefaultJsonSupport,"formJson/2[java.lang.String,java.lang.reflect.Type]",false,21,4,3,0,3,1,3,5,1,2,2,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,1,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\kit\json\DefaultJsonSupport.java,com.blade.kit.json.DefaultJsonSupport,"toString/2[java.lang.Object,com.blade.kit.json.SerializeMapping]",false,27,3,3,1,2,2,3,10,2,1,2,3,0,0,0,0,1,0,1,0,1,0,1,0,0,0,11,1,1,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\kit\json\DefaultJsonSupport.java,com.blade.kit.json.DefaultJsonSupport,toAson/1[java.lang.String],false,37,2,2,1,1,1,1,4,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\kit\json\DefaultJsonSupport.java,com.blade.kit.json.DefaultJsonSupport,toString/1[java.lang.Object],false,16,2,2,0,2,1,2,3,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\lets-bladeblade\src\main\java\com\blade\mvc\http\Request.java,com.blade.mvc.http.Request,header/1[java.lang.String],false,425,2,16,15,1,1,2,3,1,0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,7,65536,0,true
