file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\libgdxlibgdx\gdx\src\com\badlogic\gdx\scenes\scene2d\ui\Table.java,com.badlogic.gdx.scenes.scene2d.ui.Table,class,25,42,17,25,314,5,2,103,3418,0.9482021,0.0,0.0,97,0,87,8,2,0,89,0,0,0,30,9,7,16,0,7,4,0,50,971,90,41,93,0,19,15,155,461,120,272,5,5,2,0,288,1,0
D:\trabCKMetrics\repos\libgdxlibgdx\extensions\gdx-bullet\jni\swig-src\softbody\com\badlogic\gdx\physics\bullet\softbody\btSoftBody.java,com.badlogic.gdx.physics.bullet.softbody.btSoftBody$Body,innerclass,10,10,0,10,36,2,0,36,0,0.16666667,0.0,0.0,30,1,26,0,4,0,30,0,0,1,1,0,0,1,0,0,0,0,34,105,11,0,3,0,2,1,4,5,0,2,2,0,0,0,62,9,0
D:\trabCKMetrics\repos\libgdxlibgdx\tests\gdx-tests\src\com\badlogic\gdx\tests\BitmapFontFlipTest.java,com.badlogic.gdx.tests.BitmapFontFlipTest,class,15,16,1,15,14,3,0,35,0,0.5982144,0.0,0.0,7,0,3,4,0,0,3,0,0,0,8,0,0,7,0,1,0,0,0,119,3,0,0,0,1,19,69,24,19,18,1,1,0,0,59,1,0
D:\trabCKMetrics\repos\libgdxlibgdx\extensions\gdx-bullet\jni\swig-src\softbody\com\badlogic\gdx\physics\bullet\softbody\btSoftColliders.java,com.badlogic.gdx.physics.bullet.softbody.btSoftColliders$CollideCL_RS,innerclass,6,6,0,6,18,4,0,16,0,0.25,0.0,0.0,12,1,8,0,4,0,12,0,0,1,1,0,0,1,0,0,0,0,14,51,3,0,3,0,2,1,4,5,0,2,2,0,0,0,50,9,0
D:\trabCKMetrics\repos\libgdxlibgdx\gdx\src\com\badlogic\gdx\utils\DelayedRemovalArray.java,com.badlogic.gdx.utils.DelayedRemovalArray,class,5,7,2,5,55,2,0,25,69,0.69135803,0.0,0.0,27,1,26,1,0,0,26,0,0,0,3,0,0,3,0,0,0,0,0,138,12,4,5,0,0,12,25,12,1,12,4,0,0,0,102,1,0
D:\trabCKMetrics\repos\libgdxlibgdx\extensions\gdx-bullet\jni\swig-src\dynamics\com\badlogic\gdx\physics\bullet\dynamics\btRigidBody.java,com.badlogic.gdx.physics.bullet.dynamics.btRigidBody,class,13,51,38,13,102,2,0,96,0,0.5113636,0.0,0.0,88,3,77,6,5,0,82,0,0,1,2,0,0,1,1,0,0,0,89,492,41,0,11,0,4,1,7,11,0,6,2,0,1,0,166,1,0
D:\trabCKMetrics\repos\libgdxlibgdx\tests\gdx-tests\src\com\badlogic\gdx\tests\box2d\BodyTypes.java,com.badlogic.gdx.tests.box2d.BodyTypes,class,12,13,1,12,11,2,0,19,0,0.33333334,0.0,0.0,3,0,2,0,1,0,3,0,0,0,4,0,0,1,0,3,1,0,0,92,1,0,4,0,2,0,41,39,1,21,2,0,0,0,38,1,0
D:\trabCKMetrics\repos\libgdxlibgdx\extensions\gdx-box2d\gdx-box2d-gwt\src\com\badlogic\gdx\physics\box2d\gwt\emu\org\jbox2d\collision\ContactID.java,org.jbox2d.collision.ContactID,class,1,7,6,1,9,1,0,2,16,0.5,0.0,0.0,8,0,8,0,0,0,8,0,0,0,4,0,4,0,0,0,0,0,0,41,3,0,1,0,4,0,7,14,4,5,0,0,1,0,38,1,0
D:\trabCKMetrics\repos\libgdxlibgdx\gdx\src\com\badlogic\gdx\utils\compression\lz\OutWindow.java,com.badlogic.gdx.utils.compression.lz.OutWindow,class,3,5,2,3,19,1,0,3,0,0.45,0.0,0.0,8,0,8,0,0,0,8,0,0,0,5,0,0,0,0,5,0,0,0,52,2,1,4,0,0,0,13,19,3,8,2,0,0,0,31,1,0
D:\trabCKMetrics\repos\libgdxlibgdx\extensions\gdx-box2d\gdx-box2d-gwt\src\com\badlogic\gdx\physics\box2d\gwt\emu\org\jbox2d\dynamics\joints\GearJointDef.java,org.jbox2d.dynamics.joints.GearJointDef,class,2,5,3,2,1,2,0,0,0,0.33333334,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,3,0,0,0,0,36,1,0
