file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\lottie-react-nativelottie-react-native\src\android\src\main\java\com\airbnb\android\react\lottie\LottiePackage.java,com.airbnb.android.react.lottie.LottiePackage,class,5,6,1,5,3,1,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,11,3,0,0,0,0,2,0,0,0,0,0,0,0,0,20,1,0
D:\trabCKMetrics\repos\lottie-react-nativelottie-react-native\example\android\app\src\main\java\com\airbnb\android\lottie\rnexample\MainActivity.java,com.airbnb.android.lottie.rnexample.MainActivity,class,5,5,0,5,4,2,0,8,3,0.6666667,0.0,0.0,3,0,1,0,2,0,3,0,0,0,1,0,0,1,0,0,1,0,0,18,3,0,0,0,0,1,0,2,0,2,1,0,0,0,41,1,0
D:\trabCKMetrics\repos\lottie-react-nativelottie-react-native\example\android\app\src\main\java\com\airbnb\android\lottie\rnexample\MainApplication.java,com.airbnb.android.lottie.rnexample.MainApplication$Anonymous1,anonymous,3,3,0,3,3,1,0,1,3,0.0,0.0,0.0,3,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,11,3,0,0,0,0,1,0,0,0,0,0,0,0,0,16,-1,0
D:\trabCKMetrics\repos\lottie-react-nativelottie-react-native\src\android\src\main\java\com\airbnb\android\react\lottie\LottieAnimationViewManager.java,com.airbnb.android.react.lottie.LottieAnimationViewManager$Anonymous2$Anonymous3,anonymous,2,2,0,2,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,1,0,1,0,0,0,0,12,-1,0
D:\trabCKMetrics\repos\lottie-react-nativelottie-react-native\example\android\app\src\main\java\com\airbnb\android\lottie\rnexample\MainApplication.java,com.airbnb.android.lottie.rnexample.MainApplication,class,3,3,0,3,2,2,0,2,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,21,1,0,0,0,0,0,0,1,0,1,0,1,0,0,9,1,0
D:\trabCKMetrics\repos\lottie-react-nativelottie-react-native\src\android\src\main\java\com\airbnb\android\react\lottie\LottieAnimationViewManager.java,com.airbnb.android.react.lottie.LottieAnimationViewManager$Anonymous6,anonymous,0,0,0,0,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,-1,0
D:\trabCKMetrics\repos\lottie-react-nativelottie-react-native\src\android\src\main\java\com\airbnb\android\react\lottie\LottieAnimationViewManager.java,com.airbnb.android.react.lottie.LottieAnimationViewManager$Anonymous4,anonymous,0,0,0,0,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,-1,0
D:\trabCKMetrics\repos\lottie-react-nativelottie-react-native\src\android\src\main\java\com\airbnb\android\react\lottie\LottieAnimationViewManager.java,com.airbnb.android.react.lottie.LottieAnimationViewManager$Anonymous5,anonymous,0,0,0,0,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,-1,0
D:\trabCKMetrics\repos\lottie-react-nativelottie-react-native\src\android\src\main\java\com\airbnb\android\react\lottie\LottieAnimationViewManager.java,com.airbnb.android.react.lottie.LottieAnimationViewManager$Anonymous2,anonymous,1,1,0,1,7,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,2,0,0,0,7,2,0,2,3,1,0,0,11,-1,0
D:\trabCKMetrics\repos\lottie-react-nativelottie-react-native\src\android\src\main\java\com\airbnb\android\react\lottie\LottieAnimationViewManager.java,com.airbnb.android.react.lottie.LottieAnimationViewManager$Anonymous1,anonymous,2,2,0,2,4,1,0,1,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-1,0
