file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\lottie-react-nativelottie-react-native\src\android\src\main\java\com\airbnb\android\react\lottie\LottiePackage.java,com.airbnb.android.react.lottie.LottiePackage,createJSModules/0,false,19,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
D:\trabCKMetrics\repos\lottie-react-nativelottie-react-native\src\android\src\main\java\com\airbnb\android\react\lottie\LottiePackage.java,com.airbnb.android.react.lottie.LottiePackage,createViewManagers/1[com.airbnb.android.react.lottie.ReactApplicationContext],false,24,3,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,1,0,false
D:\trabCKMetrics\repos\lottie-react-nativelottie-react-native\src\android\src\main\java\com\airbnb\android\react\lottie\LottiePackage.java,com.airbnb.android.react.lottie.LottiePackage,createNativeModules/1[com.airbnb.android.react.lottie.ReactApplicationContext],false,14,2,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
D:\trabCKMetrics\repos\lottie-react-nativelottie-react-native\example\android\app\src\main\java\com\airbnb\android\lottie\rnexample\MainActivity.java,com.airbnb.android.lottie.rnexample.MainActivity,onCreate/1[com.airbnb.android.lottie.rnexample.Bundle],false,23,1,0,0,0,1,4,4,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,false
D:\trabCKMetrics\repos\lottie-react-nativelottie-react-native\example\android\app\src\main\java\com\airbnb\android\lottie\rnexample\MainActivity.java,com.airbnb.android.lottie.rnexample.MainActivity,"onKeyUp/2[int,com.airbnb.android.lottie.rnexample.KeyEvent]",false,29,3,1,0,1,2,6,8,2,1,2,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,13,1,0,false
D:\trabCKMetrics\repos\lottie-react-nativelottie-react-native\example\android\app\src\main\java\com\airbnb\android\lottie\rnexample\MainActivity.java,com.airbnb.android.lottie.rnexample.MainActivity,getMainComponentName/0,false,18,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,true
D:\trabCKMetrics\repos\lottie-react-nativelottie-react-native\example\android\app\src\main\java\com\airbnb\android\lottie\rnexample\MainApplication.java,com.airbnb.android.lottie.rnexample.MainApplication$Anonymous1,getUseDeveloperSupport/0,false,19,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\lottie-react-nativelottie-react-native\example\android\app\src\main\java\com\airbnb\android\lottie\rnexample\MainApplication.java,com.airbnb.android.lottie.rnexample.MainApplication$Anonymous1,getPackages/0,false,28,3,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,false
D:\trabCKMetrics\repos\lottie-react-nativelottie-react-native\example\android\app\src\main\java\com\airbnb\android\lottie\rnexample\MainApplication.java,com.airbnb.android.lottie.rnexample.MainApplication$Anonymous1,getJSMainModuleName/0,false,23,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,4,0,false
D:\trabCKMetrics\repos\lottie-react-nativelottie-react-native\src\android\src\main\java\com\airbnb\android\react\lottie\LottieAnimationViewManager.java,com.airbnb.android.react.lottie.LottieAnimationViewManager$Anonymous2$Anonymous3,onViewDetachedFromWindow/1[com.airbnb.android.react.lottie.View],false,147,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
