file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\lzyzsdJsBridge\example\src\main\java\com\github\lzyzsd\jsbridge\example\MainActivity.java,com.github.lzyzsd.jsbridge.example.MainActivity$Anonymous3,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,-1,0
D:\trabCKMetrics\repos\lzyzsdJsBridge\library\src\main\java\com\github\lzyzsd\jsbridge\BridgeWebViewClient.java,com.github.lzyzsd.jsbridge.BridgeWebViewClient$OnLoadJSListener,interface,0,0,0,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
D:\trabCKMetrics\repos\lzyzsdJsBridge\example\src\main\java\com\github\lzyzsd\jsbridge\example\MainActivity.java,com.github.lzyzsd.jsbridge.example.MainActivity$Anonymous1,anonymous,5,5,0,5,4,1,0,2,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,2,0,2,0,0,0,0,0,0,22,-1,0
D:\trabCKMetrics\repos\lzyzsdJsBridge\example\src\main\java\com\github\lzyzsd\jsbridge\example\MainActivity.java,com.github.lzyzsd.jsbridge.example.MainActivity$Anonymous2,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,-1,0
D:\trabCKMetrics\repos\lzyzsdJsBridge\example\src\main\java\com\github\lzyzsd\jsbridge\example\CustomWebView.java,com.github.lzyzsd.jsbridge.example.CustomWebView$Anonymous1,anonymous,2,2,0,2,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
D:\trabCKMetrics\repos\lzyzsdJsBridge\example\src\main\java\com\github\lzyzsd\jsbridge\example\CustomWebView.java,com.github.lzyzsd.jsbridge.example.CustomWebView,class,11,12,1,11,11,2,0,13,15,0.4,0.0,0.0,10,0,9,1,0,0,9,0,0,0,1,0,0,1,0,0,0,0,0,51,0,0,0,0,0,1,0,1,0,1,1,1,0,0,52,1,0
D:\trabCKMetrics\repos\lzyzsdJsBridge\library\src\main\java\com\github\lzyzsd\jsbridge\OnBridgeCallback.java,com.github.lzyzsd.jsbridge.OnBridgeCallback,interface,0,5,5,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
D:\trabCKMetrics\repos\lzyzsdJsBridge\example\src\main\java\com\github\lzyzsd\jsbridge\example\MainActivity.java,com.github.lzyzsd.jsbridge.example.MainActivity$User,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,8,0
D:\trabCKMetrics\repos\lzyzsdJsBridge\example\src\main\java\com\github\lzyzsd\jsbridge\example\MainJavascrotInterface.java,com.github.lzyzsd.jsbridge.example.MainJavascrotInterface,class,4,5,1,4,3,2,0,4,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,1,14,1,0,0,0,0,5,0,1,1,1,0,0,0,0,19,1,0
D:\trabCKMetrics\repos\lzyzsdJsBridge\library\src\main\java\com\github\lzyzsd\jsbridge\BridgeWebView.java,com.github.lzyzsd.jsbridge.BridgeWebView,class,18,22,4,18,40,2,0,30,143,0.9234449,0.0,0.0,19,0,15,4,0,0,15,0,0,0,11,1,1,7,0,3,2,0,7,164,5,1,10,0,4,2,2,27,2,17,2,1,1,0,86,1,0
