file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\lzyzsdJsBridge\example\src\main\java\com\github\lzyzsd\jsbridge\example\MainActivity.java,com.github.lzyzsd.jsbridge.example.MainActivity$Anonymous3,onCallBack/1[java.lang.String],false,136,0,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,1,0,false
D:\trabCKMetrics\repos\lzyzsdJsBridge\library\src\main\java\com\github\lzyzsd\jsbridge\BridgeWebViewClient.java,com.github.lzyzsd.jsbridge.BridgeWebViewClient$OnLoadJSListener,onLoadFinished/0,false,255,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
D:\trabCKMetrics\repos\lzyzsdJsBridge\library\src\main\java\com\github\lzyzsd\jsbridge\BridgeWebViewClient.java,com.github.lzyzsd.jsbridge.BridgeWebViewClient$OnLoadJSListener,onLoadStart/0,false,253,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
D:\trabCKMetrics\repos\lzyzsdJsBridge\example\src\main\java\com\github\lzyzsd\jsbridge\example\MainActivity.java,com.github.lzyzsd.jsbridge.example.MainActivity$Anonymous1,openFileChooser/1[com.github.lzyzsd.jsbridge.example.ValueCallback<com.github.lzyzsd.jsbridge.example.Uri>],false,67,2,3,2,1,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,false
D:\trabCKMetrics\repos\lzyzsdJsBridge\example\src\main\java\com\github\lzyzsd\jsbridge\example\MainActivity.java,com.github.lzyzsd.jsbridge.example.MainActivity$Anonymous1,"onShowFileChooser/3[com.github.lzyzsd.jsbridge.example.WebView,com.github.lzyzsd.jsbridge.example.ValueCallback<com.github.lzyzsd.jsbridge.example.Uri[]>,com.github.lzyzsd.jsbridge.example.FileChooserParams]",false,73,4,1,0,1,1,1,5,1,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,1,0,false
D:\trabCKMetrics\repos\lzyzsdJsBridge\example\src\main\java\com\github\lzyzsd\jsbridge\example\MainActivity.java,com.github.lzyzsd.jsbridge.example.MainActivity$Anonymous1,"openFileChooser/2[com.github.lzyzsd.jsbridge.example.ValueCallback<com.github.lzyzsd.jsbridge.example.Uri>,java.lang.String]",false,63,2,1,0,1,1,1,3,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,false
D:\trabCKMetrics\repos\lzyzsdJsBridge\example\src\main\java\com\github\lzyzsd\jsbridge\example\MainActivity.java,com.github.lzyzsd.jsbridge.example.MainActivity$Anonymous1,"openFileChooser/3[com.github.lzyzsd.jsbridge.example.ValueCallback<com.github.lzyzsd.jsbridge.example.Uri>,java.lang.String,java.lang.String]",false,58,2,1,0,1,1,1,3,0,0,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,false
D:\trabCKMetrics\repos\lzyzsdJsBridge\example\src\main\java\com\github\lzyzsd\jsbridge\example\MainActivity.java,com.github.lzyzsd.jsbridge.example.MainActivity$Anonymous2,onCallBack/1[java.lang.String],false,92,0,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\lzyzsdJsBridge\example\src\main\java\com\github\lzyzsd\jsbridge\example\CustomWebView.java,com.github.lzyzsd.jsbridge.example.CustomWebView$Anonymous1,"shouldOverrideUrlLoading/2[com.github.lzyzsd.jsbridge.example.WebView,java.lang.String]",false,58,2,1,0,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
D:\trabCKMetrics\repos\lzyzsdJsBridge\example\src\main\java\com\github\lzyzsd\jsbridge\example\CustomWebView.java,com.github.lzyzsd.jsbridge.example.CustomWebView$Anonymous1,"onPageFinished/2[com.github.lzyzsd.jsbridge.example.WebView,java.lang.String]",false,53,2,1,0,1,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\trabCKMetrics\repos\lzyzsdJsBridge\example\src\main\java\com\github\lzyzsd\jsbridge\example\CustomWebView.java,com.github.lzyzsd.jsbridge.example.CustomWebView,setDefaultHandler/1[com.github.lzyzsd.jsbridge.example.BridgeHandler],false,68,2,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,true
D:\trabCKMetrics\repos\lzyzsdJsBridge\example\src\main\java\com\github\lzyzsd\jsbridge\example\CustomWebView.java,com.github.lzyzsd.jsbridge.example.CustomWebView,"CustomWebView/2[com.github.lzyzsd.jsbridge.example.Context,com.github.lzyzsd.jsbridge.example.AttributeSet]",true,27,3,1,0,1,1,1,4,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\trabCKMetrics\repos\lzyzsdJsBridge\example\src\main\java\com\github\lzyzsd\jsbridge\example\CustomWebView.java,com.github.lzyzsd.jsbridge.example.CustomWebView,send/1[java.lang.String],false,73,1,1,0,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
D:\trabCKMetrics\repos\lzyzsdJsBridge\example\src\main\java\com\github\lzyzsd\jsbridge\example\CustomWebView.java,com.github.lzyzsd.jsbridge.example.CustomWebView,"callHandler/3[java.lang.String,java.lang.String,com.github.lzyzsd.jsbridge.example.CallBackFunction]",false,111,2,1,0,1,1,1,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
D:\trabCKMetrics\repos\lzyzsdJsBridge\example\src\main\java\com\github\lzyzsd\jsbridge\example\CustomWebView.java,com.github.lzyzsd.jsbridge.example.CustomWebView,init/0,false,42,2,4,3,1,2,6,18,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1,1,0,0,17,2,0,false
D:\trabCKMetrics\repos\lzyzsdJsBridge\example\src\main\java\com\github\lzyzsd\jsbridge\example\CustomWebView.java,com.github.lzyzsd.jsbridge.example.CustomWebView,"CustomWebView/3[com.github.lzyzsd.jsbridge.example.Context,com.github.lzyzsd.jsbridge.example.AttributeSet,int]",true,32,3,1,0,1,1,1,4,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
D:\trabCKMetrics\repos\lzyzsdJsBridge\example\src\main\java\com\github\lzyzsd\jsbridge\example\CustomWebView.java,com.github.lzyzsd.jsbridge.example.CustomWebView,CustomWebView/1[com.github.lzyzsd.jsbridge.example.Context],true,37,2,1,0,1,1,1,4,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\trabCKMetrics\repos\lzyzsdJsBridge\example\src\main\java\com\github\lzyzsd\jsbridge\example\CustomWebView.java,com.github.lzyzsd.jsbridge.example.CustomWebView,unregisterHandler/1[java.lang.String],false,99,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
D:\trabCKMetrics\repos\lzyzsdJsBridge\example\src\main\java\com\github\lzyzsd\jsbridge\example\CustomWebView.java,com.github.lzyzsd.jsbridge.example.CustomWebView,"registerHandler/2[java.lang.String,com.github.lzyzsd.jsbridge.example.BridgeHandler]",false,90,2,1,0,1,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
D:\trabCKMetrics\repos\lzyzsdJsBridge\example\src\main\java\com\github\lzyzsd\jsbridge\example\CustomWebView.java,com.github.lzyzsd.jsbridge.example.CustomWebView,"send/2[java.lang.String,com.github.lzyzsd.jsbridge.example.CallBackFunction]",false,78,2,2,1,1,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\lzyzsdJsBridge\library\src\main\java\com\github\lzyzsd\jsbridge\OnBridgeCallback.java,com.github.lzyzsd.jsbridge.OnBridgeCallback,onCallBack/1[java.lang.String],false,5,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
D:\trabCKMetrics\repos\lzyzsdJsBridge\example\src\main\java\com\github\lzyzsd\jsbridge\example\MainJavascrotInterface.java,com.github.lzyzsd.jsbridge.example.MainJavascrotInterface,send/1[java.lang.String],false,26,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\lzyzsdJsBridge\example\src\main\java\com\github\lzyzsd\jsbridge\example\MainJavascrotInterface.java,com.github.lzyzsd.jsbridge.example.MainJavascrotInterface,"submitFromWeb/2[java.lang.String,java.lang.String]",false,32,2,1,0,1,1,4,4,0,0,2,4,0,0,0,0,0,0,4,0,0,1,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\lzyzsdJsBridge\example\src\main\java\com\github\lzyzsd\jsbridge\example\MainJavascrotInterface.java,com.github.lzyzsd.jsbridge.example.MainJavascrotInterface,"MainJavascrotInterface/2[java.util.Map<java.lang.String,com.github.lzyzsd.jsbridge.OnBridgeCallback>,com.github.lzyzsd.jsbridge.BridgeWebView]",true,20,2,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
D:\trabCKMetrics\repos\lzyzsdJsBridge\library\src\main\java\com\github\lzyzsd\jsbridge\BridgeWebView.java,com.github.lzyzsd.jsbridge.BridgeWebView,getCallbacks/0,false,88,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\lzyzsdJsBridge\library\src\main\java\com\github\lzyzsd\jsbridge\BridgeWebView.java,com.github.lzyzsd.jsbridge.BridgeWebView,onLoadStart/0,false,98,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
D:\trabCKMetrics\repos\lzyzsdJsBridge\library\src\main\java\com\github\lzyzsd\jsbridge\BridgeWebView.java,com.github.lzyzsd.jsbridge.BridgeWebView,"doSend/3[java.lang.String,java.lang.Object,com.github.lzyzsd.jsbridge.OnBridgeCallback]",false,153,3,4,2,2,7,6,18,1,2,3,6,1,2,0,3,0,3,0,0,5,2,1,0,0,0,21,2,0,true
D:\trabCKMetrics\repos\lzyzsdJsBridge\library\src\main\java\com\github\lzyzsd\jsbridge\BridgeWebView.java,com.github.lzyzsd.jsbridge.BridgeWebView,BridgeWebView/1[com.github.lzyzsd.jsbridge.Context],true,60,2,1,0,1,1,1,4,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\trabCKMetrics\repos\lzyzsdJsBridge\library\src\main\java\com\github\lzyzsd\jsbridge\BridgeWebView.java,com.github.lzyzsd.jsbridge.BridgeWebView,onLoadFinished/0,false,103,1,1,0,1,3,1,9,0,0,0,1,1,1,1,1,0,0,0,0,2,0,2,0,0,0,14,1,0,false
D:\trabCKMetrics\repos\lzyzsdJsBridge\library\src\main\java\com\github\lzyzsd\jsbridge\BridgeWebView.java,com.github.lzyzsd.jsbridge.BridgeWebView,dispatchMessage/1[java.lang.Object],false,190,0,4,4,0,5,9,16,1,2,1,9,0,0,0,2,0,0,0,0,3,0,2,0,0,0,22,2,0,true
D:\trabCKMetrics\repos\lzyzsdJsBridge\library\src\main\java\com\github\lzyzsd\jsbridge\BridgeWebView.java,com.github.lzyzsd.jsbridge.BridgeWebView,setWebViewClient/1[com.github.lzyzsd.jsbridge.WebViewClient],false,93,2,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\lzyzsdJsBridge\library\src\main\java\com\github\lzyzsd\jsbridge\BridgeWebView.java,com.github.lzyzsd.jsbridge.BridgeWebView,setGson/1[com.github.lzyzsd.jsbridge.Gson],false,80,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\lzyzsdJsBridge\library\src\main\java\com\github\lzyzsd\jsbridge\BridgeWebView.java,com.github.lzyzsd.jsbridge.BridgeWebView,"sendToWeb/2[java.lang.Object,com.github.lzyzsd.jsbridge.OnBridgeCallback]",false,119,2,2,1,1,1,1,3,0,0,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
D:\trabCKMetrics\repos\lzyzsdJsBridge\library\src\main\java\com\github\lzyzsd\jsbridge\BridgeWebView.java,com.github.lzyzsd.jsbridge.BridgeWebView,"sendToWeb/2[java.lang.String,java.lang.Object[]]",false,137,0,0,0,0,2,5,7,0,1,2,5,0,0,0,1,0,0,0,0,2,0,1,0,0,0,8,1,0,false
D:\trabCKMetrics\repos\lzyzsdJsBridge\library\src\main\java\com\github\lzyzsd\jsbridge\BridgeWebView.java,com.github.lzyzsd.jsbridge.BridgeWebView,queueMessage/1[java.lang.Object],false,177,1,2,1,1,2,2,8,0,0,1,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,8,2,0,true
