file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\material-componentsmaterial-components-android\lib\java\com\google\android\material\floatingactionbutton\ExtendedFloatingActionButton.java,com.google.android.material.floatingactionbutton.ExtendedFloatingActionButton$ShowStrategy,onAnimationEnd/0,false,1240,0,0,0,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,1,0,false
D:\trabCKMetrics\repos\material-componentsmaterial-components-android\lib\java\com\google\android\material\floatingactionbutton\ExtendedFloatingActionButton.java,com.google.android.material.floatingactionbutton.ExtendedFloatingActionButton$ShowStrategy,shouldCancel/0,false,1246,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
D:\trabCKMetrics\repos\material-componentsmaterial-components-android\lib\java\com\google\android\material\floatingactionbutton\ExtendedFloatingActionButton.java,com.google.android.material.floatingactionbutton.ExtendedFloatingActionButton$ShowStrategy,performNow/0,false,1213,0,0,0,0,1,4,6,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15,1,0,false
D:\trabCKMetrics\repos\material-componentsmaterial-components-android\lib\java\com\google\android\material\floatingactionbutton\ExtendedFloatingActionButton.java,com.google.android.material.floatingactionbutton.ExtendedFloatingActionButton$ShowStrategy,getDefaultMotionSpecResource/0,false,1228,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\material-componentsmaterial-components-android\lib\java\com\google\android\material\floatingactionbutton\ExtendedFloatingActionButton.java,com.google.android.material.floatingactionbutton.ExtendedFloatingActionButton$ShowStrategy,onAnimationStart/1[com.google.android.material.floatingactionbutton.Animator],false,1233,1,0,0,0,1,2,5,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,1,0,false
D:\trabCKMetrics\repos\material-componentsmaterial-components-android\lib\java\com\google\android\material\floatingactionbutton\ExtendedFloatingActionButton.java,com.google.android.material.floatingactionbutton.ExtendedFloatingActionButton$ShowStrategy,onChange/1[com.google.android.material.floatingactionbutton.ExtendedFloatingActionButton.OnChangedCallback],false,1221,2,1,0,1,2,1,5,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,1,0,false
D:\trabCKMetrics\repos\material-componentsmaterial-components-android\lib\java\com\google\android\material\floatingactionbutton\ExtendedFloatingActionButton.java,com.google.android.material.floatingactionbutton.ExtendedFloatingActionButton$ShowStrategy,ShowStrategy/1[com.google.android.material.floatingactionbutton.AnimatorTracker],true,1208,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\material-componentsmaterial-components-android\lib\java\com\google\android\material\internal\TextDrawableHelper.java,com.google.android.material.internal.TextDrawableHelper,TextDrawableHelper/1[com.google.android.material.internal.TextDrawableHelper.TextDrawableDelegate],true,76,3,3,2,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,true
D:\trabCKMetrics\repos\material-componentsmaterial-components-android\lib\java\com\google\android\material\internal\TextDrawableHelper.java,com.google.android.material.internal.TextDrawableHelper,getTextWidth/1[java.lang.String],false,99,1,5,4,1,2,1,8,2,0,1,1,1,1,0,0,0,0,0,0,2,0,1,0,0,0,16,1,0,true
D:\trabCKMetrics\repos\material-componentsmaterial-components-android\lib\java\com\google\android\material\internal\TextDrawableHelper.java,com.google.android.material.internal.TextDrawableHelper,calculateTextWidth/1[java.lang.CharSequence],false,109,1,1,1,0,2,2,6,2,0,1,2,0,0,0,1,0,0,0,2,0,0,1,0,0,0,8,2,0,false
D:\trabCKMetrics\repos\material-componentsmaterial-components-android\lib\java\com\google\android\material\internal\TextDrawableHelper.java,com.google.android.material.internal.TextDrawableHelper,setTextWidthDirty/1[boolean],false,90,0,4,4,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
D:\trabCKMetrics\repos\material-componentsmaterial-components-android\lib\java\com\google\android\material\internal\TextDrawableHelper.java,com.google.android.material.internal.TextDrawableHelper,isTextWidthDirty/0,false,94,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\material-componentsmaterial-components-android\lib\java\com\google\android\material\internal\TextDrawableHelper.java,com.google.android.material.internal.TextDrawableHelper,"setTextAppearance/2[com.google.android.material.resources.TextAppearance,com.google.android.material.internal.Context]",false,133,4,8,3,5,5,6,19,0,2,2,6,0,0,0,4,0,0,0,0,5,0,3,0,0,0,23,1,0,true
D:\trabCKMetrics\repos\material-componentsmaterial-components-android\lib\java\com\google\android\material\internal\TextDrawableHelper.java,com.google.android.material.internal.TextDrawableHelper,setDelegate/1[com.google.android.material.internal.TextDrawableHelper.TextDrawableDelegate],false,81,2,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,true
D:\trabCKMetrics\repos\material-componentsmaterial-components-android\lib\java\com\google\android\material\internal\TextDrawableHelper.java,com.google.android.material.internal.TextDrawableHelper,getTextPaint/0,false,86,2,13,13,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\material-componentsmaterial-components-android\lib\java\com\google\android\material\internal\TextDrawableHelper.java,com.google.android.material.internal.TextDrawableHelper,getTextAppearance/0,false,122,2,7,7,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
