file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\meterspheremetersphere\backend\src\main\java\io\metersphere\api\controller\ApiScenarioModuleController.java,io.metersphere.api.controller.ApiScenarioModuleController,class,14,14,0,14,7,1,0,9,0,0.35714287,0.0,0.0,7,0,7,0,0,0,7,0,0,0,2,0,0,1,0,1,0,0,0,27,5,0,0,0,0,21,0,0,0,2,0,0,0,0,31,1,0
D:\trabCKMetrics\repos\meterspheremetersphere\backend\src\main\java\io\metersphere\service\WorkspaceService.java,io.metersphere.service.WorkspaceService,class,39,44,5,39,41,1,0,94,68,0.8658009,0.0,0.0,21,0,20,1,0,0,20,0,0,0,11,0,0,11,0,0,0,0,41,234,17,1,4,0,0,14,5,46,1,58,3,0,0,3,78,1,0
D:\trabCKMetrics\repos\meterspheremetersphere\backend\src\main\java\io\metersphere\config\AsyncConfig.java,io.metersphere.config.AsyncConfig,class,5,5,0,5,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,1,1,1,0,1,0,0,0,0,12,1,0
D:\trabCKMetrics\repos\meterspheremetersphere\backend\src\main\java\io\metersphere\api\dto\definition\SaveApiDefinitionRequest.java,io.metersphere.api.dto.definition.SaveApiDefinitionRequest,class,5,9,4,5,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,23,0,0,23,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,23,0,0,0,0,40,1,0
D:\trabCKMetrics\repos\meterspheremetersphere\backend\src\main\java\io\metersphere\notice\service\NoticeService.java,io.metersphere.notice.service.NoticeService,class,19,22,3,19,29,1,0,88,36,0.77777785,0.0,0.0,12,1,7,5,0,0,7,0,0,0,3,0,0,3,0,0,0,0,24,170,15,2,3,4,0,4,2,37,1,40,2,0,0,2,64,1,3
D:\trabCKMetrics\repos\meterspheremetersphere\backend\src\main\java\io\metersphere\api\dto\definition\parse\har\model\HarEntry.java,io.metersphere.api.dto.definition.parse.har.model.HarEntry,class,5,11,6,5,3,1,0,1,0,0.45,0.0,0.0,2,0,2,0,0,0,2,0,0,0,10,0,10,0,0,0,0,0,0,21,3,0,1,0,0,11,1,0,1,10,1,0,0,0,27,1,0
D:\trabCKMetrics\repos\meterspheremetersphere\backend\src\main\java\io\metersphere\base\mapper\ext\ExtNotificationMapper.java,io.metersphere.base.mapper.ext.ExtNotificationMapper,interface,2,3,1,2,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,11,1,0
D:\trabCKMetrics\repos\meterspheremetersphere\backend\src\main\java\io\metersphere\dto\IssueTemplateDao.java,io.metersphere.dto.IssueTemplateDao,class,3,6,3,3,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0
D:\trabCKMetrics\repos\meterspheremetersphere\backend\src\main\java\io\metersphere\track\controller\TestPlanScenarioCaseController.java,io.metersphere.track.controller.TestPlanScenarioCaseController,class,19,19,0,19,11,1,0,17,0,0.0,0.0,0.0,11,0,11,0,0,0,11,0,0,0,1,0,0,0,0,1,0,0,2,42,9,0,0,0,0,23,0,2,0,3,0,0,0,0,44,1,0
D:\trabCKMetrics\repos\meterspheremetersphere\backend\src\main\java\io\metersphere\security\UserModularRealmAuthenticator.java,io.metersphere.security.UserModularRealmAuthenticator,class,6,7,1,6,6,2,0,11,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,26,2,1,3,0,0,1,3,4,0,4,2,0,0,0,25,1,0
D:\trabCKMetrics\repos\meterspheremetersphere\backend\src\main\java\io\metersphere\dto\CustomFieldItemDTO.java,io.metersphere.dto.CustomFieldItemDTO,class,1,5,4,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,12,1,0
D:\trabCKMetrics\repos\meterspheremetersphere\backend\src\main\java\io\metersphere\base\domain\ApiTest.java,io.metersphere.base.domain.ApiTest,class,1,9,8,1,0,1,1,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,10,1,0,10,0,0,1,0,0,12,0,0,0,0,0,0,1,1,0,10,0,0,0,0,23,1,0
D:\trabCKMetrics\repos\meterspheremetersphere\backend\src\main\java\io\metersphere\track\dto\PlanReportIssueDTO.java,io.metersphere.track.dto.PlanReportIssueDTO,class,3,5,2,3,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,1,0
D:\trabCKMetrics\repos\meterspheremetersphere\backend\src\main\java\io\metersphere\api\dto\ApiTestEnvironmentDTO.java,io.metersphere.api.dto.ApiTestEnvironmentDTO,class,2,4,2,2,0,3,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,1,0
D:\trabCKMetrics\repos\meterspheremetersphere\backend\src\main\java\io\metersphere\base\domain\IssueTemplate.java,io.metersphere.base.domain.IssueTemplate,class,1,8,7,1,0,1,2,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,13,1,0,13,0,0,1,0,0,15,0,0,0,0,0,0,1,1,0,13,0,0,0,0,26,1,0
D:\trabCKMetrics\repos\meterspheremetersphere\backend\src\main\java\io\metersphere\api\dto\scenario\extract\Extract.java,io.metersphere.api.dto.scenario.extract.Extract,class,4,5,1,4,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,1,0
D:\trabCKMetrics\repos\meterspheremetersphere\backend\src\main\java\io\metersphere\base\mapper\IssuesMapper.java,io.metersphere.base.mapper.IssuesMapper,interface,4,12,8,4,14,1,0,0,91,0.0,0.0,0.0,14,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,6,0,0,0,0,0,0,0,0,20,1,0
D:\trabCKMetrics\repos\meterspheremetersphere\backend\src\main\java\io\metersphere\controller\ServiceIntegrationController.java,io.metersphere.controller.ServiceIntegrationController,class,11,11,0,11,4,1,0,4,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,15,3,0,0,0,0,9,0,0,0,1,0,0,0,0,17,1,0
D:\trabCKMetrics\repos\meterspheremetersphere\backend\src\main\java\io\metersphere\track\request\testcase\TestPlanCaseBatchRequest.java,io.metersphere.track.request.testcase.TestPlanCaseBatchRequest,class,4,6,2,4,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,1,0
D:\trabCKMetrics\repos\meterspheremetersphere\backend\src\main\java\io\metersphere\base\domain\TestPlanApiScenarioExample.java,io.metersphere.base.domain.TestPlanApiScenarioExample$Criterion,innerclass,0,0,0,0,14,1,0,0,22,0.75,0.0,0.0,13,0,8,0,5,0,13,0,0,0,8,0,0,8,0,0,0,0,0,66,8,0,0,0,0,0,0,13,0,8,1,0,0,0,23,9,0
D:\trabCKMetrics\repos\meterspheremetersphere\backend\src\main\java\io\metersphere\base\mapper\ext\ExtApiTestReportMapper.java,io.metersphere.base.mapper.ext.ExtApiTestReportMapper,interface,5,6,1,5,6,1,0,0,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,36,1,0
D:\trabCKMetrics\repos\meterspheremetersphere\backend\src\main\java\io\metersphere\base\mapper\TestCaseNodeMapper.java,io.metersphere.base.mapper.TestCaseNodeMapper,interface,3,5,2,3,11,1,0,0,55,0.0,0.0,0.0,11,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,4,0,0,0,0,0,0,0,0,17,1,0
D:\trabCKMetrics\repos\meterspheremetersphere\backend\src\main\java\io\metersphere\base\domain\AuthSourceExample.java,io.metersphere.base.domain.AuthSourceExample$Criteria,innerclass,1,1,0,1,1,2,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0
D:\trabCKMetrics\repos\meterspheremetersphere\backend\src\main\java\io\metersphere\log\utils\dff\DiffFlags.java,io.metersphere.log.utils.dff.DiffFlags,enum,1,3,2,1,2,1,0,2,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,135,1,0
D:\trabCKMetrics\repos\meterspheremetersphere\backend\src\main\java\io\metersphere\api\dto\definition\parse\postman\PostmanKeyValue.java,io.metersphere.api.dto.definition.parse.postman.PostmanKeyValue,class,1,4,3,1,2,1,0,0,1,0.6666667,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,2,0,3,0,0,0,0,6,1,0
D:\trabCKMetrics\repos\meterspheremetersphere\backend\src\main\java\io\metersphere\base\domain\ProjectExample.java,io.metersphere.base.domain.ProjectExample$Criteria,innerclass,1,1,0,1,1,2,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0
D:\trabCKMetrics\repos\meterspheremetersphere\backend\src\main\java\io\metersphere\base\domain\ApiDefinitionEnvExample.java,io.metersphere.base.domain.ApiDefinitionEnvExample,class,3,6,3,3,12,2,0,4,13,0.6363637,0.0,0.0,11,0,10,0,1,0,11,0,0,0,3,0,0,0,3,0,0,0,0,416,6,0,1,0,0,0,1,8,0,6,1,0,3,0,23,1,0
D:\trabCKMetrics\repos\meterspheremetersphere\backend\src\main\java\io\metersphere\track\dto\TestReviewDTOWithMetric.java,io.metersphere.track.dto.TestReviewDTOWithMetric,class,3,6,3,3,0,3,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,15,1,0
D:\trabCKMetrics\repos\meterspheremetersphere\backend\src\main\java\io\metersphere\api\dto\definition\ApiTestCaseBatchRequest.java,io.metersphere.api.dto.definition.ApiTestCaseBatchRequest,class,2,2,0,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
D:\trabCKMetrics\repos\meterspheremetersphere\backend\src\main\java\io\metersphere\controller\request\QueryCustomFieldRequest.java,io.metersphere.controller.request.QueryCustomFieldRequest,class,3,6,3,3,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,11,1,0
D:\trabCKMetrics\repos\meterspheremetersphere\backend\src\main\java\io\metersphere\controller\request\AddProjectRequest.java,io.metersphere.controller.request.AddProjectRequest,class,3,4,1,3,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0
D:\trabCKMetrics\repos\meterspheremetersphere\backend\src\main\java\io\metersphere\ldap\service\SSLLdapContextSource.java,io.metersphere.ldap.service.SSLLdapContextSource,class,2,3,1,2,1,2,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,4,0,1,0,1,0,0,0,0,9,1,0
D:\trabCKMetrics\repos\meterspheremetersphere\backend\src\main\java\io\metersphere\api\dto\definition\request\extract\MsExtractRegex.java,io.metersphere.api.dto.definition.request.extract.MsExtractRegex,class,3,5,2,3,1,3,0,1,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,1,0
D:\trabCKMetrics\repos\meterspheremetersphere\backend\src\main\java\io\metersphere\base\mapper\GroupMapper.java,io.metersphere.base.mapper.GroupMapper,interface,3,8,5,3,11,1,0,0,55,0.0,0.0,0.0,11,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,4,0,0,0,0,0,0,0,0,15,1,0
D:\trabCKMetrics\repos\meterspheremetersphere\backend\src\main\java\io\metersphere\api\dto\definition\ApiTestCaseBLOBsDTO.java,io.metersphere.api.dto.definition.ApiTestCaseBLOBsDTO,class,3,3,0,3,0,3,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,19,1,0
