file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\microgGmsCore\firebase-dynamic-links-api\src\main\java\com\google\firebase\dynamiclinks\internal\Warning.java,com.google.firebase.dynamiclinks.internal.Warning,Warning/0,true,32,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\microgGmsCore\play-services-gcm\src\main\java\com\google\android\gms\gcm\PeriodicTask.java,com.google.android.gms.gcm.PeriodicTask,"writeToParcel/2[com.google.android.gms.gcm.Parcel,int]",false,84,1,0,0,0,1,2,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\microgGmsCore\play-services-gcm\src\main\java\com\google\android\gms\gcm\PeriodicTask.java,com.google.android.gms.gcm.PeriodicTask,PeriodicTask/1[com.google.android.gms.gcm.Parcel],true,48,1,0,0,0,1,2,5,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,2,0,false
D:\trabCKMetrics\repos\microgGmsCore\play-services-gcm\src\main\java\com\google\android\gms\gcm\PeriodicTask.java,com.google.android.gms.gcm.PeriodicTask,getFlex/0,false,59,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,true
D:\trabCKMetrics\repos\microgGmsCore\play-services-gcm\src\main\java\com\google\android\gms\gcm\PeriodicTask.java,com.google.android.gms.gcm.PeriodicTask,toString/0,false,80,1,2,0,2,1,3,3,1,0,0,3,2,1,0,0,0,0,2,0,0,1,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\microgGmsCore\play-services-gcm\src\main\java\com\google\android\gms\gcm\PeriodicTask.java,com.google.android.gms.gcm.PeriodicTask,getPeriod/0,false,66,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,true
D:\trabCKMetrics\repos\microgGmsCore\play-services-gcm\src\main\java\com\google\android\gms\gcm\PeriodicTask.java,com.google.android.gms.gcm.PeriodicTask,PeriodicTask/1[com.google.android.gms.gcm.PeriodicTask.Builder],true,42,1,2,2,0,1,1,5,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,2,0,false
D:\trabCKMetrics\repos\microgGmsCore\play-services-gcm\src\main\java\com\google\android\gms\gcm\PeriodicTask.java,com.google.android.gms.gcm.PeriodicTask,toBundle/1[com.google.android.gms.gcm.Bundle],false,74,1,0,0,0,1,2,5,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,13,1,0,true
D:\trabCKMetrics\repos\microgGmsCore\play-services-wearable-api\src\main\java\com\google\android\gms\wearable\internal\DataItemAssetParcelable.java,com.google.android.gms.wearable.internal.DataItemAssetParcelable,isDataValid/0,false,57,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\microgGmsCore\play-services-wearable-api\src\main\java\com\google\android\gms\wearable\internal\DataItemAssetParcelable.java,com.google.android.gms.wearable.internal.DataItemAssetParcelable,"DataItemAssetParcelable/2[java.lang.String,java.lang.String]",true,36,0,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,false
D:\trabCKMetrics\repos\microgGmsCore\play-services-wearable-api\src\main\java\com\google\android\gms\wearable\internal\DataItemAssetParcelable.java,com.google.android.gms.wearable.internal.DataItemAssetParcelable,freeze/0,false,52,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\microgGmsCore\play-services-wearable-api\src\main\java\com\google\android\gms\wearable\internal\DataItemAssetParcelable.java,com.google.android.gms.wearable.internal.DataItemAssetParcelable,getDataItemKey/0,false,42,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\microgGmsCore\play-services-wearable-api\src\main\java\com\google\android\gms\wearable\internal\DataItemAssetParcelable.java,com.google.android.gms.wearable.internal.DataItemAssetParcelable,getId/0,false,47,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\trabCKMetrics\repos\microgGmsCore\play-services-wearable-api\src\main\java\com\google\android\gms\wearable\internal\DataItemAssetParcelable.java,com.google.android.gms.wearable.internal.DataItemAssetParcelable,DataItemAssetParcelable/0,true,33,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,false
D:\trabCKMetrics\repos\microgGmsCore\play-services-core\src\main\java\org\microg\gms\places\PlaceDetectionServiceImpl.java,org.microg.gms.places.PlaceDetectionServiceImpl,"onTransact/4[int,org.microg.gms.places.Parcel,org.microg.gms.places.Parcel,int]",false,29,1,0,0,0,2,2,5,2,0,4,2,0,0,0,0,0,0,3,0,0,1,1,0,0,0,9,1,0,false
D:\trabCKMetrics\repos\microgGmsCore\play-services-core\src\main\java\org\microg\gms\gcm\PushRegisterManager.java,org.microg.gms.gcm.PushRegisterManager,"completeRegisterRequest/4[org.microg.gms.gcm.Context,org.microg.gms.gcm.GcmDatabase,org.microg.gms.gcm.RegisterRequest,org.microg.gms.gcm.PushRegisterManager.BundleCallback]",false,67,5,1,0,1,1,1,3,0,0,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,false
D:\trabCKMetrics\repos\microgGmsCore\play-services-core\src\main\java\org\microg\gms\gcm\PushRegisterManager.java,org.microg.gms.gcm.PushRegisterManager,"completeRegisterRequest/5[org.microg.gms.gcm.Context,org.microg.gms.gcm.GcmDatabase,java.lang.String,org.microg.gms.gcm.RegisterRequest,org.microg.gms.gcm.PushRegisterManager.BundleCallback]",false,71,11,13,1,12,14,18,40,2,4,5,18,1,1,0,4,0,2,0,2,7,0,3,1,0,0,19,9,0,false
D:\trabCKMetrics\repos\microgGmsCore\play-services-core\src\main\java\org\microg\gms\gcm\PushRegisterManager.java,org.microg.gms.gcm.PushRegisterManager,"unregister/5[org.microg.gms.gcm.Context,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",false,39,5,8,1,7,3,14,18,1,2,5,14,0,0,0,0,1,0,0,0,3,0,1,0,0,0,17,9,0,false
D:\trabCKMetrics\repos\microgGmsCore\play-services-core\src\main\java\org\microg\gms\gcm\PushRegisterManager.java,org.microg.gms.gcm.PushRegisterManager,"attachRequestId/2[java.lang.String,java.lang.String]",false,168,0,2,2,0,2,0,4,2,0,2,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,8,9,0,false
