file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\micronaut-projectsmicronaut-core\inject\src\main\java\io\micronaut\inject\annotation\EnvironmentOptionalValuesMap.java,io.micronaut.inject.annotation.EnvironmentOptionalValuesMap,class,6,8,2,6,5,2,0,10,1,0.0,NaN,NaN,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,37,2,1,0,0,0,1,1,7,0,6,3,1,0,1,33,0,0
D:\trabCKMetrics\repos\micronaut-projectsmicronaut-core\inject-java\src\test\groovy\io\micronaut\inject\field\nullableinjection\A.java,io.micronaut.inject.field.nullableinjection.A,interface,0,3,3,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
D:\trabCKMetrics\repos\micronaut-projectsmicronaut-core\inject-java\src\test\groovy\io\micronaut\inject\field\nullableinjection\B.java,io.micronaut.inject.field.nullableinjection.B,class,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0
D:\trabCKMetrics\repos\micronaut-projectsmicronaut-core\inject-java\src\test\groovy\io\micronaut\inject\field\nullableinjection\C.java,io.micronaut.inject.field.nullableinjection.C,class,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0
D:\trabCKMetrics\repos\micronaut-projectsmicronaut-core\inject-java\src\test\groovy\io\micronaut\inject\field\nullableinjection\D.java,io.micronaut.inject.field.nullableinjection.D,class,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0
D:\trabCKMetrics\repos\micronaut-projectsmicronaut-core\http-server\src\main\java\io\micronaut\http\server\types\CustomizableResponseType.java,io.micronaut.http.server.types.CustomizableResponseType,interface,1,5,4,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0
D:\trabCKMetrics\repos\micronaut-projectsmicronaut-core\inject-java\src\main\java\io\micronaut\annotation\processing\visitor\JavaMethodElement.java,io.micronaut.annotation.processing.visitor.JavaMethodElement$Anonymous1,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
D:\trabCKMetrics\repos\micronaut-projectsmicronaut-core\http-client-core\src\main\java\io\micronaut\http\client\loadbalance\DiscoveryClientRoundRobinLoadBalancer.java,io.micronaut.http.client.loadbalance.DiscoveryClientRoundRobinLoadBalancer,class,5,6,1,5,3,2,0,2,0,0.16666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,1,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,56,1,0
D:\trabCKMetrics\repos\micronaut-projectsmicronaut-core\test-suite\src\test\java\io\micronaut\docs\config\converters\MyConfigurationPropertiesSpec.java,io.micronaut.docs.config.converters.MyConfigurationPropertiesSpec,class,6,6,0,6,4,1,0,6,0,0.0,0.0,0.0,3,2,3,0,0,0,3,0,0,0,1,1,0,1,0,0,0,0,2,28,0,0,1,0,0,0,3,3,0,3,1,1,0,0,21,1,0
D:\trabCKMetrics\repos\micronaut-projectsmicronaut-core\http-server-netty\src\main\java\io\micronaut\http\server\netty\handler\accesslog\element\ElapseTimeElement.java,io.micronaut.http.server.netty.handler.accesslog.element.ElapseTimeElement,class,5,7,2,5,9,1,0,6,3,0.71428573,0.0,0.0,7,0,6,0,0,1,7,0,0,0,5,3,2,3,0,0,4,0,6,30,5,0,0,0,1,2,1,7,3,6,0,0,0,0,59,16,0
D:\trabCKMetrics\repos\micronaut-projectsmicronaut-core\inject-java\src\test\groovy\io\micronaut\inject\qualifiers\replaces\DSecondFactoryMethodReplacement.java,io.micronaut.inject.qualifiers.replaces.DSecondFactoryMethodReplacement,class,7,7,0,7,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,0
D:\trabCKMetrics\repos\micronaut-projectsmicronaut-core\runtime\src\main\java\io\micronaut\jackson\serialize\ConvertibleValuesSerializer.java,io.micronaut.jackson.serialize.ConvertibleValuesSerializer,class,5,5,0,5,4,2,0,7,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,1,1,1,0,0,0,0,2,0,2,2,0,0,0,21,1,0
D:\trabCKMetrics\repos\micronaut-projectsmicronaut-core\inject-java\src\test\groovy\io\micronaut\inject\constructor\streaminjection\AnotherImpl.java,io.micronaut.inject.constructor.streaminjection.AnotherImpl,class,2,2,0,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
D:\trabCKMetrics\repos\micronaut-projectsmicronaut-core\test-suite\src\test\java\io\micronaut\docs\server\binding\MovieTicketController.java,io.micronaut.docs.server.binding.MovieTicketController,class,6,6,0,6,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,11,1,0
D:\trabCKMetrics\repos\micronaut-projectsmicronaut-core\tracing\src\test\groovy\io\micronaut\tracing\brave\BuildDebug.java,io.micronaut.tracing.brave.BuildDebug,class,4,6,2,4,5,1,0,13,1,0.0,0.0,0.0,2,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2,24,0,2,0,0,0,5,1,5,0,5,2,0,0,0,26,1,0
