file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\mockitomockito\src\test\java\org\mockitousage\annotation\SpyAnnotationTest.java,org.mockitousage.annotation.SpyAnnotationTest$WithInnerPrivate$InnerPrivate,innerclass,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
D:\trabCKMetrics\repos\mockitomockito\src\test\java\org\mockitousage\spies\StubbingSpiesDoesNotYieldNPETest.java,org.mockitousage.spies.StubbingSpiesDoesNotYieldNPETest$Foo,innerclass,0,0,0,0,3,1,0,3,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
D:\trabCKMetrics\repos\mockitomockito\src\test\java\org\mockito\internal\progress\TimesTest.java,org.mockito.internal.progress.TimesTest,class,5,6,1,5,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,8,0,0,0,0,0,1,1,1,0,1,0,0,0,0,16,1,0
D:\trabCKMetrics\repos\mockitomockito\src\test\java\org\mockito\internal\configuration\MockInjectionTest.java,org.mockito.internal.configuration.MockInjectionTest$AnObjectWithConstructor,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,1,0,0,0,0,8,9,0
D:\trabCKMetrics\repos\mockitomockito\src\test\java\org\mockitousage\bugs\creation\PackagePrivateWithContextClassLoaderTest.java,org.mockitousage.bugs.creation.PackagePrivateWithContextClassLoaderTest$PublicChildOfPackagePrivate,interface,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
D:\trabCKMetrics\repos\mockitomockito\src\main\java\org\mockito\internal\handler\MockHandlerFactory.java,org.mockito.internal.handler.MockHandlerFactory,class,6,8,2,6,2,1,0,0,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,2,0,2,0,0,0,0,12,17,0
D:\trabCKMetrics\repos\mockitomockito\src\test\java\org\mockitousage\serialization\DeepStubsSerializableTest.java,org.mockitousage.serialization.DeepStubsSerializableTest$SampleClass2,innerclass,0,0,0,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,1,0,0,0,0,0,0,0,7,8,0
D:\trabCKMetrics\repos\mockitomockito\src\test\java\org\mockitousage\customization\BDDMockitoTest.java,org.mockitousage.customization.BDDMockitoTest$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,-1,0
D:\trabCKMetrics\repos\mockitomockito\src\test\java\org\mockitousage\customization\BDDMockitoTest.java,org.mockitousage.customization.BDDMockitoTest$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,-1,0
D:\trabCKMetrics\repos\mockitomockito\src\test\java\org\mockitousage\customization\BDDMockitoTest.java,org.mockitousage.customization.BDDMockitoTest$Anonymous3,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,-1,0
D:\trabCKMetrics\repos\mockitomockito\src\main\java\org\mockito\internal\exceptions\stacktrace\StackTraceFilter.java,org.mockito.internal.exceptions.stacktrace.StackTraceFilter,class,4,8,4,4,17,1,0,11,0,0.5833334,0.0,0.0,3,0,3,0,0,0,4,0,0,0,4,4,0,3,0,1,2,0,3,66,6,4,1,2,0,4,2,11,0,9,5,0,0,0,134,1,0
D:\trabCKMetrics\repos\mockitomockito\src\test\java\org\mockitousage\annotation\InjectionOfInlinedMockDeclarationTest.java,org.mockitousage.annotation.InjectionOfInlinedMockDeclarationTest$Tuner,innerclass,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0
D:\trabCKMetrics\repos\mockitomockito\src\test\java\org\mockitousage\stacktrace\PointingStackTraceToActualInvocationTest.java,org.mockitousage.stacktrace.PointingStackTraceToActualInvocationTest,class,9,11,2,9,9,2,0,12,7,0.5714286,0.0,0.0,7,0,3,4,0,0,3,0,0,0,2,0,0,2,0,0,0,0,4,40,0,0,0,2,0,2,8,0,0,2,1,0,0,0,38,1,0
D:\trabCKMetrics\repos\mockitomockito\src\main\java\org\mockito\internal\runners\util\FailureDetector.java,org.mockito.internal.runners.util.FailureDetector,class,2,3,1,2,2,2,0,1,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,23,1,0
