file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\neo4jneo4j\community\server\src\main\java\org\neo4j\server\http\cypher\format\output\json\ExecutionResultSerializer.java,org.neo4j.server.http.cypher.format.output.json.ExecutionResultSerializer$State,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0
D:\trabCKMetrics\repos\neo4jneo4j\community\spatial-index\src\main\java\org\neo4j\gis\spatial\index\curves\HilbertSpaceFillingCurve3D.java,org.neo4j.gis.spatial.index.curves.HilbertSpaceFillingCurve3D$HilbertCurve3D,innerclass,6,6,0,6,28,2,0,16,49,0.72727275,0.0,0.0,11,2,2,8,0,1,3,0,0,0,1,0,0,0,0,1,0,0,20,89,13,4,5,0,0,1,32,21,2,8,2,0,0,1,102,8,0
D:\trabCKMetrics\repos\neo4jneo4j\community\procedure-compiler\processor\src\test\java\org\neo4j\tooling\procedure\procedures\invalid\duplicated\UserFunction2.java,org.neo4j.tooling.procedure.procedures.invalid.duplicated.UserFunction2,class,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,1,0
D:\trabCKMetrics\repos\neo4jneo4j\community\procedure-compiler\processor\src\test\java\org\neo4j\tooling\procedure\procedures\invalid\duplicated\UserFunction1.java,org.neo4j.tooling.procedure.procedures.invalid.duplicated.UserFunction1,class,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,3,0,0,0,0,0,0,0,0,5,1,0
D:\trabCKMetrics\repos\neo4jneo4j\community\codegen\src\main\java\org\neo4j\codegen\TypeReference.java,org.neo4j.codegen.TypeReference$Anonymous1,anonymous,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
D:\trabCKMetrics\repos\neo4jneo4j\community\kernel\src\test\java\org\neo4j\kernel\info\CannedJvmMetadataRepository.java,org.neo4j.kernel.info.CannedJvmMetadataRepository,class,1,2,1,1,6,2,0,2,1,0.6,0.0,0.0,6,0,4,0,0,2,6,0,0,0,5,0,0,5,0,0,5,0,2,29,4,0,0,0,0,0,4,5,0,5,0,0,0,0,19,1,0
D:\trabCKMetrics\repos\neo4jneo4j\community\concurrent\src\main\java\org\neo4j\util\concurrent\SequenceArray.java,org.neo4j.util.concurrent.SequenceArray,class,2,4,2,2,25,1,0,13,0,0.4090909,0.0,0.0,11,0,2,4,0,5,7,0,0,0,6,1,0,6,0,0,2,0,8,112,8,6,5,0,4,6,26,44,28,33,2,0,0,0,65,1,0
D:\trabCKMetrics\repos\neo4jneo4j\community\kernel\src\test\java\org\neo4j\test\GraphDescription.java,org.neo4j.test.GraphDescription$PropType,enum,1,1,0,1,3,1,0,1,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,4,0,0,3,0,0,6,0,0,28,1,0
D:\trabCKMetrics\repos\neo4jneo4j\community\schema\src\main\java\org\neo4j\internal\kernel\api\exceptions\schema\SchemaRuleNotFoundException.java,org.neo4j.internal.kernel.api.exceptions.schema.SchemaRuleNotFoundException,class,3,6,3,3,1,6,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,27,1,0
D:\trabCKMetrics\repos\neo4jneo4j\community\community-it\fabric-it\src\test\java\org\neo4j\fabric\BoltLocalResultStreamTest.java,org.neo4j.fabric.BoltLocalResultStreamTest,class,14,15,1,14,7,1,0,27,9,0.64285713,0.0,0.0,7,2,0,2,0,5,5,0,0,0,2,2,0,2,0,0,0,0,7,50,4,0,0,3,0,18,2,9,0,16,2,0,0,6,41,0,0
D:\trabCKMetrics\repos\neo4jneo4j\community\kernel\src\main\java\org\neo4j\kernel\impl\api\index\PropertyScanConsumer.java,org.neo4j.kernel.impl.api.index.PropertyScanConsumer$Batch,interface,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
D:\trabCKMetrics\repos\neo4jneo4j\community\kernel\src\main\java\org\neo4j\kernel\impl\transaction\log\files\checkpoint\CheckpointLogFile.java,org.neo4j.kernel.impl.transaction.log.files.checkpoint.CheckpointLogFile,class,29,32,3,29,26,2,0,39,40,0.7734375,0.0,0.0,16,1,15,1,0,0,15,0,0,1,8,0,0,8,0,0,7,0,8,130,17,4,2,2,0,4,2,41,1,36,3,0,0,0,77,1,2
D:\trabCKMetrics\repos\neo4jneo4j\community\bolt\src\test\java\org\neo4j\bolt\BoltChannelTest.java,org.neo4j.bolt.BoltChannelTest,class,12,13,1,12,11,1,0,35,0,0.0,0.0,0.0,11,1,0,1,0,10,10,0,0,0,1,0,0,1,0,0,1,0,4,77,1,0,0,0,0,35,1,24,0,24,0,0,0,0,62,0,0
D:\trabCKMetrics\repos\neo4jneo4j\community\community-it\community-it\src\test\java\org\neo4j\server\http\cypher\integration\SnapshotQueryExecutionIT.java,org.neo4j.server.http.cypher.integration.SnapshotQueryExecutionIT,class,21,22,1,21,11,2,0,44,16,0.75,0.0,0.0,8,1,4,4,0,0,4,0,0,0,5,0,0,5,0,0,2,0,7,72,3,1,1,1,0,15,9,18,2,17,2,0,1,3,99,1,0
