file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\pagehelperMybatis-PageHelper\src\test\java\com\github\pagehelper\model\UserQueryModel.java,com.github.pagehelper.model.UserQueryModel,class,0,4,4,0,6,1,2,0,9,0.6666667,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,23,3,0,0,0,0,0,0,3,0,3,0,0,0,0,14,1,0
D:\trabCKMetrics\repos\pagehelperMybatis-PageHelper\src\test\java\com\github\pagehelper\test\rowbounds\RowBoundsTest.java,com.github.pagehelper.test.rowbounds.RowBoundsTest,class,11,11,0,11,5,1,0,13,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,125,0,0,0,5,10,10,98,26,11,17,1,0,1,0,25,1,0
D:\trabCKMetrics\repos\pagehelperMybatis-PageHelper\src\test\java\com\github\pagehelper\rowbounds\test\RowBoundsTest.java,com.github.pagehelper.rowbounds.test.RowBoundsTest$IdBean,innerclass,0,0,0,0,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,6,0,0
D:\trabCKMetrics\repos\pagehelperMybatis-PageHelper\src\test\java\com\github\pagehelper\test\basic\PageHelperTest.java,com.github.pagehelper.test.basic.PageHelperTest,class,8,8,0,8,4,1,0,12,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,95,0,0,0,4,12,9,85,18,8,9,1,0,0,0,24,1,0
D:\trabCKMetrics\repos\pagehelperMybatis-PageHelper\src\main\java\com\github\pagehelper\util\MSUtils.java,com.github.pagehelper.util.MSUtils,class,4,6,2,4,5,1,0,34,1,0.5,0.0,0.0,2,2,2,0,0,0,2,0,0,0,2,2,1,1,0,0,2,0,1,33,2,1,2,0,0,2,3,6,2,6,2,0,0,0,36,1,0
D:\trabCKMetrics\repos\pagehelperMybatis-PageHelper\src\main\java\com\github\pagehelper\QueryInterceptor.java,com.github.pagehelper.QueryInterceptor,class,10,10,0,10,4,1,0,6,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,26,2,0,1,0,0,2,7,10,0,8,1,0,0,0,43,1,0
D:\trabCKMetrics\repos\pagehelperMybatis-PageHelper\src\test\java\com\github\pagehelper\test\basic\CountColumnTest.java,com.github.pagehelper.test.basic.CountColumnTest,class,7,7,0,7,1,1,0,12,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,1,2,2,12,5,0,4,1,0,0,0,16,1,0
D:\trabCKMetrics\repos\pagehelperMybatis-PageHelper\src\main\java\com\github\pagehelper\dialect\rowbounds\InformixRowBoundsDialect.java,com.github.pagehelper.dialect.rowbounds.InformixRowBoundsDialect,class,3,3,0,3,3,3,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,5,3,1,1,1,1,0,0,0,25,1,0
D:\trabCKMetrics\repos\pagehelperMybatis-PageHelper\src\test\java\com\github\pagehelper\test\basic\dynamic\TestDynamicForeach.java,com.github.pagehelper.test.basic.dynamic.TestDynamicForeach,class,7,7,0,7,2,1,0,12,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,38,0,0,0,2,2,0,18,8,0,8,1,0,0,0,23,1,0
D:\trabCKMetrics\repos\pagehelperMybatis-PageHelper\src\test\java\com\github\pagehelper\test\basic\parameter\TestParameterList.java,com.github.pagehelper.test.basic.parameter.TestParameterList,class,7,7,0,7,1,1,0,11,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,1,1,0,8,4,0,4,1,0,0,0,17,1,0
