file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\pentahopentaho-kettle\plugins\google-analytics\core\src\test\java\org\pentaho\di\trans\steps\googleanalytics\GoogleAnalyticsApiFacadeTest.java,org.pentaho.di.trans.steps.googleanalytics.GoogleAnalyticsApiFacadeTest,class,7,7,0,7,3,1,0,4,0,0.16666667,0.0,0.0,3,1,3,0,0,0,3,0,0,0,2,0,1,1,0,0,2,0,2,15,1,0,0,0,0,8,0,2,0,2,0,0,0,0,21,1,0
D:\trabCKMetrics\repos\pentahopentaho-kettle\engine\src\main\java\org\pentaho\di\job\Job.java,org.pentaho.di.job.Job$BitMaskStatus,enum,0,0,0,0,1,1,0,0,0,0.5,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,1,1,1,0,0,2,0,0,6,0,0,0,0,0,0,5,2,0,2,0,0,0,0,37,0,0
D:\trabCKMetrics\repos\pentahopentaho-kettle\engine\src\test\java\org\pentaho\di\trans\steps\formula\FormulaMetaTest.java,org.pentaho.di.trans.steps.formula.FormulaMetaTest$FormulaMetaFunctionFieldLoadSaveValidator,innerclass,3,3,0,3,2,1,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
D:\trabCKMetrics\repos\pentahopentaho-kettle\engine\src\main\java\org\pentaho\di\trans\steps\textfileinput\TextFileFilterProcessor.java,org.pentaho.di.trans.steps.textfileinput.TextFileFilterProcessor,class,1,4,3,1,22,1,0,8,0,0.16666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,66,3,1,3,0,0,0,5,20,1,12,6,0,0,0,54,1,0
D:\trabCKMetrics\repos\pentahopentaho-kettle\ui\src\main\java\org\pentaho\di\ui\trans\steps\userdefinedjavaclass\UserDefinedJavaClassDialog.java,org.pentaho.di.ui.trans.steps.userdefinedjavaclass.UserDefinedJavaClassDialog$Anonymous19,anonymous,6,6,0,6,4,1,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,22,1,0,1,0,0,3,2,2,0,2,2,0,0,0,13,-1,0
D:\trabCKMetrics\repos\pentahopentaho-kettle\ui\src\main\java\org\pentaho\di\ui\trans\steps\userdefinedjavaclass\UserDefinedJavaClassDialog.java,org.pentaho.di.ui.trans.steps.userdefinedjavaclass.UserDefinedJavaClassDialog$Anonymous18,anonymous,3,3,0,3,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,2,0,1,1,0,0,0,13,-1,0
D:\trabCKMetrics\repos\pentahopentaho-kettle\ui\src\main\java\org\pentaho\di\ui\trans\steps\userdefinedjavaclass\UserDefinedJavaClassDialog.java,org.pentaho.di.ui.trans.steps.userdefinedjavaclass.UserDefinedJavaClassDialog$Anonymous17,anonymous,3,3,0,3,5,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,1,1,4,0,2,3,0,0,0,15,-1,0
D:\trabCKMetrics\repos\pentahopentaho-kettle\integration\src\it\java\org\pentaho\di\www\RemoveTransServletIT.java,org.pentaho.di.www.RemoveTransServletIT,class,13,13,0,13,3,1,0,19,0,0.16666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,5,39,0,0,0,0,0,3,2,13,0,13,0,0,0,0,35,1,0
D:\trabCKMetrics\repos\pentahopentaho-kettle\ui\src\main\java\org\pentaho\di\ui\trans\steps\userdefinedjavaclass\UserDefinedJavaClassDialog.java,org.pentaho.di.ui.trans.steps.userdefinedjavaclass.UserDefinedJavaClassDialog$Anonymous16,anonymous,4,4,0,4,1,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,2,0,0,0,0,13,-1,0
D:\trabCKMetrics\repos\pentahopentaho-kettle\ui\src\main\java\org\pentaho\di\ui\job\entries\msgboxinfo\JobEntryMsgBoxInfoDialog.java,org.pentaho.di.ui.job.entries.msgboxinfo.JobEntryMsgBoxInfoDialog,class,30,35,5,30,10,3,0,44,0,0.7142857,0.0,0.0,6,0,4,2,0,0,4,0,0,0,16,1,0,16,0,0,0,0,17,169,2,1,1,0,0,14,20,51,0,29,2,5,0,0,78,1,0
D:\trabCKMetrics\repos\pentahopentaho-kettle\ui\src\main\java\org\pentaho\di\ui\trans\steps\userdefinedjavaclass\UserDefinedJavaClassDialog.java,org.pentaho.di.ui.trans.steps.userdefinedjavaclass.UserDefinedJavaClassDialog$Anonymous15,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,-1,0
D:\trabCKMetrics\repos\pentahopentaho-kettle\ui\src\main\java\org\pentaho\di\ui\trans\steps\userdefinedjavaclass\UserDefinedJavaClassDialog.java,org.pentaho.di.ui.trans.steps.userdefinedjavaclass.UserDefinedJavaClassDialog$Anonymous14,anonymous,4,4,0,4,7,1,0,11,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,58,0,3,3,0,0,9,3,21,3,21,2,0,0,0,23,-1,0
D:\trabCKMetrics\repos\pentahopentaho-kettle\plugins\streaming\impls\mqtt\src\main\java\org\pentaho\di\trans\step\mqtt\MQTTConsumerData.java,org.pentaho.di.trans.step.mqtt.MQTTConsumerData,class,2,3,1,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
D:\trabCKMetrics\repos\pentahopentaho-kettle\ui\src\main\java\org\pentaho\di\ui\trans\steps\userdefinedjavaclass\UserDefinedJavaClassDialog.java,org.pentaho.di.ui.trans.steps.userdefinedjavaclass.UserDefinedJavaClassDialog$Anonymous13,anonymous,2,2,0,2,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
D:\trabCKMetrics\repos\pentahopentaho-kettle\core\src\main\java\org\pentaho\di\core\database\DatabaseInterface.java,org.pentaho.di.core.database.DatabaseInterface,interface,10,122,112,10,187,1,0,3,17391,0.0,0.0,0.0,187,0,0,0,0,187,187,0,0,0,0,0,0,0,0,0,0,0,0,215,11,0,0,0,0,4,0,0,0,0,0,0,0,0,729,1,0
