file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\prestodbpresto\presto-tests\src\test\java\com\facebook\presto\tests\TestMinWorkerRequirement.java,com.facebook.presto.tests.TestMinWorkerRequirement,class,6,6,0,6,4,1,0,17,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,28,0,0,0,4,0,29,6,3,0,3,2,0,0,0,42,1,0
D:\trabCKMetrics\repos\prestodbpresto\presto-main\src\test\java\com\facebook\presto\type\TestBigintOperators.java,com.facebook.presto.type.TestBigintOperators,class,2,2,0,2,30,2,0,4,435,0.0,0.0,0.0,30,0,30,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,5,154,0,0,0,0,0,98,61,1,21,1,0,0,0,0,79,1,0
D:\trabCKMetrics\repos\prestodbpresto\presto-hive-metastore\src\main\java\com\facebook\presto\hive\SchemaAlreadyExistsException.java,com.facebook.presto.hive.SchemaAlreadyExistsException,class,1,5,4,1,3,5,0,1,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,1,13,1,0,0,0,0,1,0,1,0,1,0,0,0,0,10,1,0
D:\trabCKMetrics\repos\prestodbpresto\presto-main\src\main\java\com\facebook\presto\sql\planner\sanity\VerifyOnlyOneOutputNode.java,com.facebook.presto.sql.planner.sanity.VerifyOnlyOneOutputNode,class,9,11,2,9,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,1,1,1,0,1,0,0,0,0,29,17,0
D:\trabCKMetrics\repos\prestodbpresto\presto-spi\src\main\java\com\facebook\presto\spi\eventlistener\QueryContext.java,com.facebook.presto.spi.eventlistener.QueryContext,class,3,7,4,3,16,1,0,6,90,0.875,0.0,0.0,16,0,16,0,0,0,16,0,0,0,15,0,0,15,0,0,15,0,15,79,15,0,0,0,0,15,0,15,0,15,0,0,0,0,38,1,0
D:\trabCKMetrics\repos\prestodbpresto\presto-main\src\main\java\com\facebook\presto\operator\PageBufferClient.java,com.facebook.presto.operator.PageBufferClient$PagesResponse,innerclass,2,2,0,2,9,1,0,6,2,0.5777778,0.0,0.0,9,2,8,1,0,0,8,0,0,0,5,0,0,5,0,0,5,0,0,38,8,0,0,0,0,4,0,5,0,5,0,0,0,0,22,9,0
D:\trabCKMetrics\repos\prestodbpresto\presto-hive\src\test\java\com\facebook\presto\hive\TestBackgroundHiveSplitLoader.java,com.facebook.presto.hive.TestBackgroundHiveSplitLoader$TestingHdfsFileSystem,innerclass,10,10,0,10,13,3,0,1,78,0.9230769,0.0,0.0,13,0,13,0,0,0,13,0,0,0,1,0,0,1,0,0,1,0,0,51,1,0,0,0,0,0,0,1,0,1,0,1,0,0,44,10,0
D:\trabCKMetrics\repos\prestodbpresto\presto-proxy\src\main\java\com\facebook\presto\proxy\ProxyModule.java,com.facebook.presto.proxy.ProxyModule,class,6,8,2,6,1,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,1,0
D:\trabCKMetrics\repos\prestodbpresto\presto-cassandra\src\main\java\com\facebook\presto\cassandra\CassandraConnectorFactory.java,com.facebook.presto.cassandra.CassandraConnectorFactory$Anonymous1,anonymous,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9,-1,0
D:\trabCKMetrics\repos\prestodbpresto\presto-bigquery\src\main\java\com\facebook\presto\plugin\bigquery\BigQueryPageSourceProvider.java,com.facebook.presto.plugin.bigquery.BigQueryPageSourceProvider,class,20,23,3,20,3,1,0,9,0,0.33333334,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,1,0,3,0,0,3,0,0,19,2,0,0,0,0,0,0,7,0,7,1,0,0,0,35,1,0
D:\trabCKMetrics\repos\prestodbpresto\presto-jdbc\src\main\java\com\facebook\presto\jdbc\StageStats.java,com.facebook.presto.jdbc.StageStats,class,2,4,2,2,15,1,0,20,79,0.86666673,0.0,0.0,15,1,14,0,0,1,15,0,0,0,13,0,0,13,0,0,13,0,4,72,14,0,0,0,0,3,0,13,0,13,0,0,0,0,41,17,0
D:\trabCKMetrics\repos\prestodbpresto\presto-main\src\main\java\com\facebook\presto\sql\planner\iterative\rule\PushDownDereferences.java,com.facebook.presto.sql.planner.iterative.rule.PushDownDereferences,class,37,45,8,37,18,9,0,32,43,0.8,0.0,0.0,10,7,2,8,0,0,2,0,0,0,1,0,0,1,0,0,1,0,8,240,13,2,1,0,4,1,3,8,0,9,2,1,10,3,89,1,0
D:\trabCKMetrics\repos\prestodbpresto\presto-thrift-api\src\main\java\com\facebook\presto\thrift\api\datatypes\PrestoThriftBlock.java,com.facebook.presto.thrift.api.datatypes.PrestoThriftBlock,class,24,53,29,24,57,1,0,52,313,0.86363643,0.0,0.0,30,14,28,2,0,0,28,0,0,0,11,0,0,11,0,0,11,0,19,198,44,2,10,0,0,7,12,22,2,21,2,0,0,0,96,17,0
D:\trabCKMetrics\repos\prestodbpresto\presto-main\src\test\java\com\facebook\presto\type\TestJsonType.java,com.facebook.presto.type.TestJsonType,class,7,8,1,7,3,2,0,5,3,0.0,0.0,0.0,3,1,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,14,2,0,0,0,0,1,1,2,0,2,0,0,0,0,16,1,0
D:\trabCKMetrics\repos\prestodbpresto\presto-thrift-api\src\test\java\com\facebook\presto\thrift\api\connector\TestReadWrite.java,com.facebook.presto.thrift.api.connector.TestReadWrite,class,26,33,7,26,31,11,0,54,97,0.925,0.0,0.0,15,8,4,11,0,0,5,0,0,0,16,11,0,16,0,0,16,0,11,282,8,13,0,0,2,0,38,57,10,55,3,0,11,2,115,1,0
D:\trabCKMetrics\repos\prestodbpresto\presto-cache\src\test\java\com\facebook\presto\cache\filemerge\TestFileMergeCacheManager.java,com.facebook.presto.cache.filemerge.TestFileMergeCacheManager$TestingCacheStats,innerclass,2,2,0,2,4,2,0,4,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,1,2,0,1,1,0,0,0,13,10,0
D:\trabCKMetrics\repos\prestodbpresto\presto-orc\src\main\java\com\facebook\presto\orc\OrcDataSource.java,com.facebook.presto.orc.OrcDataSource,interface,5,59,54,5,8,1,0,0,28,0.0,0.0,0.0,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
D:\trabCKMetrics\repos\prestodbpresto\presto-main\src\main\java\com\facebook\presto\operator\unnest\UnnestOperatorBlockUtil.java,com.facebook.presto.operator.unnest.UnnestOperatorBlockUtil,class,0,0,0,0,5,1,0,1,0,0.0,NaN,NaN,2,1,0,1,0,1,1,0,0,0,2,2,0,1,0,1,2,0,1,19,1,0,1,0,1,1,3,5,3,3,2,0,0,0,35,16,0
D:\trabCKMetrics\repos\prestodbpresto\presto-mongodb\src\main\java\com\facebook\presto\mongodb\MongoClientModule.java,com.facebook.presto.mongodb.MongoClientModule,class,14,15,1,14,4,1,0,34,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,25,1,0,1,0,0,1,0,2,0,2,1,0,0,0,19,1,0
D:\trabCKMetrics\repos\prestodbpresto\presto-parquet\src\main\java\com\facebook\presto\parquet\batchreader\decoders\rle\BooleanRLEValuesDecoder.java,com.facebook.presto.parquet.batchreader.decoders.rle.BooleanRLEValuesDecoder$MODE,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0
D:\trabCKMetrics\repos\prestodbpresto\presto-main\src\main\java\com\facebook\presto\testing\DateTimeTestingUtils.java,com.facebook.presto.testing.DateTimeTestingUtils,class,10,38,28,10,13,1,0,30,45,0.0,0.0,0.0,10,9,7,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,13,45,12,0,0,0,0,0,1,3,1,3,1,0,0,0,43,17,0
D:\trabCKMetrics\repos\prestodbpresto\presto-parquet\src\main\java\com\facebook\presto\parquet\cache\ParquetMetadataSource.java,com.facebook.presto.parquet.cache.ParquetMetadataSource,interface,2,8,6,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
D:\trabCKMetrics\repos\prestodbpresto\presto-jdbc\src\main\java\com\facebook\presto\jdbc\ConnectionProperties.java,com.facebook.presto.jdbc.ConnectionProperties$CustomHeaders,innerclass,1,1,0,1,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,10,0
D:\trabCKMetrics\repos\prestodbpresto\presto-main\src\main\java\com\facebook\presto\operator\TableFinishOperator.java,com.facebook.presto.operator.TableFinishOperator$LifespanAndStageStateTracker$LifespanAndStageState,innerclass,8,8,0,8,13,1,0,21,3,0.64285725,0.0,0.0,7,0,7,0,0,0,7,0,0,0,6,0,0,6,0,0,3,0,6,56,4,1,0,0,0,3,3,17,0,13,2,0,0,0,62,10,0
D:\trabCKMetrics\repos\prestodbpresto\presto-thrift-testing-udf-server\src\main\java\com\facebook\presto\udf\thrift\TestingThriftUdfServer.java,com.facebook.presto.udf.thrift.TestingThriftUdfServer,class,6,8,2,6,4,1,0,11,3,0.0,0.0,0.0,3,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,1,0,1,1,2,0,2,1,0,0,0,25,1,2
D:\trabCKMetrics\repos\prestodbpresto\presto-hive\src\test\java\com\facebook\presto\hive\TestColumnEncryptionInformation.java,com.facebook.presto.hive.TestColumnEncryptionInformation,class,4,4,0,4,15,1,0,19,105,0.0,0.0,0.0,15,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,26,73,0,0,0,0,0,42,0,19,0,19,0,0,0,0,64,1,0
D:\trabCKMetrics\repos\prestodbpresto\presto-main\src\main\java\com\facebook\presto\sql\planner\SystemPartitioningHandle.java,com.facebook.presto.sql.planner.SystemPartitioningHandle$SystemPartitionFunction$Anonymous3,anonymous,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
D:\trabCKMetrics\repos\prestodbpresto\presto-main\src\main\java\com\facebook\presto\sql\planner\SystemPartitioningHandle.java,com.facebook.presto.sql.planner.SystemPartitioningHandle$SystemPartitionFunction$Anonymous4,anonymous,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
D:\trabCKMetrics\repos\prestodbpresto\presto-main\src\main\java\com\facebook\presto\sql\planner\SystemPartitioningHandle.java,com.facebook.presto.sql.planner.SystemPartitioningHandle$SystemPartitionFunction$Anonymous5,anonymous,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
D:\trabCKMetrics\repos\prestodbpresto\presto-benchmark\src\main\java\com\facebook\presto\benchmark\StatisticsBenchmark.java,com.facebook.presto.benchmark.StatisticsBenchmark$DoubleVarianceBenchmark,innerclass,2,2,0,2,1,4,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,2,0,0,0,0,0,0,0,13,9,0
