file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\rabbitmqrabbitmq-tutorials\spring-amqp\src\main\java\org\springframework\amqp\tutorials\tut6\Tut6Config.java,org.springframework.amqp.tutorials.tut6.Tut6Config$ClientConfig,innerclass,4,4,0,4,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,2,0,0,0,0,0,0,0,0,7,10,0
D:\trabCKMetrics\repos\rabbitmqrabbitmq-tutorials\spring-amqp\src\main\java\org\springframework\amqp\tutorials\tut4\Tut4Config.java,org.springframework.amqp.tutorials.tut4.Tut4Config,class,5,5,0,5,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,31,2,0,0,0,0,4,0,0,0,0,0,0,1,0,11,1,0
D:\trabCKMetrics\repos\rabbitmqrabbitmq-tutorials\java\EmitLogHeader.java,EmitLogHeader,class,5,5,0,5,3,1,0,15,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,29,0,1,0,1,0,10,6,10,4,10,1,0,0,0,36,1,0
D:\trabCKMetrics\repos\rabbitmqrabbitmq-tutorials\spring-amqp\src\main\java\org\springframework\amqp\tutorials\tut5\Tut5Config.java,org.springframework.amqp.tutorials.tut5.Tut5Config,class,5,5,0,5,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,28,2,0,0,0,0,4,0,0,0,0,0,0,1,0,11,1,0
D:\trabCKMetrics\repos\rabbitmqrabbitmq-tutorials\java\Send.java,Send,class,3,3,0,3,1,1,0,7,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,13,0,0,0,1,0,6,0,5,1,5,1,0,0,0,20,1,0
D:\trabCKMetrics\repos\rabbitmqrabbitmq-tutorials\java\NewTask.java,NewTask,class,3,3,0,3,1,1,0,8,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,13,0,0,0,1,0,7,0,5,1,5,1,0,0,0,23,1,0
D:\trabCKMetrics\repos\rabbitmqrabbitmq-tutorials\spring-amqp\src\main\java\org\springframework\amqp\tutorials\tut4\Tut4Receiver.java,org.springframework.amqp.tutorials.tut4.Tut4Receiver,class,3,5,2,3,6,1,0,9,6,0.0,0.0,0.0,4,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,23,0,1,1,0,0,8,3,1,2,1,2,0,0,0,22,1,0
D:\trabCKMetrics\repos\rabbitmqrabbitmq-tutorials\java\PublisherConfirms.java,PublisherConfirms,class,5,6,1,5,15,1,0,34,9,0.5,0.0,0.0,6,6,1,0,0,5,6,0,0,0,1,1,0,0,0,1,1,0,24,100,2,4,1,3,0,11,15,32,3,34,3,0,0,3,79,1,0
D:\trabCKMetrics\repos\rabbitmqrabbitmq-tutorials\spring-amqp\src\main\java\org\springframework\amqp\tutorials\tut5\Tut5Receiver.java,org.springframework.amqp.tutorials.tut5.Tut5Receiver,class,3,5,2,3,6,1,0,9,6,0.0,0.0,0.0,4,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,23,0,1,1,0,0,8,3,1,2,1,2,0,0,0,22,1,0
D:\trabCKMetrics\repos\rabbitmqrabbitmq-tutorials\spring-amqp\src\main\java\org\springframework\amqp\tutorials\tut6\Tut6Config.java,org.springframework.amqp.tutorials.tut6.Tut6Config,class,2,2,0,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,2,0,0,0,0,0,0,2,0,6,1,0
D:\trabCKMetrics\repos\rabbitmqrabbitmq-tutorials\java\ReceiveLogs.java,ReceiveLogs,class,6,6,0,6,1,1,0,10,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,21,0,0,0,0,0,8,0,7,1,10,1,0,0,2,34,1,0
D:\trabCKMetrics\repos\rabbitmqrabbitmq-tutorials\spring-amqp\src\main\java\org\springframework\amqp\tutorials\tut6\Tut6Config.java,org.springframework.amqp.tutorials.tut6.Tut6Config$ServerConfig,innerclass,6,6,0,6,4,1,0,3,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,4,0,0,0,0,0,0,0,0,11,10,0
D:\trabCKMetrics\repos\rabbitmqrabbitmq-tutorials\spring-amqp\src\main\java\org\springframework\amqp\tutorials\tut4\Tut4Sender.java,org.springframework.amqp.tutorials.tut4.Tut4Sender,class,4,5,1,4,2,1,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,5,0,0,3,0,2,1,0,0,19,0,0,1,0,0,6,6,6,1,8,1,0,0,0,28,1,0
D:\trabCKMetrics\repos\rabbitmqrabbitmq-tutorials\spring-amqp\src\main\java\org\springframework\amqp\tutorials\tut6\Tut6Server.java,org.springframework.amqp.tutorials.tut6.Tut6Server,class,2,4,2,2,4,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,2,0,1,3,6,1,5,1,0,0,0,0,14,1,0
