file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\trabCKMetrics\repos\react-native-camerareact-native-camera\android\src\main\java\com\google\android\cameraview\CameraView.java,com.google.android.cameraview.CameraView$SavedState,"SavedState/2[com.google.android.cameraview.Parcel,java.lang.ClassLoader]",true,785,1,1,1,0,5,5,16,0,0,2,5,0,0,0,4,0,0,1,4,13,0,0,0,0,0,26,1,0,false
D:\trabCKMetrics\repos\react-native-camerareact-native-camera\android\src\main\java\com\google\android\cameraview\CameraView.java,com.google.android.cameraview.CameraView$SavedState,SavedState/1[com.google.android.cameraview.Parcelable],true,802,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\trabCKMetrics\repos\react-native-camerareact-native-camera\android\src\main\java\com\google\android\cameraview\CameraView.java,com.google.android.cameraview.CameraView$SavedState,"writeToParcel/2[com.google.android.cameraview.Parcel,int]",false,807,1,0,0,0,5,6,16,0,0,2,6,0,0,0,0,0,4,0,9,0,0,0,0,0,0,22,1,0,false
D:\trabCKMetrics\repos\react-native-camerareact-native-camera\android\src\mlkit\java\org\reactnative\camera\tasks\TextRecognizerAsyncTask.java,TextRecognizerAsyncTask$Anonymous2,onFailure/1[Exception],false,90,1,0,0,0,1,2,4,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,1,0,false
D:\trabCKMetrics\repos\react-native-camerareact-native-camera\android\src\mlkit\java\org\reactnative\camera\tasks\TextRecognizerAsyncTask.java,TextRecognizerAsyncTask$Anonymous1,onSuccess/1[Text],false,80,3,0,0,0,1,4,6,0,2,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,1,0,false
D:\trabCKMetrics\repos\react-native-camerareact-native-camera\android\src\general\java\org\reactnative\facedetector\RNFaceDetector.java,org.reactnative.facedetector.RNFaceDetector,setMode/1[int],false,88,1,4,3,1,2,2,7,0,0,1,2,1,2,0,1,0,0,0,0,1,0,1,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\react-native-camerareact-native-camera\android\src\general\java\org\reactnative\facedetector\RNFaceDetector.java,org.reactnative.facedetector.RNFaceDetector,releaseFaceDetector/0,false,103,0,2,2,0,2,1,6,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,5,2,0,false
D:\trabCKMetrics\repos\react-native-camerareact-native-camera\android\src\general\java\org\reactnative\facedetector\RNFaceDetector.java,org.reactnative.facedetector.RNFaceDetector,RNFaceDetector/1[org.reactnative.facedetector.Context],true,31,2,2,2,0,1,4,7,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,1,0,false
D:\trabCKMetrics\repos\react-native-camerareact-native-camera\android\src\general\java\org\reactnative\facedetector\RNFaceDetector.java,org.reactnative.facedetector.RNFaceDetector,isOperational/0,false,41,1,3,2,1,2,1,6,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,8,1,0,false
D:\trabCKMetrics\repos\react-native-camerareact-native-camera\android\src\general\java\org\reactnative\facedetector\RNFaceDetector.java,org.reactnative.facedetector.RNFaceDetector,setTracking/1[boolean],false,65,1,4,3,1,2,2,6,0,0,1,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,false
D:\trabCKMetrics\repos\react-native-camerareact-native-camera\android\src\general\java\org\reactnative\facedetector\RNFaceDetector.java,org.reactnative.facedetector.RNFaceDetector,release/0,false,96,1,7,6,1,1,1,4,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
D:\trabCKMetrics\repos\react-native-camerareact-native-camera\android\src\general\java\org\reactnative\facedetector\RNFaceDetector.java,org.reactnative.facedetector.RNFaceDetector,detect/1[org.reactnative.frame.RNFrame],false,49,4,7,2,5,3,7,10,1,0,1,7,2,1,0,1,0,0,0,0,1,0,1,0,0,0,13,1,0,false
D:\trabCKMetrics\repos\react-native-camerareact-native-camera\android\src\general\java\org\reactnative\facedetector\RNFaceDetector.java,org.reactnative.facedetector.RNFaceDetector,setLandmarkType/1[int],false,80,1,4,3,1,2,2,7,0,0,1,2,1,2,0,1,0,0,0,0,1,0,1,0,0,0,6,1,0,false
