file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\trabCKMetrics\repos\react-native-image-pickerreact-native-image-picker\example\android\app\src\main\java\com\example\MainApplication.java,com.example.MainApplication$Anonymous1,anonymous,3,3,0,3,3,1,0,2,3,0.0,0.0,0.0,3,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,2,0,1,0,1,0,0,0,0,15,-1,0
D:\trabCKMetrics\repos\react-native-image-pickerreact-native-image-picker\example\android\app\src\debug\java\com\example\ReactNativeFlipper.java,com.example.ReactNativeFlipper,class,11,11,0,11,3,1,0,8,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,1,0,0,0,0,3,0,3,2,2,0,0,20,1,0
D:\trabCKMetrics\repos\react-native-image-pickerreact-native-image-picker\example\android\app\src\main\java\com\example\MainActivity.java,com.example.MainActivity,class,1,1,0,1,1,2,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,20,1,0
D:\trabCKMetrics\repos\react-native-image-pickerreact-native-image-picker\example\android\app\src\main\java\com\example\MainApplication.java,com.example.MainApplication,class,6,7,1,6,8,2,0,9,3,0.6666667,0.0,0.0,3,1,2,1,0,0,2,0,0,0,1,0,0,1,0,0,1,0,2,44,1,0,0,1,0,2,0,2,0,2,2,1,0,0,37,1,0
D:\trabCKMetrics\repos\react-native-image-pickerreact-native-image-picker\android\src\main\java\com\imagepicker\ImagePickerModule.java,com.imagepicker.ImagePickerModule,class,13,15,2,13,36,2,0,28,3,0.63492066,0.0,0.0,7,0,6,0,0,1,7,0,0,0,9,4,3,1,0,5,5,0,25,156,8,0,6,3,2,12,5,29,0,19,2,0,0,0,99,1,0
D:\trabCKMetrics\repos\react-native-image-pickerreact-native-image-picker\android\src\main\java\com\imagepicker\ImagePickerPackage.java,com.imagepicker.ImagePickerPackage,class,5,6,1,5,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,10,2,0,0,0,0,0,0,1,0,1,0,0,0,0,14,1,0
D:\trabCKMetrics\repos\react-native-image-pickerreact-native-image-picker\android\src\main\java\com\imagepicker\ImagePickerProvider.java,com.imagepicker.ImagePickerProvider,class,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
D:\trabCKMetrics\repos\react-native-image-pickerreact-native-image-picker\android\src\main\java\com\imagepicker\Options.java,com.imagepicker.Options,class,1,3,2,1,4,1,0,8,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,10,0,0,0,0,10,0,0,0,29,0,0,0,0,1,12,3,13,1,11,1,0,0,0,27,1,0
D:\trabCKMetrics\repos\react-native-image-pickerreact-native-image-picker\android\src\main\java\com\imagepicker\Utils.java,com.imagepicker.Utils,class,20,22,2,20,81,1,0,89,465,0.9953917,0.0,0.0,31,31,10,0,0,21,31,0,0,0,7,7,7,0,0,0,0,0,36,340,50,4,15,8,7,46,27,72,7,63,3,0,0,0,157,1,0
D:\trabCKMetrics\repos\react-native-image-pickerreact-native-image-picker\example\android\app\src\debug\java\com\example\ReactNativeFlipper.java,com.example.ReactNativeFlipper$Anonymous2,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,-1,0
D:\trabCKMetrics\repos\react-native-image-pickerreact-native-image-picker\example\android\app\src\debug\java\com\example\ReactNativeFlipper.java,com.example.ReactNativeFlipper$Anonymous2$Anonymous3,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
D:\trabCKMetrics\repos\react-native-image-pickerreact-native-image-picker\example\android\app\src\debug\java\com\example\ReactNativeFlipper.java,com.example.ReactNativeFlipper$Anonymous1,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
